"treason","On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word"
"hawaii","It became a U.S. territory in 1900 and a state 59 years later"
"voting","Susan B. Anthony was arrested in 1872 for doing this"
"airforce","In 1949 Henry H. Arnold became the first general of this branch of the armed forces"
"cia","In April 1984 this U.S. government agency admitted its role in the mining of Nicaraguan harbors"
"rockefeller","In December 1974 this former New York governor was sworn in as Vice President"
"douglasmcarthur","In 1951 he told a joint session of congress that he ""tried to do his duty as god gave him the light to see that duty"
"federalists","This political party founded around 1789 stood for a strong central government"
"denmark","In 1917 the U.S. purchased the islands of St. Croix, St. John and St. Thomas from this country for $25 million"
"alexanderhamilton","In 1791 this Treasury Secretary issued his ""Report On Manufactures"", a critique of American industry"
"charleston","When West Virginia became a state in 1863, Wheeling was its capital; this city became the permanent capital in 1885"
"williampenn","In 1698, after an absence of 15 years, he returned to the colony named for his father"
"danielwebster","On Aug. 2, 1826 at Boston's Faneuil Hall, this great orator delivered a eulogy on Jefferson and Adams"
"folsom","Completed in 1856, California's first railroad ran 22 miles between Sacramento and this prison city"
"mormonism","Between 1856 and 1860, 2,962 of this faith set out from Iowa and Nebraska to Utah in the Handcart Migration"
"democracy","On April 2, 1917 President Wilson told Congress, ""The world must be made safe for"" this"
"busing","On April 20, 1971 the U.S. Supreme Court upheld this transportation method as a way to achieve school integration"
"manifestdestiny","John O'Sullivan, who later became a diplomat, coined this term for the USA's right to cover the continent"
"chisholmtrail","To reach eastern markets in the 1800s, Texas drovers brought their cattle to Kansas via this trail"
"nelliebly","On November 14, 1889, the New York World called her trip, ""The Longest Journey Known to Mankind"
"anchorage","On Mar. 27, 1964 this largest Alaska city was hit by an 8.4 earthquake"
"northwestterritory","In 1787 Arthur St. Clair became the first governor of this vast territory north of the Ohio River"
"flappers","Term for the women of the 1920s who wore bobbed hair, short dresses and long strings of beads"
"florida","This Sunshine State once had east and west portions; the western part now belongs to Ala., Miss. and La."
"steam","In 1899 President McKinley took a turn in the Locomobile, a car made by Stanley and propelled by this"
"memphis","Andrew Jackson was one of the landowners who founded this Tennessee town overlooking the Mississippi in 1819"
"delaware","Victor Marie du Pont served as a captain of this state's volunteers in the War of 1812"
"constitutionalconvention","When this convened in May 1787, Adams was in London, Jefferson was in Paris and Patrick Henry refused to attend"
"alaska","Americans began to oocupy this even before we could send Russia the $7.2 million we paid for it"
"geraldford","He was the only member of the Warren Commission who would later face would-be assassins himself"
"florida","In 1818 U.S. troops sacked Pensacola as they marched into this Spanish territory; soon it was ours"
"steamengines","In 1960 the last of these locomotives was retired from general use in the U.S. and Diesel ones took over"
"iroquois","In the 1600s most of New York State was occupied by this Native American confederacy"
"meriwetherlewis","2 years after exploring the Northwest with William Clark, he was named gov. of the Louisiana territory"
"peacecorps","This group of volunteers, created on Mar. 1, 1961, works to improve living conditions in other nations"
"tehran","On April 24, 1980 an attempt to rescue 53 hostages in this capital city was called off"
"gouverneurmorris","Ullo, Gouverneur!  This signer of the Constitution gave the document its final wording"
"somalia","On Dec. 9, 1992, the first group of U.S. Marines arrived in this African nation to restore order"
"lewisclark","From 1804 to 1806 this pair explored the area between the Mississippi River and the mouth of the Columbia River"
"woodrowwilson","In 1920 this president signed legislation returning the railroads to private ownership"
"missouricompromise","The Kansas-Nebraska Act of 1854 repealed this ""compromise"" of 1820"
"teapotdome","The government leasing oil reserves to Mammoth Oil in 1922 caused this scandal the next year"
"constitution","In 1787-88 the Anti-Federalists opposed the ratification of this document"
"davycrockett","After a defeat in 1835 for reelection to Congress from Tennessee, this frontiersman moved to Texas"
"pikespeak","A Ute legend says the Great Spirit created all life on this peak discovered in 1806"
"dustbowl","Nickname given in the 1930s to the area seen here in a famous Arthur Rothstein photo"
"bullmoose","When he began his Progressive Party, Teddy Roosevelt said he felt as fit as one of these animals"
"jimmycarter","On January 21, 1977 this president pardoned several thousand Vietnam War draft evaders"
"janeaddams","In 1915 this Hull House founder helped establish the Women's International League for Peace and Freedom"
"johnhinckley","On June 21, 1982 he was found not guilty by reason of insanity in the shooting of President Reagan"
"secretservice","On April 14, 1865 Abraham Lincoln authorized this govt. agency; its main job then was to protect against counterfeiting"
"jamestown","Captain John Smith became president of this Virginia colony's council in September 1608"
"johnjay","He served as the first chief justice of New York before he became first chief justice of the U.S."
"grovercleveland","This president's political enemies referred to him as the ""Beast of Buffalo"
"monmouth","Aaron Burr and Molly Pitcher distinguished themselves at the June 28, 1778 battle of this"
"continentalcongress","Henry Laurens, Thomas Mifflin and Richard Henry Lee were presidents of this body that only lasted for about 15 years"
"paulrevere","On April 18, 1775 he was captured by the British but released; he had to walk back to Lexington"
"richardnixon","On September 8, 1974, he was granted ""A full, free and absolute pardon"
"december","FDR's statement ""The United States of America was...deliberately attacked by...Japan"" was made on this date"
"georgedewey","Hostilities in the Spanish-American War ended when Manila surrendered to General Merritt and this admiral"
"nafta","This pact among the U.S., Mexico and Canada took effect in 1994 and aims to eliminate tariffs by 2008"
"labor","In the 1880s the Knights of this gave way to the American Federation of this representing workers"
"interior","In 1849, Thomas Ewing, ""The Logician of the West"", became the USA's first Secy. of this Cabinet Dept."
"monmouth","Gen. Charles Lee was relieved of command after ordering a retreat at this 1778 New Jersey battle"
"ireland","Because of the potato famine, more than a million emigrated from this country to the U.S. in the mid-1800s"
"louisianapurchase","This 1803 land acquisition included area in what is now 13 of the 50 states"
"benjaminfranklin","In 1730 he assumed full ownership of the Pennsylvania Gazette"
"stephendouglas","Famous for his debates with Lincoln, he served as a U.S. senator from Illinois from 1847 to 1861"
"georgewashington","During his first term as president, the Bill of Rights became law"
"canada","In 1813 the U.S. defeated the British in the Battle of the Thames River in what is now this country"
"andrewjackson","In 1832 this president declared, ""The bank, Mr. Van Buren, is trying to kill me; but I will kill it"
"connecticut","In November 1689 Joseph Wadsworth hid this colony's charter from the British by placing it in an oak tree"
"stephendecatur","He earned his captain's commission by burning the Philadelphia at Tripoli in 1804"
"hannibalhamlin","At the outbreak of hostilities of the Civil War, he was president of the Senate"
"alaska","On March 27, 1964, North America's most intense recorded earthquake, an 8.4, hit this state"
"georgevi","Just before WWII this British king and his queen Elizabeth became the 1st British monarchs to visit the U.S."
"thomasjefferson","While in the VA. legislature, this 3rd president introduced his religious freedom statute"
"maine","Founded in 1607, the Popham colony on the Kennebec River was this state's first English settlement"
"prohibition","In 1952 composer Stuart Hamblen was the presidential candidate of this anti-liquor party"
"gold","Francisco Lopez found this precious metal in California in 1842, before the rush"
"philadelphia","In 1873 President Grant proclaimed this city the site of the Centennial Exposition of 1876"
"indigo","Before cotton became king, this plant that yields a violet dye was a popular southern crop"
"salemmassachusetts","In May 1692 this village's jails were filled with witchcraft suspects, eventually totaling 150"
"hawaii","In 1900 Sanford B. Dole became the first governor of this U.S. territory"
"mobilebay","During the naval battle for this Alabama bay, David Farragut uttered, ""Damn the torpedoes!  Full speed ahead!"
"benjaminharrison","In 1888 he won the presidency using the campaign song ""Grandfather's Hat Fits Ben"
"sweatshops","Frances Perkins was trying to improve working conditions in these in the 1910s, Kathie Lee in the '90s"
"louisianapurchase","The U.S. made this great buy from France in 1803 and would have been happy with just New Orleans"
