"cottonmather","This clergyman who wrote ""The Short History of New-England"" in 1694 was the son of Increase Mather"
"larrymcmurtry","He wrote ""Cadillac Jack"" and ""Lonesome Dove"" after ""Terms of Endearment"
"hermanmelville","He lived for several weeks among the cannibalistic Typee before he wrote the book of the same name"
"onroad","Jack Kerouac's 1957 novel about the adventures of Dean Moriarty and friends as they travel the U.S."
"mobydick","A contemporary review of this 1851 novel said, ""Who would have looked for... poetry in blubber?"
"huckleberryfinn","This Mark Twain character's father ""Pap"" briefly held him prisoner in a cabin on the Illinois side of the Mississippi"
"canneryrow","In this Steinbeck novel, a few buddies get drunk and make a shambles of the Western Biological Lab in Monterey"
"studs","It's the nickname of William Lonigan, the 15-year-old hero of a 1930s trilogy written by James T. Farrell"
"wolflarsen","This captain of the Ghost rescues literary critic Humphrey Van Weyden and poet Maude Brewster from a shipwreck"
"jungle","This 1906 novel says, ""Now and then a visitor wept, to be sure; but this slaughtering machine ran on, visitors or no..."
"amontillado","It's the pale dry sherry in the title of an 1846 Edgar Allan Poe tale"
"hesterprynne","This 19th century female character ""raised a great scandal in godly master Dimmesdale's church"
"billybathgate","This 15-year-old E.L. Doctorow high school dropout joins gangster Dutch Schultz' mob"
"oklahoma","The Joad family in ""The Grapes of Wrath"" leaves this Dust Bowl state and heads to California"
"greatgatsby","In one scene in this 1925 F. Scott Fitzgerald novel, Daisy Buchanan hits Myrtle Wilson with her car"
"marktwain","In ""Following the Equator"", this humorist wrote, ""Truth is the most valuable thing we have.  Let us economize it"
"johnupdike","In 1964 he won a National Book Award for his novel ""The Centaur"
"faulkner","Sartoris"" published in 1929 was his first novel to deal with Yoknapatawpha County"
"bradbury","In England his 1950 science fiction novel ""The Martian Chronicles"" was titled ""The Silver Locusts"
"greatgatsby","This 1925 novel contains the line ""They were careless people, Tom and Daisy"
"buck","This 140-pound character in ""The Call of the Wild"" is a cross between a St. Bernard and a Scotch Shepard"
"medicine","Men in White"", which won the Pulitzer Prize in 1934, is a Sidney Kingsley play about this profession"
"saulbellow","In 1976 this Canadian-born author of ""Herzog"" won the Nobel literature prize"
"carsonmccullers","She published ""The Member of the Wedding"" as a novel in 1946, then rewrote it as a play in 1950"
"ernesthemingway","Chapter 2 in a 1932 work of his begins, ""The bullfight is not a sport in the Anglo-Saxon sense of the word"
"tomsawyer","In 1894 Mark Twain took this character ""Abroad""; 2 years later, he became a ""Detective"
"martinarrowsmith","This Sinclair Lewis physician begins his practice in his wife's hometown, Wheatsylvania, North Dakota"
"trumancapote","Other Voices, Other Rooms"" was this author's 1st published novel"
"vachellindsay","Best known for ""Abraham Lincoln Walks at Midnight"", he published at least a dozen volumes of poems"
"alexhaley","The Autobiography of Malcolm X"" was ""told to"" this deeply rooted author"
"johnnyappleseed","This legendary fruit tree planter was the subject of a work by Vachel Lindsay"
"rightstuff","Title of Tom Wolfe's 1979 book about men he described as ""single-combat warriors"
"rabbitrun","As the first, it jump-started John Updike's series of novels about Harry Angstrom"
"adultery","It's the crime for which Hester Prynne is condemned to wear ""The Scarlet Letter"
"pearl","In a John Steinbeck work, this title object found by Kino the fisherman is as big as a seagull's egg"
"elmergantry","Sinclair Lewis spent several months researching Midwestern Protestantism for this 1927 novel"
"hermanwouk","He published ""Marjorie Morningstar"" 16 years before ""The Winds Of War"
"larrymcmurtry","He set ""The Last Picture Show"" and ""Texasville"" in the fictional town of Thalia"
"invisibleman","The title of this Ralph Ellison novel refers to its nameless narrator and protagonist"
"walden","This Thoreau work is sub-titled ""Life in the Woods"
"hermanmelville","His first novel, ""Typee"", in 1846, was based on his experiences when he deserted a whaler in the south Pacific"
"washingtonirving","He wrote ""A History of the Life and Voyages of Christopher Columbus"" and ""A History of New York"
"scarletletter","Chapter 14 of this classic American novel is entitled ""Hester and the Physician"
"colorpurple","In this novel by Alice Walker, Celie moves to Memphis, where she designs and sells unisex pants"
"stephencrane","Henry Fleming, the hero of ""The Red Badge of Courage"", reappeared in his short story ""Lynx-Hunting"
"jacklondon","In 1900 he published his first collection of stories, ""The Son of the Wolf"
"mississippiriver","Mark Twain used the tall tale form in his book about ""Life on"" this river"
"nathanielhawthorne","He wrote ""A Wonder-Book for Girls and Boys"" to capitalize on the success of ""The Scarlet Letter"
"johnsteinbeck","He described the setting of ""Cannery Row"" as ""A poem, a stink...a habit, a nostalgia, a dream"
"isaacasimov","He wrote the short story ""Nightfall"", a science fiction classic, in 1941 when he was 21 years old"
"greatgatsby","One of the original titles of this 1925 novel was ""Among Ash Heaps and Millionaires"
"catch","This 1961 Joseph Heller novel was set on the island of Pianosa during WWII"
"hawthorne","Old Stony Phiz in ""The Great Stone Face"" by this author of ""Twice-Told Tales"" is said to be based on Daniel Webster"
"pearl","In a 1947 novelette by John Steinbeck, a diver named Kino finds the valuable title object to pay his child's doctor bill"
"alexhaley","His 1988 book ""A Different Kind of Christmas"" was based on a story outline for the TV film ""Roots: The Gift"
"hermanmelville","The manuscript for ""Billy Budd"" was found among his papers and published in 1924, 33 years after his death"
"pillory","The Scarlet Letter"" says, ""to forbid the culprit to hide his face... was the essence of"" this 7-letter punishment"
"mobydick","Harpooneers in this novel include Tashtego, Daggoo and Queequeg, a cannibal"
"martianchronicles","This 1950 Ray Bradbury book collected 26 stories about Earth's colonization of Mars"
"walden","This 1854 Thoreau work is subtitled ""Or Life in the Woods"
"injunjoe","In ""The Adventures of Tom Sawyer"", this character kills Dr. Robinson, a murder witnessed by Tom"
"nathanielhawthorne","He penned a campaign biography for Franklin Pierce and pinned ""The Scarlet Letter"" on Hester Prynne"
"josephheller","His experiences as a bombardier in WWII were the basis of the novel ""Catch-22"
"civilwar","Little Women"" is set during this war"
"washingtonirving","Among his pen names were Jonathan Oldstyle, Gentleman and Diedrich Knickerbocker"
"edgarguest","Author of ""A Heap o' Livin'"", listed in Avenel's companion to American Literature as ""Famous Bad Poet"
"mobydick","The book of Jonah is quoted before chapter one of this 1851 novel"
"mobydick","Melville's white whale tale"
"nathanielhawthorne","He gave Hester a scarlet ""A"
"tan","Cheek color of Whittier's ""Barefoot Boy"
"arthurmiller","The Crucible"", his 1953 play about Salem witchcraft trials drew a parallel to McCarthyism"
"nabokov","His lovesick narrator begins, ""Lolita, light of my life, fire of my loins"
"billybudd","Melville title sailor who personifies innocence"
"leatherstockingtales","Subtitles of books in this 19th century series include ""A Tale"", ""The Inland Sea"" and ""The First War-Path"
"ernesthemingway","He took the title of his ""For Whom The Bell Tolls"" from a work by John Donne"
"mayaangelou","I Know Why The Caged Bird Sings"" is a 1970 autobiography by this African-American poet"
"nathanielhawthorne","Rappaccini's Daughter"" is one of the short stories featured in his ""Mosses From An Old Manse"
"hermanmelville","J.N. Reynolds' ""Mocha Dick"", about a white whale, was published 12 years before this man's ""Moby Dick"
"henryjames","Olive Chancellor was into woman's lib in his 1886 novel ""The Bostonians"
