"libertybell","On July 8, 1776 it was rung to proclaim the first public reading of the Declaration of Independence"
"vote","Suffragettes were women who wanted the right to do this (and got to with the 19th Amendement)"
"anaquarium","Check out exotic marine life at one of these, like the National one in Baltimore"
"aglobe","Tulsa's newspaper is called The World; Boston's is named for this object that depicts the world"
"amarillo","The name of this Texas city is Spanish for ""yellow"
"hawaii","On December 19 the people of this U.S. state celebrate Princess Bernice Pauahi Bishop's birthday"
"albany","In 1986 this New York capital celebrated the 300th anniversary of its charter as a city"
"bettyford","This U.S. first lady once taught dance in Grand Rapids"
"pennsylvania","Lancaster, which has the largest stockyards east of Chicago, was this state's capital from 1799 to 1812"
"newhaven","This Connecticut city famous for its university is nicknamed ""Elm City"" because it once had many elm-lined streets"
"abrahamlincoln","Originally beardless, Uncle Sam got  his chin whiskers from images depicting this real-life man"
"honeybee","It's the official state insect of Arkansas -- how sweet!"
"harvard","This Cambridge, Mass. university is named for a man who graduated from England's Cambridge Univ. in the 1630s"
"oregon","Race a Model T while holding a pig in your lap in the Pig-N-Ford race at this state's Tillamook County Fair"
"cincinnati","Roy Rogers once said his birthplace was roughly where second base at this city's Riverfront Stadium later stood"
"albany","Want to see a 2,000-pound pillar of salt?  Head for the New York State Museum in this city"
"smithsonianinstitution","America's National Zoo was just 1 year old when it became part of this institution in 1890"
"disneyland","During the Fabulous '50s, this theme park had an exhibit called the Bathroom of Tomorrow"
"montpelier","This Vermont capital with 1 ""L"" took the name of a French city that has 2 ""L""s"
"northcarolina","The city of High Point in this state is a high point for shoppers; it's the ""Home Furnishings Capital of the World"
"westvirginia","Jay Rockefeller's rich life includes serving as a U.S. senator from this state since 1985"
"corn","The cereal that Tony the Tiger thinks is gr-r-reat is Kellogg's Frosted Flakes of this"
"supersize","For McDonald's fries, this portion found in the name of a documentary translates to 610 calories and 29 grams of fat"
"louisianapurchase","A 2003 stamp honored the bicentennial of this, often called the greatest real estate deal in history"
"saddleshoe","This white school shoe is named for the shape of the black leather piece that's over the middle section of the shoe"
"boston","This city's inhabitants are known as Beantowners (Hmm...does that make their kids Beanie Babies?)"
"minneapolis","A foot-operated breast enlarger pump is on display at the Museum of Questionable Medical Devices in this Twin City"
"arizona","You may want to explore a ghost town when you drive the Apache Trail in this state"
"boystown","A monument at this Nebraska site bears the words ""He ain't heavy, Father... he's m' brother"
"flagpoles","In the 1920s Alvin ""Shipwreck"" Kelly made a name for himself by sitting atop these, often for days at a time"
"neilarmstrong","An air and space museum in Wapakoneta, Ohio is named for this Wapakoneta native"
"marthawashington","Robert E. Lee's wife, Mary Ann Randolph Custis, was the great-granddaughter of this first lady"
"maryland","In 1811 work began on the 1st national highway, the Cumberland Road, between Illinois and Cumberland in this state"
"statesong","Idaho's official one is titled ""Here We Have Idaho"
"boston","Nicknamed the ""Bay Horse"", it's the capital of the ""Bay State"
"baltimore","This Maryland city celebrated the 200th anniversary of its incorporation in 1997"
"louisville","The Actors Theatre of this Kentucky city is housed in a national historic landmark"
"conch","In southern Florida, the ""queen"" type of this large sea snail is often found in chowder"
"sacramento","Johnny Cash once recorded a live album at Folsom Prison, just east of this state capital"
"georgia","On its north, this state borders Tennessee; on its east, the Atlantic Ocean"
"newhaven","With Hartford, this ""New"" city was joint capital of Connecticut from 1701 to 1875"
"southcarolina","In 1860 this small Atlantic coast state had the highest percentage of slaves in the U.S."
"whiteplains","This ""colorful"" suburb of New York City on the Bronx River was settled by Puritans in 1683"
"rollingstone","Literary magazine edited by O. Henry in 1894, or rock magazine founded in 1967"
"joneses","Pop Momond called his new comic strip in 1913 ""Keeping Up with"" this family"
"bertparks","The first Miss America he crowned was Lee Meriwether in 1954"
