"utah","This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847"
"washington","Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair"
"oregon","The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state"
"massachusetts","The Tanglewood Music Festival is a summer highlight in Lenox in this New England state"
"hawaii","Several different islands choose their own kings and queens as part of this state's Aloha festivals"
"watermelons","Stand clear of the seed-spitting contest at the Hope, Arkansas festival for these huge picnic fruits"
"tulip","Dancers clomp around in wooden shoes at the Holland, Michigan festival honoring this flower"
"asparagus","Stockton, Calif. doesn't have a festival for Britney Spears, but it does have one for these green spears"
"alaska","Secretary of State William H. Seward is honored on the last Monday in March in this state"
"kentuckyderby","Called the greatest 2 minutes in sports, it takes place on the first Saturday in May"
"thanksgiving","An ancient symbol of abundance, the cornucopia is often attached to this American holiday"
"hannibalmissouri","This city's Mississippi River Art Fair is held in the Mark Twain Historic District"
"hawaii","The Queen Liliuokalani Canoe Races take place on Labor Day weekend in this state"
"minnesota","The Freeze Yer Gizzard Blizzard Run is part of Ice Box Days in International Falls in this state"
"lakemichigan","Milwaukee's yearly Lakefront Festival of the Arts takes place at the War Memorial Center on this lake"
"dogsleds","Alpo sponsors annual international races for these vehicles each January in Saranac Lake, N.Y."
"wyoming","The Jackson Hole Shootout in this state features a stagecoach robbery reenactment"
"britishcolumbia","Tofino in this Canadian province celebrates the migration of whales during its Pacific Rim Whale Festival"
"montana","Annual events in this state include the Wild Horse Stampede in Wolf Point and the horse show in Missoula"
"mounthood","Every August, Gresham, Oregon holds a jazz festival named for this mountain"
"plymouth","Forefathers Day, December 21, celebrates the 1620 landing here"
"valentines","In the 1840s Esther Howland made these cards from imported paper lace and floral decorations"
"tasmania","Ten Days on the Island is an annual cultural festival taking place throughout this Australian state"
"earthday","The first one of these days was originally conceived as an environmental teach-in"
"graceland","In 2007 Elvis Presley Birthday Week in Memphis included cake for all visitors to this mansion on January 8th"
"palmsunday","This Sunday before Easter celebrates Jesus' triumphant entry into Jerusalem"
"laborday","Jerry Lewis has been hosting the Muscular Dystrophy Telethon on this holiday weekend since 1966"
"october","By law, a term of the U.S. Supreme Court begins on the first Monday in this month"
"earmuffs","Chester Greenwood Day in Farmington, Maine honors the man said to have invented these ear coverings"
"superman","In June Metropolis, Ill. celebrates this comic book hero, complete with a capture of villains"
"kittyhawk","Wright Brothers Day, Dec. 17, celebrates the pair's flight near this North Carolina village"
"memphis","Annual events in this Southern city include the FedEx St. Jude's Golf Classic and Elvis International Tribute Week"
"lascruces","The Whole Enchilada Fiesta is an October event in this New Mexico town whose name means ""the crosses"
"thames","Each July 2 London guilds enact a centuries-old ceremony of sending swans up this river"
"february","The groundhog displays his weather-predicting skills each year on this date"
"japan","December 13 is Sosuharai Day, a traditional year-end house-cleaning time, in this country"
"saintgeorge","(Alex giving the clue)  (Each spring) the Procession of the Golden Chariot in Mons, Belgium is followed by a mock battle between a dragon and this saint"
"switzerland","On August 1 this country isn't neutral about celebrating the 1291 Confederation of the 3 Forest Cantons"
"idaho","In 2002 Mr. Potato Head was the guest of honor at the annual Spud Day celebration in Shelley in this state"
"helenkeller","In June at a Tuscumbia, Alabama festival honoring her, ""The Miracle Worker"" is performed at her birthplace"
"mountsinai","The Jewish festival of Shavuot commemorates the revelation of the Torah at this site"
"carlsbadcaverns","This N.M. national park has a Bat Flight Breakfast in August so that visitors can view bats returning to their caves"
"virginmary","Paraguay, whose capital is named for her assumption, celebrates her immaculate conception Dec. 8"
"bluegrass","The weekend after Labor Day in Louisville is ""strictly"" for this music style named for local flora"
"reunification","On October 3 Germans remember this 1990 event that many thought would take much longer"
"albuquerque","Each year in October, this New Mexico city hosts the world's largest hot air balloon festival"
"thanksgiving","From 1939 to 1941 it was celebrated on the second to last Thursday in November"
"vermont","For over 40 years, St. Albans in this state has hosted an annual Maple Festival"
"hatfieldsmccoys","In recent years, descendants of these 2 feuding families from Kentucky and W.V. have gathered for an annual festival"
"novemberth","It's the date of Martinmas, of Angola's Independence Day and of Veterans Day in the U.S."
"berlin","The Grune Woche, one of Germany's largest agricultural fairs, takes place in this capital city."
"pecan","Albany, Georgia has an annual festival devoted to this nut, a type of hickory"
"oysters","An Urbanna, Virginia festival devoted to this bivalve serves it in every conceivable fashion."
"oregontrail","Gering, Nebraska's 4-day celebration of this pioneer trail features an old settler's reunion and parades"
"denmark","This country sets aside June 15 to honor its Dannebrog, the oldest national flag in the world"
"laborday","In 1894 Grover Cleveland set this holiday as the first Monday in September"
"reagan","In 1985 this president proclaimed August 26 as Women's Equality Day"
"annieoakley","Greenville, Ohio holds an annual celebration honoring this female sharpshooter"
"calgarystampede","In 1912 American Guy Weadick organized this annual Calgary, Alberta rodeo"
"grantwood","An annual Iowa art festival is named for this ""American Gothic"" artist, one of the state's native sons"
"hawaii","Celebrated May 1, Lei Day is a statewide holiday in this state"
"hollandnetherlands","Pella, Iowa celebrates its heritage from this country during its Tulip Time Festival in May"
"ashwednesday","Lent begins on this day of the week"
"cannes","In May, 1993, this city on the Riviera held its 46th International Film Festival"
"londonbridge","In autumn, Lake Havasu City, AZ, celebrates the dedication of this landmark"
"newmexico","The first weekend in October, Las Cruces, in this state, has a whole enchilada fiesta"
"wyoming","This state has a woodchopper's jamboree in Encampment and a primitive weapons contest in Casper"
"sandiego","The 1st  Monday in October is Zoo Founders Day in this Calif. city, so admission to its world-famous zoo is free"
"neworleans","The Crescent City Classic, a 10K run held in the spring in this Louisiana city, is followed by a huge celebration"
