"anequinox","A crossing of the celestial equator by the sun, it happens twice a year"
"comets","These long distance travelers may be dirty ice balls or icy dirt balls"
"darkmatter","Undetected murky stuff in the universe presumed to exist because of its gravitational effects"
"rings","In 1979 these were discovered around Jupiter; Saturn has them too"
"uranus","A list of this planet's moons, including Oberon and Titania, reads like a who's who of Shakespeare"
"quasars","These ""quasi-stellar radio sources"" are among the brightest and most distant objects in the universe"
"leonids","In mid-November, you can have a ""roaring"" good time watching this meteor shower"
"newmoon","It's the completely darkened phase of the moon"
"johanneskepler","In the early 17th century this German discovered that the planets orbit the sun in ellipses"
"ursamajor","A line drawn from Merak to Dubhe in this constellation points to Polaris, the North Star"
"neptune","At -235 degrees C. the surface of this planet's moon Triton is the coldest known place in the Solar System"
"mercury","This innermost planet goes through apparent changes, or phases, just like our moon"
"mars","Pathfinder is scheduled to land on this planet July 4, 1997 and dispatch a rover named Sojourner"
"clementine","Oh my darling!  It was announced in December 1996 that this space probe may have found ice on the moon"
"pleiades","This cluster known as the ""Seven Sisters"" actually has over 300 stars within a 30 light year diameter"
"saturn","This planet is only about ¾ as dense as water, so it probably wouldn't leave ""rings"" in the bathtub"
"johanneskepler","German astronomer whose laws of planetary motion were published in 1609"
"neptune","In July 2011 it completed its first orbit around the Sun since its discovery in 1846"
"saturn","Second largest planet in the solar system"
"aconstellation","Stars forming patterns as seen from Earth, such as Orion"
"galaxies","From Greek for ""milk"", a system of stars such as the Milky Way"
"galileo","The Inquisition forced him to retract his belief the Earth orbits the Sun"
"constellations","Astronomers divide the sky into 88 of these star groups"
"edmondhalley","In 1705 he announced that the comets of 1531, 1607, and 1682 were the same comet"
"asteroids","At about 600 miles in diameter, Ceres is the largest first discovered of these minor planets"
"nebula","A galactic cloud of dust and gas, its name comes from the Latin for ""cloud"
"ptolemy","In the ""Almagest"", this 2nd century Greek astronomer suggested the Earth was the center of the universe"
"blueshift","It's the colorful 2-word term used to describe the motion of galaxies coming toward us, like Andromeda is"
"stars","Proposed in the 19th century, Olbers' Paradox questions why light from these doesn't illuminate the night sky"
"mercury","This heavenly body shares its name with a liquid, and in 2007 scientists discovered that it has a liquid core"
"acomet","A coma is found around the head of one of these, which also takes its name from the Greek for ""hair"
"sun","It's the only star on which astronomers have observed spots"
"lunareclipse","In 1504 Columbus scared the locals in Jamaica when he predicted one of these"
"orion","Betelguese is a red supergiant in this constellation of the hunter"
"pulsar","CP 1919, the first of these ever found, emits bursts of radiation every 1.337 seconds"
