"purpleheart","You might have to take a bullet to earn one of these"
"marktwain","Richard Pryor was the first recipient of a Kennedy Center humorists' prize named for this American author"
"mathematics","In ""Good Will Hunting"", Stellan Skarsgard had a Fields Medal, called ""The Nobel Prize of"" this discipline"
"obies","Pearls for Pigs"" was 1998's best play in these off-Broadway awards given by the Village Voice"
"notredame","Theodore Hesburgh, once president of this university, has been awarded over 100 honorary degrees"
"willybrandt","In 1971 this West German chancellor won the Nobel Peace Prize for easing East-West tensions"
"evangelinebooth","For her work directing the Salvation Army effort in WWI, she received the Distinguished Service Medal"
"brucecatton","This Civil War historian won a 1954 Pulitzer Prize for his book ""A Stillness At Appomattox"
"calvinhobbes","Cartoonist Bill Watterson won a Reuben Award for this comic strip about a boy and his tiger"
"sciencefiction","Named for magazine publisher Hugo Gernsback, the Hugo Award honors this literary genre"
"villagevoice","The Obie Awards for off-Broadway theater are sponsored by this weekly New York paper"
"cannes","The Palme D'Or, awarded by this French city's film festival, comes from the city's coat of arms"
"stamendment","The Playboy Foundation gives awards named for this free-speech amendment to the U.S. Constitution"
"raoulwallenberg","This Swede who saved thousands of Hungarian Jews was made an honorary U.S. citizen in 1981"
"christianeamanpour","This British-Iranian woman won the George Polk Award for her CNN reportage from Bosnia"
"smurfs","This TV show about little blue creatures won a Humanitas Prize for its ""enriching human values"
"plannedparenthood","The 1985 U.N. Population Award went to this federation that has affiliates in 121 countries"
"baseballfielder","While a Golden Gloves winner is a boxer, a Gold Glove winner is this"
"earthquake","In 1975 ""The Towering Inferno"" won the Cinematographer Oscar, and this disaster film won for Sound"
"rabindranathtagore","In 1913 this poet from India became the 1st Asian to win a Nobel Prize for Literature"
"truck","For 2001 the Chevy Silverado was this ""of the Year"
"aviation","Rickenbacker and Sikorsky were 2 of the first group who were each named ""Elder Statesman of"" this field in 1955"
"wrightbrothers","In 1909 this pair became the first to receive the Smithsonian Institution's Langley Medal for Aviation"
"gatewayarch","In 1966 this St. Louis structure was awarded the Henry Bacon Medal by the American Institute of Architects"
"robertfrost","His ""New Hampshire:  A Poem With Notes and Grace Notes"" won a 1924 Pulitzer Prize"
"ethiopia","This African country established an award called The Order of the Queen of Sheba"
"craigclaiborne","His cookbook of ""Favorites From The New York Times"" won R.T. French's Tastemaker Award"
"tomhanks","At the 1996 People's Choice Awards, this ""Apollo 13"" star received 2 awards for favorite actor"
"guglielmomarconi","In 1989 the N.A.B. established an award named for this wireless radio pioneer"
"wendywasserstein","Her ""Heidi Chronicles"" won the 1989 New York Drama Critics' Circle Award for best new play"
"lindbergh","In 1927 this aviator was named Time magazine's first Man of the Year"
"halholbrook","This actor won a 1966 Tony for his one-man show, ""Mark Twain Tonight!"
"revlon","In 1974, this co.'s Charlie was named Most Successful Introduction of a New Women's Fragrance"
"steveallen","This comedian's ""Meeting of Minds"" show on PBS won a 1981 Emmy for Best Informational Series"
"smokeybear","For contributions to forest fire prevention, the Department of Agriculture awards statuettes of this famous critter"
"exodus","It's the novel for which Leon Uris received a 1959 National Jewish Book Award"
"rubegoldberg","Presented by the National Cartoonists Society, the Reuben Award was designed by and named for this cartoonist"
"jeannekirkpatrick","While Ambassador to the United Nations in 1984, she received the Harry S. Truman Good Neighbor Award"
"johnwilliams","Film scores, such as the one for ""Superman"", earned this composer Grammys 6 years in a row"
"juliachild","Oui! Oui!  In 2000 this ""French Chef"" became the first U.S. chef to receive France's Legion of Honor"
"caldecottmedal","Jumanji"" and ""Where the Wild Things Are"" are among the picture books to win this illustrious medal"
"bowling","A silver medal goes to totally blind men who score over 185 in this indoor sport"
"dolby","The developers of this sound system, in common use since the '70s, received an Academy Award in 1989"
"geniusgrants","The MacArthur Foundation's 6-figure awards to brilliant people in various fields are known as these ""grants"
