"vienna","Cadets attend a dance at a girls' school in ""Graduation Ball"", a ballet set in this capital of Austria"
"tango","The 2000 ballet ""Todo Buenos Aires"" features different interpretations of this sensual ballroom dance"
"ahorse","I may say ""neigh!"" if you do a pas de cheval, a ballet step that imitates this animal"
"mauricesendak","He designed sets and costumes for ""Where the Wlid Things Are"", a ballet based on his own beloved book"
"tempest","The Carolina Ballet debuted a 2006 work based on this stormy Shakespearean shipwreck saga"
"pinocchio","A new ballet about this puppet who yearns to be a boy had it's U.S. premiere in Atlanta in 2000"
"sleepingbeauty","In a Tchaikovsky ballet, this title character is awakened with a kiss"
"sugarplumfairy","The Nutcracker"" often features a pas de deux bythe prince and this fairy who rules the Kingdom of Sweets"
"edinburgh","The New York City ballet's first visit to this city's famous festival inspired the ballet ""Scotch Symphony"
"spring","The 1972 ballet ""Printemps"" premiered in the winter, but its name is French for this season"
"mariatallchief","Balanchine choreographed the leading role in ""Allegro Brillante"" for this part-Osage Indian ex-wife"
"camellias","Alexandre Dumas fils' tale about ""The Lady of"" these flowers bloomed as the ballet ""Marguerite and Armand"
"diaghilev","As a law student in St. Petersburg, this man became interested in the arts, and in 1909 he founded the Ballets Russes"
"elizabethii","Homage to the Queen"", a tribute to her, premiered on her coronation day in 1953"
"baryshnikov","This dancer choreographed a new version of ""The Nutcracker"" in 1976, a ""Turning Point"" in his career"
"donjuan","This Spanish seducer is attacked by furies at the end of a 1936 ballet"
"dyingswan","First performed in 1905, this very short solo ballet depicts the last minutes in the life of a bird"
"joker","The ballet ""Jeu de Cartes"" features dancing playing cards, and this one is the ""trickster"" of the pack"
"tutu","The longer ""romantic"" version of this ballet garment was inspired by the one Taglioni wore in the 1830s"
"white","A ballet blanc, such as ""La Sylphide"", traditionally features costumes of this color"
"plie","From the French meaning ""to bend"", this basic bending movement prepares a dancer to spring high into the air"
"augusterodin","French sculptor whose art inspired ""The Eternal Idol"" (hmmm...that's a ""Thinker"")"
"bar","Center practice is done without the support of this wall-lining object"
"jete","The name of this scissor-legged ballet leap means ""thrown"
"petrushka","Nijinsky is seen here in costome for this ballet, with a score by Stravinsky"
"swanlake","The Black Swan Pas De Deux is one of the most famous dances in this ballet"
"dukeellington","This duke of jazz composed an original score for Alvin Ailey's brilliant modern ballet ""The River"
"nataliamakarova","In 1998 she performed with the Kirov Ballet for the first time since her defection 18 years earlier"
"sergeidiaghilev","George Balanchine created 10 ballets for this impresario's Ballets Russes"
"nutcracker","Russian, Chinese, Arabian and Spanish dances are highlights of this ballet that premiered December 18, 1892"
"bolshoi","In the 1960s Galina Ulanova retired and Maya Plisetskaya became this company's prima ballerina"
"robertjoffrey","Before studying ballet and opening his own ballet school in New York City in 1953, he was a tap dancer"
"fredericchopin","Jerome Robbins' ballet ""In The Night"" is danced to several of this Polish-born composer's famous nocturnes"
"missjulie","Swedish dancer Elsa Marianne von Rosen created the title role in this ballet based on a Strindberg play"
"vaclavnijinsky","He stunned Paris with his dazzling performance in the Ballet Russes ""La Sylphide"" in 1909"
"rudolfnureyev","This charismatic Tartar played Dr. Copelius in ""Coppelia"" in 1990, three years before his untimely death"
"andrewssisters","Company B"" is danced to songs made famous by these sisters, including ""Boogie Woogie Bugle Boy"
"ludwig","Salvador Dali created the story, sets and costumes for ""Bacchanale"", an odd ballet about this ""Mad King"
"sleepingbeauty","Aurora's Wedding"", part of this Tchaikovsky ballet, is often presented as a separate ballet"
"sergeidiaghilev","The Ballets Russes was dissolved after the 1929 death of this great Russian impresario"
