"northsea","In 1975 the United Kingdom began piping oil from this sea to its shores"
"lakehuron","The St. Mary's River connects Lake Superior to this second-largest Great Lake"
"laketiticaca","12,500' above sea level, this South American lake bordering Bolivia and Peru is the world's most navigable lake"
"danube","After a 1,750-mile trip from Germany, this river breaks into 3 branches in Romania before emptying into the Black Sea"
"thames","Several structures called London Bridge have spanned this river, the latest completed in 1972"
"mississippi","Kentucky's lowest point, 257"
"indianocean","Sumatra and the Malay Peninsula are 2 of the land areas dividing the Pacific Ocean from this ocean"
"australia","Shallow, saline Lake Eyre is this continent's lowest point"
"lakebaikal","Nizhneangarsk and Listvyanka are ports on this Siberian lake"
"aegeansea","In 700 B.C. Greeks first crossed this sea to colonize Samothrace"
"persiangulf","Bahrain is composed of several islands in the Gulf of Bahrain and this larger gulf"
"beringsea","Indenting the coastline of Alaska, Norton Sound and Kuskokwim Bay are inlets of this sea"
"atlanticocean","Some say the Weddell Sea is an arm of the Antarctic Ocean; others say it's part of this larger ocean"
"lakevictoria","After Lake Superior, this African lake is the largest body of fresh water in the world"
"indianocean","The Persian Gulf is an arm of the Arabian Sea, which is part of this ocean"
"tasmansea","In the 1770s James Cook explored this sea between Australia and New Zealand"
"shannon","This longest river in Ireland nearly divides the country in two"
"mediterranean","The name for this sea comes from the Latin for ""in the middle of land"
"newzealand","The Tasman sea separates Australia and this country"
"riogrande","It's New Mexico's largest and longest river"
"brahmaputra","The name of this river which empties into the Bay of Bengal means ""the son of Brahma"
"atlanticocean","It's the saltiest of the oceans and the second largest"
"amazon","2 of South America's longest rivers, the Madeira and the Purus, flow into this even longer river"
"spainportugal","For about 70 miles the Douro River forms the border between these 2 Iberian countries"
"aegeansea","This sea may have been named for Theseus' father"
"pacificocean","The Japan and Peru Currents are among those that warm and cool coastal areas of this ocean"
"mediterraneansea","An undersea sill from Tunisia to Sicily splits this sea into eastern and western basins"
"northsea","This sea is less saline than its Atlantic connection due to fresh water from the Thames and other rivers"
"lakegeneva","Due to changes in air pressure, the water level of this Swiss-French lake can vary as much as 5' in 30 min."
"atlantic","It's the world's second-largest ocean"
"ganges","This most sacred river of India was named for a Hindu goddess"
"amazon","This river carries more water than the Mississippi, Yangtze and Nile combined"
"blacksea","Golden Sands is a resort on Bulgaria's east coast along this sea"
"beringsea","Nunivak Island and the Pribilof Islands are in this sea"
"black","(Alex: Here's Jeff Probst in South America [Amazon])  The decomposition of organic matter and a low silt content give the Rio Negro this color water, hence its name"
"mediterranean","The Cinque Terre, 5 fishing villages on the Italian Riviera, overlook the Ligurian Sea, an arm of this sea"
"willamette","The chief cities on this river in Oregon include Portland, Salem and Eugene"
"nile","This river's system gathers its waters from 9 countries, including Kenya, Ethiopia and Egypt"
"ganges","This sacred river begins in an ice cave in India's Uttaranchal state"
"arctic","It's the only ocean that touches the shores of Europe, Asia and North America"
"lakesuperior","Of the 5 Great Lakes, Lake Erie lies farthest south, this one farthest north"
"amazon","This South American river has more than a thousand known tributaries"
"newzealand","Lake Manapouri on South Island is one of this country's deepest lakes"
"blacksea","Bordered by Ukraine and Russia, the Sea of Azov is a northern arm of this sea"
"dardanelles","Hellespont is the ancient name for this strait that connects the Sea of Marmara with the Aegean Sea"
"mississippimissouri","These 2 ""stately"" rivers are the longest in the U.S."
"tigriseuphrates","Mespotamia, where many early civilizations developed, was located between these 2 rivers"
"lakevictoria","This large lake is the chief source of the Nile River"
"indianocean","Less than half the size of the Pacific, it's the third-largest ocean"
