"stephenking","In 1990 he reissued ""The Stand"" with nearly 500 more pages than the original"
"tomclancy","President Reagan called this man's first novel ""The Hunt for Red October"" the ""perfect yarn"
"georgeorwell","Not surprisingly, in 1984 his ""1984"" was a bestseller"
"marktwain","An article that he wrote about his riverboat days was eventually expanded into ""Life on the Mississippi"
"johngrisham","With no ""Time to Kill"", he recently turned out another legal thriller, ""The Street Lawyer"
"misery","In this Stephen King novel, author Paul Sheldon is held hostage by his No. 1 fan"
"babbitt","Sinclair Lewis dedicated this book about a real estate broker to Edith Wharton"
"robertfulghum","This author of ""All I Really Need to Know I Learned in Kindergarten"" is an ordained Unitarian minister"
"exodus","In 1998 Israel celebrated its 50th anniversary and this Leon Uris book celebrated its 40th"
"annerice","With ""Pandora"", she recently began a new series of vampire tales"
"garrisonkeillor","In 1997 this author returned to his roots with ""Wobegon Boy"
"tomclancy","In addition to techno-thrillers, he's also written such nonfiction works as ""Submarine"" and ""Fighter Wing"
"garrymarshall","Wake Me When It's Funny"" is the autobiography of this ""Pretty Woman"" director, Penny's brother"
"jackiecollins","1985 bestsellers had short titles; Michener's ""Texas"", Sagan's ""Contact"" and her ""Lucky"" are examples"
"lostworld","Mathematician Ian Malcolm confronts more dinosaurs in this 1995 Michael Crichton sequel"
"dune","In Frank Herbert titles, this word follows ""Children of"", ""Heretics of"" and ""God Emperor of"
"darktower","The Gunslinger"" is the first volume of this Stephen King series"
"johngrisham","An attorney must search the Brazilian rain forest for a missing heir in his novel ""The Testament"
"roalddahl","This ""Charlie and the Chocolate Factory"" author wrote of his days in the RAF in ""Going Solo"
"rodserling","Joel Engle's book about him is subtitled ""The Dreams and Nightmares of Life in the ""Twilight Zone"" "
"stephenking","Peter Straub collaborated with this man on the wildly successful best-seller, ""The Talisman"
"salvadorallende","Isabel, niece of this former president of Chile, wrote her first novel in exile in Venezuela"
"andersontapes","Tapes in the title of Lawrence Sander's first novel, published in 1970"
"jeffreyarcher","He was a member of the House of Commons before he wrote ""Not a Penny More, Not a Penny Less"
"pearlbuck","The middle initial of this author of ""The Good Earth"" stood for Sydenstricker, her maiden name"
"kiterunner","This Khaled Hosseini novel is about Amir, who flees Kabul for America"
"jonathanfranzen","The bestselling novel ""Freedom"" has put him back in Oprah's Book Club and good graces"
