"spain","Escamillo is a toreador in ""Carmen"", an opera set in this European country"
"nutcracker","The music of this Tchaikovsky ""Suite"" comes from his 1892 ballet, popular at Christmas"
"wolf","Prokofiev wrote a famous orchestra piece called ""Peter and"" this animal"
"fantasia","This 1940 Disney film featured the music of Bach, Beethoven, Stravinsky, Schubert and Mussorgsky"
"beethoven","His ""Eroica"" symphony was dedicated to his patron Prince Lobkowitz, not Napoleon as first intended"
"messiah","1742 oratorio featuring such choruses as ""And he shall purify"" and ""He hath borne our griefs"
"williamtell","After writing this 1829 opera, Rossini wrote less than a half dozen more works the last 39 years of his life"
"richardstrauss","From 1933 to 1935, he served as president of Germany's Reichmusikkammer, or chamber of state music"
"messiah","Part III of this 1742 oratorio begins with the aria ""I Know That My Redeemer Liveth"
"cello","Zoltan Kodaly wrote some of the finer works for solo this bass member of the violin family"
"peergynt","This 1867 Edvard Grieg work was first published as a piano duet but later divided into 2 suites"
"schumann","In 1840, the year that he married Clara Wieck, he composed an incredible 140 pieces of music"
"athousand","Mahler's Eighth is nicknamed the Symphony of this large number, for the host of musicians needed to perform it"
"tchaikovsky","You can dance with this composer"
"sabredance","Dance"" heard here"
"requiem","This funereal work is one of Mozart's last"
"dansemacabre","Saint-Saens ""Danse"" heard here"
"handel","In 1726 this ""Messiah"" composer became an English citizen"
"johannstrauss","Although known as ""The Waltz King"", he also wrote numerous marches and polkas"
"bach","His 1742 ""Aria with Thirty Variations"" is usually called the ""Goldberg Variations"
"schubert","Shortly after this ""Gretchen am Spinnrade"" composer met Beethoven, he was a torchbearer at his funeral"
"ferdegrof","This ""Grand Canyon Suite"" composer was once and arranger and pianist for Paul Whiteman"
"franzschubert","His Symphony in B Minor wasn't his only unfinished composition -- just the most famous"
"mauriceravel","In 1928 Ida Rubinstein commissioned him to write a ballet, so he created ""Bolero"
"arturotoscanini","Early in his career he was the musical director of La Scala; he later led the NBC Symphony"
"belabartok","Modern composer who was called the world's outstanding specialist on Hungarian folk music"
"ottoresphighi","The Vale Giulia, The Tritone, The Trevi and one at the Villa Medici were his ""Fountains of Rome"
"bolero","This 1928 Ravel work was written on commission from ballet dancer Ida Rubinstein"
"finlandia","This Sibelius work was performed using the title ""Impromptu"" while his country was under Russian rule"
"felixmendelssohn","In 1858, after his death, his ""Wedding March"" became a tradition after its use in a royal wedding"
"bayreuth","In 1930 Arturo Toscanini became the first non-German to conduct at the Wagner festival in this city"
"ipagliacci","A case handled by Leoncavallo's attorney father served as the basis for this opera also called ""Clowns"
"bolero","This 1928 work heard here was written on a commission from Ida Rubenstein"
"antonindvorak","While visiting Iowa in 1893, this Czech composed his ""String Quartet No. 12 in F Major"", or the ""American Quartet"
"fredericchopin","He made his official adult Warsaw debut in 1830 with his ""Piano Concerto in F Minor"
"franzliszt","Though a strong Hungarian nationalist, this ""Mephisto Waltz"" composer barely spoke the language"
"franzschubert","This composer's ""Trout Quintet"" is one of the most popular pieces of classical chamber music"
"arturotoscanini","This Italian maestro became conductor of the New York Philharmonic Symphony in 1928"
"itzhakperlman","As a teenager, this Israeli violinist made his American debut on ""The Ed Sullivan Show"" in 1958"
"casals","This Spanish cellist gave White House recitals for Teddy Roosevelt in 1904 and JFK in 1961"
"handel","He produced over 30 operas in London from ""Rinaldo"" in 1711 to ""Deidamia"" in 1741"
"aleksandrborodin","After this Russian died, his ""Prince Igor"" opera was completed by Rimsky-Korsakov and Glazunov"
"gioachinorossini","Born the son of the town trumpeter in Pesaro, Italy, he composed ""Il Barbiere Di Siviglia"
"george","Handel wrote 4 anthems for the 1727 coronation of a king with whom Handel shared this name"
"goldbergvariations","This set of 30 variations was named for a student of Bach's also named Johann"
"modestmussorgsky","Orchestras are now playing the original version of his ""Boris Godunov"", not the one Rimsky-Korsakov edited"
