"chopin","In 1810, the same year as Schumann, this Polish pianist and composer was born"
"words","Mendelssohn wrote a series of 49 piano pieces which were appropriately titled ""Songs Without"" these"
"schubert","There's nothing fishy about his ""Trout"" quintet"
"franzschubert","In 1928, the 100th anniversary of his death, a $10,000 prize was offered for the completion of his 8th Symphony"
"felixmendelssohn","His sister Fanny Mendelssohn wrote some of the songs attributed to him"
"beethovenbrahms","Of the 3 Bs, the 2 who died in Vienna"
"giuseppeverdi","G. Strepponi sang in ""Nabucco"", the opera that made this composer famous, and later married him"
"sergeirachmaninoff","One of this Russian's best-known works is the fiendishly difficult Piano Concerto No. 3 of 1909"
"tchaikovsky","Shortly before his death, this ""Nutcracker"" composer received an hon. doctorate from Cambridge Univ."
"sousa","In addition to marches, he composed an orchestral piece inspired by the novel ""Ben-Hur"
"ravel","His ""Bolero"" had its American debut at a 1929 concert of the N.Y. Philharmonic-Symphony"
"haydn","A 1791 Handel music festival inspired him to compose the oratorio ""The Creation"
"rimskykorsakov","Early in his career, Igor Stravinsky was tutored by this ""Flight of the Bumblebee"" composer"
"frederickloewe","He was a prizefighter, prospector, and cowpuncher before he teamed up with Alan Jay Lerner"
"finland","In 1897 this country granted its great composer Jean Sibelius a yearly pension"
"coleporter","Bobby Short sang ""At Long Last Love' at this late composer's birthday gala in 1991"
"copland","His 1936 work ""El Salon Mexico"" was his first popular success; ""Appalachian Spring"" came 8 yrs. later"
"schumann","In 1854 this German romantic lieder composer tried to drown himself and was placed in a private asylum"
"sousa","This composer and conductor gave his last performance with the Marines in July 1892 and formed his own band in Sept."
"wagner","His ""Siegfried Idyll"", composed in 1870, featured themes from his ""Siegfried"" opera, which hadn't yet been produced"
"ravel","The Clown's Morning Song"" by this composer is far less famous than his ""Bolero"
"leonardbernstein","The Age of Anxiety"" is one of this composer's storied symphonies, though not a ""West Side Story"
"oslo","In 1867 Edvard Grieg founded the Norwegian Academy of Music in this city, then known as Christiania"
"beethoven","Robert Schumann died age 46 in an asylum near Bonn, the city where this musical titan was born in 1770"
"johannstrauss","In 1863 he became music director of the court balls in Vienna"
"aaroncopland","This composer of the ballet ""Rodeo"" scored an Oscar for his score from ""The Heiress"
"schubert","His ""Great"" and ""Unfinished"" symphonies premiered years after his death in 1828"
"pulitzer","In 1943 American composer William Schuman became the first composer to win one of these prizes"
