"drseuss","It was the pen name of beloved children's author Theodor Geisel"
"brighamyoung","In 1844 he succeeded Joseph Smith as leader of the Mormon Church"
"singer","At the 1855 World's Fair in Paris, one of his sewing machines won first prize"
"kit","It was the famous nickname of frontiersman and scout Christopher Carson"
"jameswhistler","Dismissed from West Point for ""deficiency in chemistry"", he went on to paint a famous portrait of his mother"
"christianscience","In one of its reading rooms, you can read up on Mary Baker Eddy, the founder of this religion"
"justiceginsberg","While in law school, this current Supreme Court justice received the nickname ""Ruthless Ruthie"
"alexanderhamilton","His criticisms of Aaron Burr's character led to their fatal 1804 duel"
"andrewcarnegie","In 1901 this Scottish-American sold his steel company to U.S. Steel for more than $250 million"
"louisarmstrong","He once remarked, ""I didn't need school, I had the horn"":"
"robertfrost","Cold"" writer seen here who died in 1963:"
"jimthorpe","This athlete was stripped of his gold in 1913:"
"benjaminfranklin","Before starting the Pennsylvania Gazette in 1729, he worked for nearly a year in a London printing office"
"whitman","At age 19 this ""Leaves of Grass"" author became editor of The Long Islander, a weekly newspaper"
"zebulonpike","In 1805 this explorer was sent to take a ""peak"" at the upper Mississippi"
"georgewallace","When he left office in 1987, this Democrat had served an unprecedented 4 terms as Alabama governor"
"francismarion","In 1780 this ""Swamp Fox"" was appointed Brigadier General of the South Carolina militia"
"mississippi","Henry Schoolcraft is mentioned in school books as the discoverer of the source of this long river"
"johndillinger","Pretty Boy Floyd became the new public enemy number one after this man was killed in Chicago in 1934"
"aaronburr","Zebulon Pike was accused of having explored the West for this former VP who wanted to rule the area"
"janeaddams","Toynbee hall in London was the model for Hull House, which she founded in 1889"
"abnerdoubleday","This New Yorker who fought at the battle of Gettysburg was once considered the inventor of baseball"
"mrsnixon","This first lady was born Thelma Catherine Ryan on March 16,1912 in Nevada"
"ameliaearhart","From 1935 to 1937 she worked at Purdue University as a career counselor and as an advisor in aeronautics"
"danielmoynihan","He wrote a controversial report on urban poverty before being a democratic senator from New York, 1977-2001"
"benjaminfranklin","In 1785 he wrote that ""After fifty years' service in public affairs"", he wanted to ""make plenty of experiments"
"benjaminfranklin","In 1728 this Philadelphian and partner Hugh Meredith bought a printing press"
"annieoakley","She received her nickname ""Little Sure Shot"" from Sitting Bull"
"huberthumphrey","In 1948 he became the first Democrat elected to the Senate from Minnesota"
"anseladams","This photographer was a director of the Sierra Club from 1936 to 1970"
"melvilledewey","This man famous for his classification system founded Columbia Univ.'s School of Library Economy"
"gates","By age 13 this Microsoft co-founder had read the entire World Book Encyclopedia through volume P"
"clinton","In 2002 he became the first non-black inductee to the Arkansas Black Hall of Fame"
"georgegershwin","In 1998 he was awarded posthumously a special Pulitzer Prize; his brother Ira won a Pulitzer in 1932"
"hueylong","A statue of this man assassinated in 1935 represents Louisiana in National Statuary Hall"
"eleanorroosevelt","In 1926 this future first lady started a furniture factory at Hyde Park to help the unemployed"
"billygraham","On July 20, 1957 this evangelist set a Yankee Stadium attendance record when 100,000 jammed in to hear his message"
"charleslindbergh","In 1929 this American hero married Anne Spencer Morrow, daughter of the U.S. ambassador to Mexico"
"isaacpitman","In 1837 his phonetic system of shorthand was published as ""Stenographic Soundhand"
"benjaminfranklin","At his death in 1790, he left 200-year trust funds to the cities of Boston and Philadelphia"
"theodoreroosevelt","He was known as ""The Great White Chief"" and ""The Hero of San Juan Hill"
"margarettruman","Daughter of a prominent politician, she gave her 1st public concert at the Hollywood Bowl in 1947"
"hugoblack","Before he was appointed in 1937, the U.S. Supreme Court had only had 1 Brown, 2 Whites, and a Gray"
"ambroseburnside","When given command of a Union army, this general, famed for his whiskers, said he was incompetent"
"jonathanedwards","In 1741 this famed revivalist gave his best-known sermon, ""Sinners in the Hands of an Angry God"
"williambrennan","Among those who eulogized him on July 29, 1997 was his successor, David Souter"
"henryford","In 1918 this automaker bought the Deaborn Independent, calling it the ""chronicler of neglected truth"
"alcapone","Ralph Capone was an important figure in organized crime, like this brother whom he survived"
"elizabethblackwell","Losing sight in the eye meant she couldn't perform surgery, but she became the USA's first woman doctor"
"shubert","A famous Broadway theater and the alley it's on bear the name of these producer brothers"
"thomasjefferson","This president disapproved of slavery but approved of his slave Sally Hemings"
"johnbrown","On October 16, 1859 this man and his followers seized a U.S. arsenal in what is now West Virginia"
"fatherflanagan","He founded a ""City of Little Men"" on December 12, 1917 in Omaha, Nebraska"
"ameliaearhart","The woman who can create her own job is the woman who will win fame and fortune"", said this aviator in 1928"
"henrycisneros","Later a Clinton cabinet member, he was the mayor of San Antonio, Texas from 1981 to 1989"
"jackiekennedy","Her grave marker at Arlington bears only a cross, the years 1929-1994, and her full name, including ""Bouvier"
"gershwin","Last name of the brothers whose ""Of Thee I Sing"" was the first musical to win a Pulitzer Prize"
"jamesmchenry","This man who helped win ratification of the Constitution by Maryland gave his name to a famous fort"
"thomasnast","This 19th century political cartoonist popularized the elephant and donkey as party symbols"
"williamproxmire","After filling Joe McCarthy's Senate seat, this Democrat fought long and hard against wasteful govt. spending"
"paulrevere","In the wee hours of an April morning in 1775, this silversmith warned, ""The British are Coming!"
"danielboone","In 1845 the remains of this frontiersman and his wife Rebecca were moved from Missouri to Kentucky"
"harrylee","Nicknamed ""Light-Horse Harry"", he served in the Continental Congress from 1785 to 1788"
"georgedewey","In 1898 the Spanish-American War ended when Manila surrendered to Gen. Merritt and this admiral"
"ameliabloomer","You might say this reformer born in 1818 is best remembered for wearing the pants in her family"
"samhouston","This man for whom a large city is named became governor of Tennessee in 1827 and governor of Texas in 1859"
"vancliburn","After winning the first International Tchaikovsky Competition in 1958, he got his own piano competition"
"rogermahony","In 1991 this archbishop of Los Angeles was elevated to cardinal"
"mahaliajackson","The World's Greatest Gospel Singer"", she sang at President Kennedy's inauguration and Martin Luther King's funeral"
"nathanielhawthorne","This author died in New Hampshire in 1864 during a visit with old school chum Franklin Pierce"
"georgepatton","In part, using donated French tanks, he formed the U.S. Army's first tank training school in 1917"
"charleslindbergh","About him F. Scott Fitzgerald wrote, ""In the spring of '27, something bright and alien flashed across the sky..."
