"olivertwist","What a happy ending: this title orphan of a Dickens novel is adopted by Mr. Brownlow"
"headlesshorseman","This character in ""The Legend of Sleepy Hollow"" is said to be the ghost of a Hessian trooper"
"scout","She is the narrator of ""To Kill a Mockingbird"
"mcboingboing","2 names that follow Gerald, who speaks in weird sounds instead of words in a Dr. Seuss story"
"mowgli","He first appeared in Kipling's 1892 story ""In the Rukh"" as an adult who now and then refers to his very odd childhood"
"willywonka","In ""Charlie and the Chocolate Factory"", he's the reclusive owner of the factory"
"drdolittle","He pretty much stopped treating people after his parrot Polynesia taught him how to talk to animals"
"friday","Robinson Crusoe gave this name to a native he saved from cannibals on a certain day of the week"
"amermaid","In a 2001 tale by Alice Hoffman, Aquamarine is a beautiful and brokenhearted one of these creatures"
"myrabreckenridge","This Gore Vidal transsexual protagonist's original first name was Myron"
"sylviaplath","In her ""The Bell Jar"", Doreen is picked up by Lenny Shepherd, a New York disk jockey"
"raymondchandler","Blackmailer Arthur Geiger is murdered in this author's ""The Big Sleep"
"arrowsmith","Clif Clawson is the medical school roommate of this Sinclair Lewis title character"
"herculepoirot","Agatha Christie's mysteries solved by this detective were often chronicled by his sidekick Arthur Hastings"
"raskalnikov","At the end of ""Crime And Punishment"", he is serving an 8-year term for murdering an old woman"
"lasttycoon","Producer Irving Thalberg was the model for Monroe Stahr, the title character of this Fitzgerald novel"
"edwindrood","This title character is missing in the unintentionally last chapter of a Dickens mystery"
"gatsby","In a novel by F. Scott Fitzgerald, Nick's neighbor is this wealthy title bootlegger"
"drwatson","This inhabitant of 221B Baker Street had been a surgeon in the British army"
"rebecca","Mrs. Danvers is Maxim de Winter's sinister housekeeper at Manderley in this novel by Daphne du Maurier"
"bellewatling","Rhett Butler has a long-term affair with this Atlanta prostitute"
"captainvere","In a Melville work, Billy Budd's last words are ""God bless"" this captain"
"alice","Lewis Carroll based this title girl on a daughter of the dean of Oxford's Christ Church College"
"lestat","This Anne Rice vampire has very white skin ""that has to be powdered down for cameras of any kind"
"charlesdickens","Montague Tigg uses the rather obvious alias Tigg Montague in his novel ""Martin Chuzzlewit"
"wakefield","In a 1766 novel Squire Thornhill abducts Sophia Primrose, whose father is ""The Vicar Of"" this"
"narnia","In ""The Lion, the Witch and the Wardrobe"", Lucy peers into an old wardrobe and discovers this magical land"
"sweden","Snipp, Snapp and Snurr, who star in a series of books, are brothers from this Scandinavian country"
"theirshoes","In the Grimm tale ""The 12 Dancing Princesses"", 12 sisters dance so much that they wear out these every night"
"heidi","This orphan befriends a goatherd named Peter when she's sent to live with her grandfather in the Swiss Alps"
"anne","She's the title heroine ""Of Green Gables"" in a classic 1908 book"
"esmeralda","Get too close to this beloved of Quasimodo and he might just ring your bell"
"beckysharp","In ""Vanity Fair"" Sir Pitt Crawley proposes to her but she's already secretly married to his son Rawdon"
"forsyte","Last name of Soames and Irene, the 2 principal characters in John Galsworthy's 3 novel ""saga"
"sherlockholmes","The first words he ever spoke to his assistant were ""How are you?... You have been in Afghanistan, I perceive"
"majoad","In ""The Grapes of Wrath"", this matriarch says, ""All we got is the family unbroke"
"professormoriarty","Sherlock Holmes described this foe as the ""Napoleon of Crime"
"olivermellors","D.H. Lawrence's Lady Chatterley plays around with a playwright as well as this gamekeeper"
"primarycolors","Jack Stanton, the governor of a Southern state, was a leading character in this 1996 roman a clef by ""Anonymous"
"lasvegas","In a 1972 book, Hunter S. Thompson sent Raoul Duke and Dr. Gonzo to this city to cover the Mint 400 race"
"forrestgump","He's the Winston Groom title character who had an IQ near 70"
