"barbarabush","In January 1991 this first lady broke her left leg while sledding at Camp David"
"jackiekennedy","Her stepfather was Hugh Auchincloss"
"eleanorroosevelt","The only first lady whose married name was the same as her maiden name"
"eleanorroosevelt","She was First Lady for 12 years and 39 days"
"rosalynncarter","She acted as a cover for her husband while the 1978 Camp David Peace Talks went on longer than expected"
"bettyford","Her first marriage was to William Warren of Grand Rapids, Michigan"
"williammckinley","Ida went with this man, her husband, to Buffalo, but wasn't present at the exposition where he was shot"
"barbarabush","This no-nonsense first lady admitted that her trademark pearls are fake"
"nancyreagan","Zasu Pitts got this first lady her first professional role in a play"
"abigailadams","She didn't attend her husband's 1797 inauguration because her mother-in-law was ill"
"marthawashington","When she married the future president in 1759, she was said to be the richest marriageable woman in Virginia"
"jackiekennedy","Her father was John V. Bouvier III, a New York stockbroker"
"rosalynncarter","An institute for caregiving is named for her at Georgia Southwestern State, her alma mater"
"mrstruman","She attended Barstow, a finishing school for girls, in Kansas City near her hometown of Independence"
"barbarabush","Speaking of her husband, she joked, ""Anyone who eats pork rinds can't be all good"
"mamieeisenhower","A portrait of her, painted by her husband, hangs in grandson David's dining room"
"abigail","First name shared by the wives of Millard Fillmore and John Adams"
"texas","Lady Bird Johnson was the 1st first lady born in this state; she's from Karnack"
"jacquelinekennedy","In 1964 she wrote of her husband, ""So now he is a legend when he would have preferred to be a man"
"besstruman","This Missourian known for her ""independence"" referred to the White House as ""The Great White Jail"
"bettyford","This outspoken first lady once told ""60 Minutes"" she wouldn't be surprised if her daughter Susan had an affair"
"rosalynncarter","The book ""The Presidents: Tidbits and Trivia"" includes this first lady's recipe for peanut soup"
"freepostage","Congress has granted all widowed 1st ladies franking privilege, which entitles them to this"
"eleanorroosevelt","Of all the wives of 20th century presidents, this one had the most children"
"abigailadams","Ency. Americana calls her the ""mother of the most important family dynasty in American public life"
"hillaryclinton","She's the only first lady to have won a Grammy"
"laurabush","This first lady earned a bachelor's degree in education from Southern Methodist University"
"dolleymadison","She was our fourth president's first lady"
"laurabush","A former school librarian, she helped organize the Texas Book Festival to raise money for local libraries"
"bettyford","Born Elizabeth Bloomer, she sprang up in Chicago in 1918"
"andrewjohnson","Largely an invalid, Eliza, wife of this ""Tennessee Tailor"", made only 2 public appearances as first lady"
"barbarabush","At the 1989 inaugural parade, she ran over to Willard Scott and gave him a great big kiss"
"nancyreagan","She made a surprise appearance on Bob Hope's 85th birthday special and sang ""Thanks For The Memory"
"edith","First name shared by a Roosevelt and a Wilson"
"dolleymadison","She was 32 when she started acting as Jefferson's hostess"
"besstruman","Known under this name as First Lady, she was born Elizabeth Wallace"
"nancyreagan","In her book ""My Turn"", she points out that Eleanor Roosevelt was criticized for ordering new china, too"
"barbarabush","She donated the net proceeds of her dog Millie's book to her Foundation for Family Literacy"
"mamieeisenhower","She started wearing those famous bangs while living in the Panama Canal Zone with her military husband"
"abigailadams","The first ""Second Lady"" and the second First Lady"
"dolleymadison","She prevented the British from burning Gilbert Stuart's painting of Washington, which still hangs in the East Room"
"besstruman","After meeting her future husband in Sunday school, she enrolled in a Kansas City, Missouri finishing school"
"besstruman","In 1890 at age 5, she met her future husband in an Independence, Missouri Sunday school class"
"edithroosevelt","While first lady, she arranged the White House wedding of her stepdaughter Alice in 1906"
"rosalynncarter","She was valedictorian of Plains High School, class of 1944"
"marylincoln","While she was first lady, her half brother Samuel was killed at the Battle of Shiloh"
"besstruman","Her father was David W, Wallace, a public official in Independence, Missouri"
"letitiatyler","Born Letitia Christian, she was the first to become first lady upon the death of the previous president"
"barbarabush","Jenna's grandmother, in the '80s she was looked upon as ""Everybody's Grandmother"
"besstruman","Jackie Kennedy especially admired this First Lady for the way she raised Margaret in the White House glare"
"geology","Receiving a ""rock solid"" education at Stanford, Lou Hoover was the first woman to earn a degree in this"
"dolleymadison","Her first husband John Todd and their infant son died during a yellow fever epidemic in 1793"
"julia","It was the first name of Mrs. Grant and the second Mrs. Tyler"
"marthawashington","A widow when she wed the future president in 1759, she had been married to Daniel Parke Custis"
"rosalynncarter","In 1987 she and the former president published ""Everything to Gain: Making the Most of the Rest of Your Life"
"abigailadams","Born in Massachusetts, she was descended from the Quincy family on her mother's side"
"marthawashington","Seen here, she was one of the wealthiest women in Virginia in 1757"
"eleanorroosevelt","Her uncle lived in the White House when this future first lady got married in 1905"
"barbarabush","Marvin Pierce, the father of this first lady, was the publisher of McCall's magazine"
"dolleymadison","She was a hostess at the White House for the widowed Thomas Jefferson before becoming first lady in 1809"
"jacquelinekennedy","In the early 1960s her hair-do became fashionable for women"
"dolleymadison","This future first lady sometimes served as White House hostess for Jefferson"
"china","Nancy Reagan chose the design for this, ivory edged in red; it was donated to the White House"
"hillaryclinton","Surprisingly, she was head of the campus Young Republicans while a student at Wellesley in the 1960s"
"theodoreroosevelt","His childhood friend, Edith Kermit Carow, became his 2nd wife in 1886"
"dolleymadison","This 19th century first lady was a fashion trendsetter who made Turkish-style turbans all the rage"
"nancyreagan","When she became an actress, she was following in the footsteps of her mother, Edith Luckett"
"edithwharton","Teddy Roosevelt's wife Edith was related to this author of ""The Age of Innocence"
"dolleymadison","She wore a yellow velvet gown and a plumed Parisian turban to her husband's 1809 inaugural ball"
"mamieeisenhower","First Lady for most of the 1950s, she was a big fan of ""As The World Turns"
"patnixon","In 1972 this First Lady reportedly said, ""Being the First Lady is the hardest unpaid job in the world"
"bettyford","Originally named Elizabeth Ann, she said, ""I always wanted to be called Elizabeth, but it didn't happen"
"kentucky","Mary Todd Lincoln was born in this state, as was her husband"
"rosalynncarter","She called her autobiography ""First Lady from Plains"
"edithwilson","During WWI, rather than waste manpower on mowing the White House lawn, she grazed sheep"
"williammckinley","Ida Saxton, the daughter of a Canton, Ohio banker, married this future president in 1871"
"nancyreagan","She 1st met husband while complaining to S.A.G. about unwanted Communist literature"
"eleanorroosevelt","In '62 Adlai Stevenson eulogized: ""She would rather light candles than curse the darkness"
"abigailadams","Only wife of 1 president and mother of another"
"abigailadams","Alphabetically, she's first on the list of first ladies"
"electricity","In the spring of 1891, Caroline Harrison had the White House wired for this"
"sheep","To save the cost of cutting the White House lawn during World War I, Edith Wilson put these animals on it"
"hillaryclinton","In 1969 she graduated from Wellesley College where she was president of the student government"
"patnixon","In the late 1930s, she taught typing and shorthand at Whittier High School in California"
"mamieeisenhower","She's buried in Abilene, Kansas beside her husband"
"abigailadams","In November 1800 she wrote to her daughter that ""The principal stairs are not up"" in the White House"
"barbarabush","In 1992 she became the 1st first lady to deliver a major address at a national political convention"
"nancyreagan","She appeared with her husband in a 1961 episode of ""General Electric Theater"" titled ""Money and the Minister"
"eleanorroosevelt","The woman born Sara Delano took her son on a 1904 cruise to quash the romance with this woman"
"nancyreagan","She played a lady in waiting, not a First Lady, in the Broadway musical ""Lute Song"
"edithwilson","For 12 years, she was the wife of Washington, D.C. jeweler Norman Galt; he died in 1908"
"patnixon","As one of her daughters tells it, she was born ""in a miner's shack high in the mountains of Eastern Nevada"
"lucyhayes","If there had been an inaugural ball in 1877 (there wasn't), she probably would have served lemonade"
"florence","Mrs. Harding was nicknamed ""Flossie"", but this was her real first name"
"laurabush","Inspired by her second-grade teacher, she earned a degree in education from SMU in 1968"
"patnixon","She was born in 1912; her real first name was Thelma"
"edithwilson","First Lady in the 1910s, she later rode in President Kennedy's inaugural parade"
"francescleveland","She was the first First Lady to be married in the White House, and the first to bear a child there"
"abigailadams","She was the second first lady"
"gold","In her memoirs, Julia Grant talked about the black Friday when Fisk and Gould tried to corner the market in this"
"jamesbuchanan","The widow Sarah Polk was linked for a while in the press to this bachelor president"
"editheleanor","These 2 Roosevelt first ladies were known for their strong personalities"
"laurabush","At one time, she was the first lady of Texas"
"jacquelinekennedy","Bouvier, this first lady's maiden name, is her daughter Caroline's middle name"
"abigailadams","Our second first lady, she was married to the future president by her father, a minister"
"eleanorroosevelt","As first lady during World War II, she traveled abroad to visit American troops"
"bettyford","Her first date with the future president was for drinks at a Grand Rapids, Michigan bar in 1947"
"rosalynncarter","In 1984 her husband published ""Negotiation"" and she published ""First Lady from Plains"
"nancyreagan","This First Lady was famous for her ""Just Say No"" to drugs campaign"
"bettyford","Her ""term"" as First Lady lasted from 1974 to 1977"
"polk","The former Sarah Childress remained childless throughout her 25-year marriage to this 11th president"
"nancyreagan","She talked to Arnold's class about drugs on TV's ""Diff'rent Strokes"
"eleanorroosevelt","Teddy's niece, her married and maiden names were the same"
"dolleymadison","She was expelled from Society of Friends for marrying non-Quaker 4th president"
"laurabush","She met the future president at a backyard barbecue in Midland, Texas in 1977"
"dolleymadison","Quite the party girl, she's the celebrated first lady seen here"
"gracecoolidge","She graduated from the University of Vermont in 1902"
"hillaryclinton","She was 26 when she joined the faculty of the University of Arkansas School of Law in 1974"
"dolleymadison","This first lady born in 1768 was a real ""cupcake"" who liked to wear turbans and low-cut dresses"
"barbarabush","The World Almanac of First Ladies"" says this ""Silver Fox"" loves mystery novels and tacos"
"patnixon","She did some modeling at Bullock's Wilshire in the 1930s while she was a student at USC"
