"curdswhey","They're the 2 things Little Miss Muffet was consuming while sitting on her tuffet"
"fat","When used to describe meat, ""marbling"" means streaks of this"
"foiegras","In 2006 the Chicago City Council banned restaurants in the city from selling this goose liver dish"
"padthai","Thailand's best-known dish, it's stir-fried noodles, egg, bean sprouts, peanuts and seasonings"
"hurricane","This rum drink hailing from New Orleans' French Quarter has its own glass of the same name"
"cheese","The Bel Paese type of this dairy product originated in a small town outside Milan"
"buttermilk","Once the liquid left in a churn, this drink is now made by adding bacteria to nonfat milk"
"broccolicauliflower","Milder than both, broccoflower is a cross between these 2 vegetables"
"hollandaisesauce","This rich, creamy sauce that tops Eggs Benedict is also excellent on asparagus"
"sirloin","When it comes to steak, try this cut from just in front of the rump; it's ""top""s"
"scrod","Rhyming with cod, it's a young fish like cod or haddock that's been split and readied for cooking"
"devonshirecream","(Cheryl of the Clue Crew in London)  Traditionally at tea, scones is served warm with jam and this, named for an English county"
"tab","Before the introduction of Diet Coke, this was he leading diet soft drink in the U.S."
"chocolate","Leaves"" made of this sweet often top the familiar mousse of the same flavor"
"shells","Conchiglie is an Italian pasta named for and shaped like these"
"vinegar","Joy of Cooking"" 's recipe for drinks called Fruit Shrubs uses the white wine type of this liquid"
"tea","Assam, a black type of this beverage, is known for its full body and strong flavor"
"oyster","The ""Olympia"" variety of this seafood is a favorite for eating on the half shell"
"onions","The Maui and Vidalia are 2 of the sweeter varieties of this vegetable"
"salisburysteak","This ""steak"" is basically a seasoned hamburger without the bun and sometimes served with gravy"
"ceviche","This Mexican dish made with seafood, chilies and tomatoes is marinated in lime juice rather than cooked"
"cinnamon","Goldschlager, a spicy schnapps of this flavor, contains flakes of 24 karat gold leaf"
"washington","The 3 primary wine-growing regions of this state are Columbia Valley, Yakima Valley and Walla Walla"
"butter","By U.S. law this spread must be at least 80% milkfat; the rest is water and milk solids"
"bologna","This lunch meat is named for the Italian city that's also home to mortadella"
"portugal","Sogrape, this country's largest wine company, produces Mateus Rose and Ferreira Port"
"bluecrab","After it molts this colorful crab is the most popular soft-shell variety in the U.S."
"smoothie","Named for its consistency, it's a beverage made by blending fruit with yogurt, milk or both"
"crepessuzette","To top off a French meal, you might try this pancake dish served flaming in an orange sauce"
"gyro","Lamb served in a pita and topped with onions, peppers and sauce makes up this Greek sandwich"
"jackdaniels","Lynchburg, Tennessee is home to the distillery that makes this brand of sour mash whiskey"
"eggnog","During the holidays you can buy this cool creamy Christmas drink in cartons, minus the liquor"
"denmark","Tuborg is a famous beer from this country"
"fondue","Add cherry brandy and seasonings to melted gruyere cheese and you'll have this classic dipping dish"
"pasteurization","The raw milk sold in health-food stores hasn't gone through this sterilization process"
"rum","The cake called a baba is sometimes soaked in kirsch instead of this liquor"
"aburrito","A chimichanga is one of these Mexican food items that's been fried, filling and all"
"crabmeat","In veal oscar the cutlets are traditionally topped with crayfish or this seafood"
"anorange","The bigarade is one of the oldest known varieties of this citrus fruit"
"dintymoore","Hormel makes a microwavable version of this man's beef stew"
"gerber","Company that uses the sketch seen here by Dorothy Hope Smith"
"bettycrocker","In 1921 the Washburn Crosby Company created her to promote its flour and baking products"
"alps","Evian water comes from a spring in this mountain range"
"pharmacists","Profession of the inventors of Pepsi and Coke"
"orange","Varieties of this citrus fruit include the blood, Jaffa and Valencia"
"tequila","The Jose Cuervo brand of this liquor dates back to 1758"
"porterhouse","This rather large steak contains both the T-bone and part of the tenderloin"
"zima","In 1992 Coors introduced zomething new and different, this clear malt beverage"
"java","Indonesia is famous for this variety of coffee that's often blended with mocha"
"amarshmallow","This hot chocolate topper is no longer made from the root of the plant that it's named for"
"feta","Artichoke hearts or spinach and this crumbly Greek cheese make great toppings for a pizza"
"apearl","The name of this gem precedes both a marble-sized onion and a type of barley"
"ademitasse","French ""half cup"", it's a small coffee cup or the strong, black coffee that's served in it"
"olives","These come in a variety of sizes from small to supercolossal and are often stuffed with pimientos"
"sauerkraut","This fermented cabbage dish is a popular ingredient in a Reuben sandwich"
"wienerschnitzel","This tasty veal dish derives its name from the German for ""Viennese cutlet"
"frappefrappucino","From French for ""to strike"" or ""chill"", it's a tall, cool coffee drink blended with sugar and ice"
"vidaliaonion","How sweet it is!  This onion is Georgia's state vegetable"
"amargarita","In 2001 a 5,861-gallon version of this drink was served up at a Jimmy Buffett-owned place in Orlando"
