"squash","The summer varieties of this gourd-like vegetable are eaten green; the winter ones, ripe"
"apomegranate","This fruit with many seeds is grown on the Punica granatum tree"
"taro","Poi, a luau treat, is made from these mashed roots"
"anapple","A greengage is a plum and a greening is this fruit"
"arutabaga","This somewhat coarse root vegetable is also called a swede or a Swedish turnip"
"tomato","The egg-shaped plum variety of this makes a great spaghetti sauce"
"grapefruit","Many dieters eat helf of one of these, like the Star Ruby or Rio Red, before every meal"
"spinach","What the French call epinard we call this"
"apples","For cooking, popular ones of these include the Gravenstein and the Greening"
"jicama","Also called a Mexican potato, this crunchy vegetable can be baked, boiled or fried, or served raw in salads"
"cherries","Maraschino liqueur is flavored with the pits and pulp of the marasca kind of these"
"potato","The Yukon Gold variety of this vegetable has a moist texture and is good mashed"
"pear","To make Poile Helene, place a poached one of these atop vanilla ice cream and top with chocolate sauce"
"strawberry","Many consider the French fraise des bois the most flavorful type of this fruit"
"lettuce","The head varieties of this vegetable are divided into butterhead and crisphead"
"melon","Santa Claus, casaba and Crenshaw are types of this fruit"
"parsnip","This root vegetable looks like, sounds like and is related to parsley"
"agherkin","It's both a type of gourd and a small immature cucumber"
"tomato","Ponderosa, Big Boy hybrid and Sunray are popular varieties of this"
"kiwi","Two of these fuzzy-skinned fruits from New Zealand contain more potassium than a banana"
"spaghettisquash","This creamy yellow squash is served much like the pasta it's named for"
"rhubarb","The reddish stalks of this vegetable are often added to strawberry pie"
"okra","In the South, this vegetable that thickens gumbo is also eaten fried"
"eggplant","In Europe, it's known as an aubergine"
"radish","The root of a plant of the mustard family, this veggie resembles a small beet"
"alemon","The Eureka is a type of this citris fruit"
"asparagus","The white type of this stalked veggie is grown underground; it can't produce chlorophyll and turn green"
"passionfruit","The name of this tropical fruit comes from the resemblance of its flowers to symbols of the crucifixon"
"apineapple","In French, a banana is banane; this tropical fruit is ananas"
"grapes","Riesling, syrah"
"oranges","Seville, jaffa"
"potatoes","Yukon gem, ranger russet"
"grapefruits","Ruby red, star ruby"
"atomato","Green zebra, plum"
"orange","The seedless navel is a sweet variety of this"
"avocado","Alligator pear is another term for this"
"banana","The plantain member of this fruit family, musaceae, is also called Adam's fig"
"lime","A wedge of this fruit is the traditional accompaniment for a shot of tequila"
"lycheenut","Called a nut when dried, this is the fruit of the Soapberry tree, native to China"
"cranberries","It's believed that this red berry grown in bogs was served at the first Thanksgiving"
"beet","Mangoldwurzel, used for cattle feed, is a variety of this red root vegetable"
"citrus","The name of this fruit group comes from the Greek word for cedar; kedros"
"pumpkin","Burpee ran a 1990 contest for the largest prize-winner variety of this; the deadline for entry was October 31st"
"potato","Except for grains, this tuber is the most widely consumed human food"
"potatochips","They were once called ""Saratoga Chips"" after the town in New York where they were first made"
"strawberries","These red ""berries"" grown on the ground aren't true berries because the seeds are on the outside"
"jelly","Of jams, jelly or preserves, the one that contains no fruit, only fruit juice"
