"Accio","Incantation of the Summoning Charm. For example this incantation '---- Firebolt' would cause the required broomstick to fly into the hand of the person using the charm."
"Aconite","Plant used in potions. Also known as monkshood or wolfsbane."
"Acromantula","Monstrous eight-eyed hairy spiders capable of human speech. Carthorse-sized and carnivorous they have eight legs and sharp pincers. When excited or angry they make a distinctive clicking sound and secrete poison. They fear Basilisks."
"Alchemy","A medieval forerunner of chemistry this practice developed out of experiments to find a method of turning base metals into gold and of making an elixir of life that would prolong life indefinitely."
"Alohomora","Incantation of the spell that opens locked things such as doors and windows."
"Animagus","A witch or wizard who can at will transform into a specific animal. They must register with the Ministry of Magic stating what animal they become and its distinguishing features."
"Anti-venom","An antivenin or anti-poison that counteracts a specific venom such as that of a snake."
"Aparecium","The incantation to magically reveal hidden writing or markings."
"Apparate","To transport oneself instantly to any destination. It is accompanied by a loud crack sound and there is always a risk of Splinching. Because it is difficult and dangerous Appariation requires a licence from the Department of Magical Transportation which can only be issued to those of seventeen and over. It is impossible to Apparate or Disapparate within Hogwarts."
"Arithmancy","Ancient study of the magical properties of numbers."
"Astronomy","Study of the stars and planets."
"Auror","Professional Dark-wizard catcher. "
"Azkaban","Prison fortress where wizarding criminals are sent. Guarded day and night by the terrifying Dementors who drain peace hope and happiness out of any human in their vicinity."
"Basilisk","Snake-like creature whose gaze will turn you to stone."
"Beater","Quidditch player who tries to knock the Bludgers towards the opposing team."
"Bezoar","Stone taken from the stomach of a goat. A bezoar will counteract the majority of poisons."
"Bludgers","Black balls that try to knock players off their broomsticks in Quidditch."
"Boggart","Shape-shifter that takes on the likeness of your worst fear."
"Bowtruckle","Tree guardian. These tiny creatures are made of wood and usually live in wand-trees. They have knobbly brown arms and legs two twig-like fingers at the end of each hand and a flat bark-like face with beetle-brown eyes. Eat woodlice."
"Bubotuber","Plant that resembles a black slug with swellings that contain a yellowish-green liquid. Its pus is used to cure acne but undiluted it can cause sores and boils."
"Butterbeer","Frothy buttery drink drunk by witches and wizards."
"Centaurs","Half-man half-horse creatures. Centaurs live in the Forbidden Forest."
"Charm","Spell that adds properties to an object or person."
"Chaser","Quidditch player who tries to score using the Quaffle."
"Chimaera","A rare Greek monster with a lions head a goats body and a dragons tail. Vicious and bloodthirsty."
"Chocoballs","Wizarding sweets full of strawberry mousse and clotted cream."
"Colloportus","Magical incantation for a spell that seals doors."
"Comet","A type of broomstick flown by Cho Chang."
"Crup","Almost certainly a wizard-created dog that closely resembles a Jack Russell terrier but with a forked tail. Intensely loyal to wizards and ferocious towards Muggles."
"Prophet","This is the daily national wizarding newspaper."
"Death","These eaters are Witches and wizards known to be loyal to Lord Voldemort. "
"Deathday","This party is held by ghosts to commemorate the day they died. In Harrys second year at Hogwarts he Ron and Hermione attend Nearly Headless Nicks Deathday Party."
"Decree","A law made by someone in authority. In Harrys fifth year at Hogwarts Professor Umbridge initiates a number of increasingly restrictive Ministry of Magic decrees."
"Dementor","Creature who feeds on the happy emotions of humans. Dementors are employed as guards at Azkaban."
"Densaugeo","Incantation for a spell causing teeth to grow."
"Diagon ","This alley is a long cobbled street filled with the most fascinating wizarding shops in the world. Accessible through the Leaky Cauldron pub in London."
"Diffindo","Severing Charm."
"Disapparate","To disappear at will."
"Dissendium","Incantation for the spell that opens the entrance to a secret passage leading to Hogsmeade."
"Divination","Magical art of telling the future using tea leaves crystal balls and so forth. Professor Trelawney is Divination teacher at Hogwarts."
"Doxy","Also known as a Biting Fairy it looks like a tiny human covered in black hair but has four arms and four legs and thick curved and shiny wings like a beetle. They multiply rapidly by laying up to five hundred eggs at a time. Infestations can be treated with Doxycide spray. A Doxy bite is poisonous and must be treated with an antidote."
"Dragon","Mythical reptilian creature who can fly and breathe fire. Hagrid is particularly fond of them and has a Norwegian Ridgeback called Norbert for a while."
"Dumbledore","His 'army' also known as the DA a group of Hogwarts students who in Harrys fifth year meet secretly to develop their skills in Defence Against the Dark Arts."
"Dungbomb","Stinkbomb."
"Durmstrang","This institute is a school of witchcraft and wizardry somewhere in the far north of Europe. It is smaller than Hogwarts but has more extensive grounds."
"Eeylops","This Owl emporium in Diagon Alley where Hagrid bought Hedwig for Harrys eleventh birthday."
"Engorgio","Swelling charm."
"Evanesco","Incantation for the Vanishing Spell."
"Expelliarmus","Incantation of the Disarming Charm a basic spell to disarm an opponent by making their wand fly out of their hand."
"Exploding","This type of bonbons are wizarding sweets available from Honeydukes in Hogsmeade."
"Ferula","Incantation for the spell to conjure a sling for a broken limb."
"Fidelius","This charm conceals a secret within a person (Secret Keeper) so that no one will know about it unless the Secret Keeper chooses to divulge it."
"Firebolt","Fastest most technologically advanced broomstick during Harrys third year at Hogwarts. Can accelerate from 0 to 150 miles per hour in ten seconds."
"Flagrate","Incantation for a spell that causes a fiery mark to appear."
"Flobberworm","Species of worm that Harry and his friends have to keep alive in order to pass in their Care of Magical Creatures lessons."
"Floo","This powder allows witches and wizards to travel magically via this network by throwing the powder into a fireplace stepping into the flames and naming their destination."
"Flutterby","This kind of bush is used in Herbology."
"Foe","This kind of glass is a magic mirror in which you can see your enemies. "
"Furnunculus","Incantation for a curse that causes boils."
"Galleon","Gold wizarding money."
"Garrotting","This gas that catches people by the neck if they pass through it. "
"Ghoul","Ghostly creature that generally lives in attics eating spiders and moths. The Weasleys have one living in their attic."
