"malemail","Masculine, or letters and packages"
"profitprophet","A monetary gain, or one who foretells the future"
"earnurn","Deserve, or a large decorative vase"
"danedeign","A native of Copenhagen, or to stoop to do something"
"peekpeak","To take a quick look, or the top of a mountain"
"hostilehostel","Antagonistic, or an inexpensive lodging place for young people abroad"
"wurstworst","It's a sausage, or the absolute least best"
"plateplait","A dish, or a braid of hair"
"palepail","Wan, or a bucket"
"sweetsuite","Sugary, or a group of hotel rooms"
"nayneigh","A negative vote, or a horse's whinny"
"basksbasques","Lies in the sun, or people who live in the Pyrenees"
"citesight","Quote an authority, or catch a glimpse of something"
"roamrome","To wander, or a European capital"
"cannoncanon","A big gun, or a book of religious law"
"princeprints","A member of a royal family, or some photographs"
"whaleswales","Large ocean mammals, or a small division of Great Britain"
"chewschoose","Masticates, or select"
"roamrome","To aimlessly wander, or Italy's capital city"
"kernelcolonel","A whole seed grain of corn, or a military rank"
"duedew","Expected at a certain time, like a library book, or moisture condensed from the air"
"cymbalssymbols","Percussion instruments that clang, or things that represent other things"
"alteraltar","To modify, or a place where sacrifices are performed"
"veinvain","It can be a blood vessel, or being excessively proud of oneself"
"scentsent","An aroma, or transmitted"
"choosechews","Select, or masticates"
"stationerystationary","Writing paper, or standing still"
"bridlebridal","Part of a horse's harness, or pertaining to a woman on her wedding day"
"rainsreins","Showers, or leather straps that control a horse"
"bridlebridal","A horse's harness, or pertaining to a wedding"
"earnurn","To acquire through merit, or a large decorative vase"
"carrotkarat","A plant of the parsley family, or a unit to measure the fineness of gold"
"sheershear","Transparently thin, or to cut wool"
"reignrain","To rule over, or to shower upon"
"pierspeers","Jetties, or people of the same legal status, as on a jury"
"donedun","Finished, or a grayish-brown horse color"
"ateeight","Had a meal, or an octet"
"cruelcrewel","A brutal form of embroidery?"
"basebass","The lowest part of a column or the lowest singing voice in a vocal composition"
"arcark","A segment of a curve or a chest for 10 Commandments"
"soarsore","To fly high above the clouds or something painful to the touch"
"stilestyle","The vertical part of a doorframe or the current fashion"
"navalnavel","Pertaining to a sailor, or to his belly button"
"writerite","Take note, it can mean to jot down, or a religious ceremony"
"canvasscanvas","To survey opinions, or what an artist paints on"
"holywholly","Sacred and hallowed, or totally and completely"
"reekwreak","It can mean to have a strong offensive smell, or to cause something, like havoc"
"bawlball","A baby may do this when this plaything bounces away"
"heelheal","The crust end of a loaf of bread, or to make well"
"havehalve","Possess, or divide into 2 equal pieces"
"braysbraise","Makes noise like a donkey, or to cook fat-browned meat slowly in a small amount of liquid in a covered pot"
"mightmite","Maybe, just perhaps, this small arachnid will attack your plant"
"firfur","A tree having single flattened needles or the pelt of an animal"
"halehail","Free from illness or precipitation falling in the form of large ice pellets"
"castcaste","The actors in a play or one of the hereditary groups that make up Hindu society"
"quaykey","A wharf where ships are unloaded or a metal implement used to open a lock"
"popoe","A river that empties into the Adriatic or an author of macabre verses"
"creekcreak","A small stream, or the sound a squeaky stair makes"
"boarbore","A wild hog, or to drill a hole"
"cordchord","A measure of wood, or three or more musical notes played together"
"gildguild","To coat with gold, or an association for members of the same profession"
"meddlemedal","To interfere in someone's business, or an Olympic award"
"coykoi","Shy or reserved, or a Japanese pond fish"
"priesprize","Snoops into someone's affairs, or an award for winning a contest"
"rightrite","Correct, or a proper religious ceremony"
"rayedraid","Emanated beams of light, or a sudden attack by the police"
"wailwale","Cry like a banshee, or a ridge in corduroy"
"heelheal","Achilles died because his wound here would not do this"
"minersminors","Only a few of these in the Pennsylvania coal fields are under 18 years old"
"bussbus","A big kiss upon parting, or the Greyhound that carries you away"
"cruisecrews","Vacationing on a ship, or people that staff them"
"moodmooed","Emotional state of a cow who bellowed"
"lyreliar","A stringed instrument of yore, or a fabricator"
"taxtacks","One levy, or 2 pushpins"
"maizemaze","Corn, or a labyrinth"
"sinesign","A trigonometric function, or a placard"
"dissentdescent","Grumbling in the ranks, or hereditary derivation"
"balebail","When Clem got arrested for stealing this bundle of hay, he had to make this to get out of jail"
"beachbeech","A shore area, or a hardwood tree growing near it"
"fleeflea","Run away?  This insect hops away"
"teastees","It's what Lipton's could put in golf bags,or what's already there"
"tiethai","With a relaxed dress code, you won't need to wear one at this type of Asian restaurant's bar"
"peekpeak","Zebulon Pike got only this glimpse of this, his namesake"
"blewblue","What Hurricane Andrew did or how some people felt when he did it"
"hartheart","When a hunter aims at this red deer, this often beats faster"
"prophetprofit","He might predict you'll wind up with more money than expenses"
"principalprinciple","The head of a high school, or a fundamental truth he or she believes in"
"straightstrait","Uncurved, or a narrow passage of water"
"barredbard","Prevented, or a poet (maybe Shakespeare)"
"plaitplate","To braid one's hair, or a piece of tableware"
"coopcoupe","Chickens and jailbirds ""fly"" it; others drive the 2-door style"
"moussemoose","A frothy French dessert, or Bullwinkle, for instance"
"palettepalate","An artist's set of colors, or the roof of the mouth"
"sealingceiling","Closing an envelope, or the overhead part of a room"
"odeowed","A poem of praise, or was indebted to"
"piecepeace","A portion, or a state of harmony"
"pleasepleas","Entreatments that precede ""Thank You"
"polepoll","Run the flag up one to take a survey on how many people would salute"
"densedents","Thick as a brick or dings in a fender"
"recedereseed","Fall back to plant again"
"motemoat","A speck of dust or the area around a castle"
"pastepaced","To fasten with glue, or walked up and down nervously"
"pactpacked","An agreement, or filled to capacity"
"sidesighed","A lateral half of the body, or exhaled audibly with sorrow"
"aresaries","The Greek god of war, or the sign of the zodiac that follows Pisces"
"mademaid","Crafted, or the upstairs cleaning lady"
"fleeflea","Run away from a tiny circus bug"
"peatpete","Fuel from a bog, or the ""Little Rascal"" dog"
"trackedtract","Followed footprints through the forest, or a large expanse of land"
"traytrey","A serving piece that can be fancy, or a fancy name for a card in the deck"
"dyedie","It can be a permanent coloring, or a cube with dots--roll again"
"chasedchaste","Ran after someone, or pure and virginal"
"bussedbust","Kissed, or a head-to-shoulders sculpture"
"fawnfaun","A young deer, or a half-man, half-goat deity"
"lessenlesson","Reduce, or something to be learned or studied"
"flewflue","Took a plane, or part of a chimney"
"swayedsuede","Moved to and fro, or leather finished with a soft nap"
"leastleased","The smallest amount, or rented out for a long term"
