"latin","Romanian developed from this language of the ancient Romans"
"greek","Athenians speak the Attic dialect of this language"
"french","Most of the classes in Quebec schools are taught in this language"
"indonesia","Javanese is the native language of about 60 million people on the island of Java in this country"
"portuguese","Most of the people of Brazil speak this official language"
"danish","This Scandinavian language changed ""aa"" to a circle-topped ""a"", making it closer to Swedish and Norwegian"
"latin","All of the Romance languages have their roots in this language"
"indonesia","Balinese is spoken on several islands of this country"
"magyar","Hungarians call their official language this"
"pakistan","Punjabi is spoken by about half of all households in this country"
"hebrew","Scholars agree that the oldest form of this language can be found in the song of Deborah in Judges"
"dutch","This language is known by its speakers as Nederlands"
"dinka","Of Inka, Dinka or Doo, an actual language spoken in southern Sudan"
"india","More than 375 languages and dialects are spoken in this country's Madhya Pradesh state"
"hungarian","Gaspar Karolyi's translation of the Bible in 1590 was influential in the development of this as a national language"
"egyptiangreek","The 2 languages on the Rosetta Stone"
"chinese","The Mandarin dialect of this language has 4 tones:  high-level, rising, low-dipping and falling"
"dutch","This language has over 12 million speakers in the Netherlands and about 5 million in Belgium"
"greek","The prose of this ancient language was developed mainly in Ionia"
"hebrew","In its earliest form, this Old Testament language was probably identical to Phoenician"
"estonian","Tallinn is the northern dialect of this European language"
"portuguese","It's the official language of Angola, Mozambique, Brazil and the country where it originated"
"latin","Scholars estimate that half of the words in English are derived from this ancient tongue"
"italian","Our words balcony, umbrella and volcano come from this modern language"
"romania","It's the only Warsaw Pact nation in which a Romance language is official"
"latvian","This Baltic language is also called Lettish"
"polish","W szczebrzeszynie, chrzaszcz brzmi w trzcinie, ""...a beetle buzzes in the reeds"", is a tongue twister in this language"
"kurdish","Mosul is a good place to hear the Northern Kurmanji dialect of this minority language of Iraq"
"aramaic","In the 500s B.C., this replaced Hebrew as the Jews' language; part of the Book of Daniel is written in it"
"turkish","In the 1920s this language of Anatolia switched from the Arabic to the Latin alphabet"
"italian","Speakers of this language, not Spanish, answer the phone with ""pronto"
"quechuan","Machu, as in Machu Picchu, means ""old"" in this language"
"cantonese","Spoken by most people in Hong Kong, it has 9 tones compared to Mandarin's 4"
"catalan","In this language heard in and around Barcelona, the Spanish ""bueno"" becomes simply ""bo"
"english","It evolved from Anglo-Saxon dialect of Wessex"
"german","Prior to WWII this language was traditionally written in a Gothic style called ""Fraktur"
"madagascar","Malagasy and French are the languages of this island off the coast of Africa"
"italian","The modern form of this language is based on the Tuscan dialect"
"bantu","Zulu and Swahili are among the best-known languages of this African language group"
"afrikaans","This language was originally based on a form of Dutch called Hollands, but has words from Khoi and Zulu"
"italian","This modern language has its roots in the vernacular of Tuscany"
"english","This is the only European language where adjectives don't change to agree with the nouns they modify"
"french","The official languages of the east African country of Djibouti are Arabic and this"
"vietnamese","In Hanoi the Romanized writing system of this language is called Quoc Ngu"
"spanish","It's Panama's official language"
