"bows","Pernambuco or brazilwood is frequently used to make this accessory for string players"
"tonic","The keynote of a major or minor scale also has this drinkable name"
"concertogrosso","From the Italian for ""big"", it's a concerto for an orchestra and a group of instrumental soloists"
"whiffenpoofsong","This song associated with Yale was popularized by Yale alumnus Rudy Vallee"
"sigmundromberg","Popular operettas he wrote in the 1920s include ""The Desert Song"" and ""The Student Prince"
"glennmiller","Tenor sax man Tex Beneke sang on this orchestra leader's hit ""Chattanooga Choo Choo"
"louder","Accelerando means the music is getting faster; crescendo means it's getting this"
"violin","One of Paganini's major works is the Concerto No. 1 in D Major for this instrument"
"aballet","Beethoven's ""Creatures of Prometheus"" is music to accompany this type of performance"
"opus","A composer's works are often numbered and appear with the abbreviation Op., which stands for this"
"timpani","Earlier composers used these large drums in pairs; modern composers may use 3 or more"
"jazz","Styles of music in the titles of the JVC and Playboy festivals"
"richardstrauss","After his 1901 opera ""Feuersnot"" flopped, he found a wild story, ""Salome"
"acappella","In Italian this term for vocal music without instrumental accompaniment means ""as in the chapel"
"michaeljackson","The ""Black or White"" video from his ""Dangerous"" album was directed by John Landis"
"bennygoodman","This Big Band clarinetist's 1939 autobiography was titled ""The Kingdom of Swing"
"tonyorlando","Telma Hopkins and Joyce Wilson provided backup vocals for him on ""Tie a Yellow Ribbon Round the Ole Oak Tree"
"johnnycash","His No. 1 country song ""A Boy Named Sue"" was recorded live at San Quentin Prison"
"jamsession","2-word ""bread-spread"" term for an impromptu performance by jazz musicians"
"balalaika","One common type of this Russian lute usually has its three strings tuned to E, E and A above middle C"
"waltz","Josef Lanner was one of the first composers to write music for this dance that evolved from the landler"
"chorister","This 9-letter word can refer to any singer in a church, but in England it often means a choirboy"
"andante","Italian for ""going""; it's a musical direction to play in a moderate walking tempo"
"tchaikovsky","In 1891 this Russian composer conducted his own ""Marche Solennelle"" opening week at Carnegie Hall"
"transpositionmodulation","The process of changing from one key or tonality to another is called this"
"arnoldschoenberg","This Viennese emigre created a new method of atonal composition and later taught at UCLA and USC"
"aria","The ""lamento"" type of this operatic solo is a feature of early Italian operas"
"edinburgh","An 1829 visit to Holyrood Palace in this city inspired Mendelssohn's ""Scottish Symphony"
"vancliburn","This American pianist was in his 20s when he won the Tchaikovsky competition in Moscow in 1958"
"franzliszt","Composer who wrote the famous Hungarian Rhapsody No. 15, ""The Rakoczy March"", heard here"
"maracas","To perform Prokofiev's ""Romeo and Juliet"" an orchestra needs a pair of these gourd rattles"
"igorstravinsky","He composed ragtime music in addition to the ballets ""The Firebird"" and ""Petrushka"
"jennylind","Soprano born in Stockholm October 6, 1820; her last public performance was in 1883"
"blackwatch","In 1989 this Scottish military pipe, drum and dance corps celebrated its 250th anniversary"
"jazz","Bop and bebop, which emerged in the 1940s, are styles of this type of music that debuted decades earlier"
"aviolin","Paganini owned one of the most famous of these instruments made by the Guarneri family"
"jennylind","Meyerbeer wrote his opera ""Ein Feldlager in Schlesien"" for this ""Swedish Nightingale"
"afalsetto","A male singing voice artificially producing tones above its normal range"
"englishhorn","In Italian this instrument is the corno inglese"
"menotti","His operas include ""Goya"", ""Help, Help, the Globolinks!"" and ""The Saint of Bleecker Street"
"prokofiev","At 17 this Russian was an enfant terrible; in 1929 he composed the ballet ""L'Enfant Prodigue"
"marieantoinette","Legend says one of Haydn's symphonies is nicknamed ""The Queen"" because this queen of France liked it"
"papillon","The name of this set of 12 Schumann piano pieces is French for butterflies"
"johannstrauss","This waltz composer's ""Blue Danube Waltz"" is featured in the ballet ""Le Beau Danube"
"engelberthumperdinck","His ""Kinderlieder"" (children's songs) are far less famous than his opera about 2 kids in the woods"
"greensleeves","Shakespeare mentioned this folk tune attributed to Henry VIII in ""The Merry Wives of Windsor"
"sitar","The stringed instrument played sitting cross-legged on the floor, sometimes with a tabla, an Indian drum"
"g","The 3 clef signs in current use are C, F and this, also known as treble"
"richardnixon","An odd subject for an opera, but composer John Adams wrote one about this president's 1972 trip to China"
"lieder","Franz Schubert was probably the best-known composer of these German songs"
"johannpachelbel","Many a wedding procession has featured the following canon by this composer"
"marimba","This instrument is Latin America's equivalent of the xylophone"
"donquixote","This tone poem by Richard Strauss was based on a book by Cervantes"
"eight","In boogie-woogie piano music, the left had plays this many beats to the bar repeatedly"
"flute","It's the instrument associated with Jean-Pierre Rampal"
"atoccato","Virtuoso keyboard piece whose name is Italian for ""touched""; Bach paired several with fugues"
"choir","You can get the Mahler ""Symphony of a Thousand"" with the London Philharmonic Orch. and London Philharmonic this"
"arecitativo","Term for an opera passage that's more spoken than sung, with little accompaniment"
"synthesizer","1968's ""Switched On Bach"" popularized the Moog type of this instrument"
"natural","In musical notation this sign cancels a previous sharp or flat"
"riff","Probably derived from refrain, this 4-letter term is a constantly repeated musical phrase in jazz"
"leonardbernstein","His 75th birthday was celebrated posthumously in 1993 with video releases of his ""Young People's Concerts"
"georgewinston","Among the albums by this New Age pianist are ""December"", ""Autumn"" and ""Winter Into Spring"
"piano","Irving Berlin could play this instrument in 1 key only, so he used a special gadget to help him switch keys"
"paulmccartney","This singer and his wife Linda wrote the Oscar-nominated theme song for the 007 film ""Live And Let Die"
"spain","As court singer, the famed Castrato Farinelli soothed the melancholia of this country's King Philip V"
"richardwagner","The Fairies"", the 1st completed opera by this ""Parsifal"" composer, was never performed in his lifetime"
