"viola","A little larger than the violin, it's the alto or tenor of the family"
"adrummer","Phil Collins once said, ""Whatever else I am, I'm"" one of these ""first"
"playerpiano","You insert a roll into this instrument for it to tickle its own ivories"
"psalterion","From the Greek ""psallein"", to pluck, we get this plucked type of zither that's mentioned in the Bible"
"reeds","For his set of pipes, the god Pan cut this into different lengths and strapped them in a row"
"fluegelhorn","Its German name means ""flank horn"" or ""wing horn"", from its use in battle"
"banjo","The body of this instrument used in minstrel shows is similar to a tambourine"
"contrabassoon","The double bassoon is also known by this name"
"concertgrand","Sizes of grand pianos include baby grand, parlor grand and this, the largest"
"cremona","The Amati family began making violins in this Italian city in the 1500s"
"india","One of the leading sarod virtuosi is Amjad Ali Khan from Madhya Pradesh in this country"
"aviola","With its strings tuned to C, G, D and A, it has a range a fifth lower than the violin's"
"bassoon","Of the woodwinds in a standard symphony orchestra, it's the closest to the size of the person playing it"
"triangular","A banjo's body is round; a balalaika's is this shape"
"reed","If you're a beginning clarinetist, you should use a ""soft"" one of these"
"wales","The crwth is a stringed instrument from this cntry"
"sousaphone","This bass tuba was suggested by and named for a turn of the century American bandmaster and march king"
"virginal","In England it was the chaste name for the square-shaped harpsichord"
"accordion","Lawrence Welk was nicknamed ""The Liberace of"" this musical instrument"
"kettledrums","These large bowl-shaped drums are also called timpani"
"ukulele","The Portuguese machete is the ancestor of this Hawaiian instrument"
"mandolin","Neapolitan folk songs often feature the Neapolitan type of this lutelike instrument"
"recorder","This end-blown woodwind with a whistle mouthpiece was the dominant flute of the Baroque period"
"maracas","Almost always played in pairs, these rattles originated among the Indians of South America"
"aslide","Instead of having valves like a trumpet, a trombone has this to alter the pitch"
"aflute","Popular with amateur musicians, the recorder is a type of this woodwind"
"japan","A long-necked lute called the samisen is a popular instrument of this country"
"flugelhorn","The 1978 hit ""Feels So Good"" features Chuck Mangione on this brass instrument"
"clarinet","Licorice stick is a slang term for this woodwind instrument"
"violin","Jascha Heifetz taught a master class on this instrument at USC"
"bassguitar","Flea of the Red Hot Chili Peppers is best known as a player of this stringed rhythm instrument"
"oboe","The Japanese hichiriki is a type of this Western double-reed woodwind instrument"
"ukulele","This Hawaiian instrument comes in 4 sizes: soprano, concert, tenor and baritone"
"saxophone","Even though it's made of metal, this instrument invented around 1840 is considered a woodwind"
"clavichord","The name of this oldest stringed keyboard instrument is from the Latin for ""key string"
"frets","A violin doesn't have these dividing lines on its fingerboard as a guitar does"
"stone","A lithophone is an old oriental percussion instrument made of this, but you wouldn't find it in a rock band"
"cymbals","A hi-hat is a foot-operated pair of these"
"bells","A glockenspiel sounds like these, ""glocken"" being the German word for them"
"flute","Jean-Pierre Rampal was best known for his virtuosity with this instrument"
"clarinet","The first music for this reed instrument now usually tuned in B flat appeared in Amsterdam in the early 1700s"
"lyre","This instrument of the cult of Apollo lent its name to the type of poetry it accompanied"
"agong","Striking one of these metal discs, perhaps the tam-tam, yields a highly resonant sound; just ask Chuck Barris"
"clarinet","Stravinsky's 1945 ""Ebony Concerto"", written for Woody Herman, was primarily for this instrument and jazz band"
"harp","Also a species of seal, it's the instrument on Ireland's official seal"
"aviolin","Isaac Stern was overwhelmed at how well Meryl Streep learned to play this for her film ""Music of the Heart"
"piano","John Cage came up with the ""prepared"" type of this instrument by placing objects on, between and under its strings"
"piano","A veteran of Waterloo, Henry Steinway began manufacturing this instrument in the 1830s"
"banjos","A musical performance from the movie ""Deliverance"" features a ""Dueling"" pair of these"
"atuba","Used in military bands, the large-bored euphonium is a type of this brass instrument"
"aviolin","European dance masters used to accompany pupils with a pochette, a small version of this stringed instrument"
"oboe","The English name of this woodwind is a corruption of its French name which means ""high wood"
"flute","Newly discovered, perhaps the oldest playable instrument is one of these, made from a crane's bone"
"abanjo","The song ""Oh Susanna"" says, ""I come from Alabama"" with this ""on my knee"
"aukelele","Kamaka Hawaii is a well-known maker of this instrument that looks like a small guitar"
"anorgan","In 1934 Laurens Hammond invented an electric one of these musical instruments without pipes"
"piano","Around 1709 Cristofori became a key player in this new instrument's history"
"harp","Sometimes part of an orchestra, it's the heavenly instrument heard here"
"organ","The name of this instrument can also refer to a body part"
"ukulele","You might hear this instrument when visiting Honolulu"
"tambourine","A wandering minstrel could make good use of this handheld percussion instrument heard here"
"bongodrums","Seen here, this is a real ""hands-on"" instrument"
"ukulele","The name of this small guitar-like instrument popular in Hawaii is Hawaiian for ""jumping flea"
"bagpipes","You need a lot of hot air to play this instrument"
"harp","This orchestral giant can have up to 48 strings and measure nearly 6 feet tall"
"viola","This string quartet instrument that's deeply pitched and slightly larger than a violin has a similar name"
"atambourine","Hey, Mr.!  It's a shallow frame drum with a single head and metal discs fitted into the walls of the frame"
"aukulele","Ohana makes some models of this stringed instrument in a pineapple shape"
"maracas","Modern versions of these Latin American rattles contain lead shot rather than beads or seeds"
"anoboe","On film, Danny Kaye called this reed instrument ""an ill wind that no one blows good"
"woodwinds","The saxophone belongs to this family, not the brass"
"guitar","If someone showed you his ""Fender Stratocaster"", you'd be looking at one of these"
"snares","Term for the various strands of gut, nylon, or wire stretched over the head of a sidedrum"
"magicflute","In a famous opera, the Queen of the Night gives Tamino this instrument"
"bugle","The first official list of military calls for this trumpet-like valveless instrument was issued in 1798"
"fholes","A violin body amplifies the sound escaping from the 2 holes usually called these, as they resemble an italicized letter"
"apiccolo","Fife and drum corps often use this higher-pitched woodwind whose name means ""small"
"bells","The theme song of ""Futurama"" features chimes, also known as tubular these"
"acalliope","This steam-whistle organ was often used on 19th century Mississippi steamboats to announce their arrival at ports"
"trumpet","The difference between a cornet and this almost-indentical inst. is that the cornet is shorter, with a more conical bore"
"stradivarius","The labels on his violins bear a Maltese cross and the initials A.S., enclosed within a double circle"
"frets","To make notes or chords on a guitar, place your fingers in the areas between these metal strips"
"steeldrums","The first pitched versions of this Trinidadian instrument were made from small convex metal containers"
"amarimba","Similar to a xylophone, it's the national musical instrument of Guatemala and other Central American countries"
"organ","Divisions of pipes on this instrument include great, swell, positive and pedal"
"benjaminfranklin","In 1761 this Pennsylvania statesman invented the glass harmonica"
"piccolo","This orchestral instrument is an octave higher than an ordinary flute"
"sitar","Popular in northern India, it's the instrument seen here: (Alex ""playing"" the instrument!)"
"banjo","Slaves from western Africa are credited with bringing this stringed instrument to the New World"
"banjo","Member of the lute family mentioned in the lyrics of ""Oh Susanna"
"woodwind","Class of instruments to which the flute belongs"
"happyorgan","Instrumental"" title of this, only instrumental no. 1 hit of 1959:"
"gong","If you put J. Arthur Rank's, Donald Duck's, and Chuck Barris' together, you might have a bonang"
"ukulele","Derived from a Portuguese guitar called a machete, it was introduced into Hawaii in the late 19th century"
"bagpipes","The Highland version of this instrument has 2 tenor drones and a bass drone"
"harpsichord","This piano ancestor is named for its similarity to another instrument whose strings are also plucked"
"fife","A type of flute with 6 finger holes, its main modern use is in drum corps and military bands"
"kazoo","Toy instrument played by Paul McCartney on Ringo Starr's 1974 hit ""You're Sixteen"
"reed","The mouthpiece of an oboe contains a double one"
"castanets","A flamenco dancer should also be accomplished on these percussion instruments"
"brassband","Heard here and in a 1997 film, the Grimethorpe Colliery Band is this type of ""heavy metal"" band:"
"harp","It's played tilted back on the right shoulder; the shortest of the 47 strings are closest to the body"
"vibraphonevibes","Popularized by Lionel Hampton, you have to plug it in first"
"atriangle","This bent steel rod struck by a small metal rod is used in the final movement of Beethoven's Ninth"
"viola","This string quartet instrument that's deeper pitched and slightly larger than a violin has a similar name"
"ukulele","The name of this small guitar-like instrument popular in Hawaii is Hawaiian for ""jumping flea"
"bass","The bull-fiddle is also known as the double this"
"aharp","This orchestral giant can have up to 48 strings and measure more than 6 feet tall"
"ukulele","In 1920 Vahdah Olcutt Bickford published her method for playing this Hawaiian instrument"
"aclapper","The cowbell on a cow has one of these; the cowbell used by orchestras doesn't have one"
"clarinet","Richard Stoltzman, who went from playing Dixieland to Mozart, is a virtuoso on this woodwind"
"clavichord","The oldest form of stringed keyboard instrument, its name means ""key-string"
"glockenspiel","(Sarah of the Clue Crew in Munich, Germany)  The carillon in Munich's Town Hall is also called by this German name, for an instrument using metal bars"
"alyre","No, it's true! A crwth is a Welsh version of this ancient stringed instrument"
"castanets","The name of these paired concussion instruments is from the Spanish for ""chestnut"
