"wax","Daedalus used this substance to fasten the wings to his back"
"teeth","Cadmus planted these parts of a dragon to raise some troops"
"electra","The sister of Orestes, mourning became her"
"titans","Zeus' father, Cronus, was one of this group of 12"
"castor","Leda laid 2 eggs:  one with Helen and Pollux in it, the other containing Clytemnestra and him"
"gold","Danae gave birth to Perseus after Zeus visited her in the form of a shower of this precious metal"
"bat","In Australian myth, Ngunung-Ngunnut, one of these flying mammals, created the first woman"
"hermes","Daphnis, who invented pastoral poetry, was the son of this Greek messenger god and a Sicilian nymph"
"thor","This Norse god known for his great strength was a protector of peasants and farmers"
"harpies","These fiendish feathered females swooped down over Phineus and befouled his food"
"chimera","The name of this monster is from the Greek for ""she-goat"
"moon","In Roman mythology Luna was a goddess of this heavenly body"
"romulusremus","They were the twin founders of Rome"
"valhalla","In Norse myth a she-goat called Heidrun provides mead for the slain heroes of this hall"
"oedipus","The name of this ""complex"" king is Greek for ""swollen foot"
"bacchusdionysius","This Olympian taught Greek mortals how to cultivate grapevines and make wine"
"argo","Castor, Pollux and Theseus accompanied Jason on his journey aboard this ship"
"atlas","He was condemned to support the heavens after supporting Cronus' war against the Olympians"
"cerberus","Some poets described this dog as having 50 heads, but he's usually shown with 3"
"vesta","In her sanctuary in the Forum, she was not represented by a statue but by a flame tended by virgin priestesses"
"athena","Troy could not fall while it contained the Palladium, an image of this goddess"
"mountolympus","According to tradition, Zeus' home was on this mountain on the Thessaly/Macedonia border"
"pandora","One account had her opening a jar, not a box, but she still shuts it before hope escapes"
"minotaur","Asterius was the real name of this bull-headed creature"
"swan","After Zeus mated with Leda, disguised as this bird, Castor and Pollux were born in an egg"
"arachne","She and Athena had a weaving contest"
"midas","For a while, everything he touched turned to gold, including his daughter"
"argo","Jason died in his old age when the prow of this ship fell on him"
"fates","These three goddesses who controlled human destiny were called ""Moirae"" in Greek and ""Parcae"" in Latin"
"satyrs","These attendants of Dionysus, part man and part animal, were famous for chasing nymphs"
"charon","For a fee of one obolus, he ferried the souls of the dead across the river Styx into Hades"
"oedipus","As prophesied, this king of Thebes killed his father and married his own mother"
"romulusremus","These twin sons of Mars founded the city of Rome"
"minotaur","After slaying this monster, Theseus traced his way out of the labyrinth by following a thread"
"icarus","Despite his dad's warnings, he flew too close to the sun; the wax on his wings melted and he plunged into the sea"
"dido","Early on, this Queen of Carthage might have sung to Aeneas, ""And I want to thank you, for giving me the best day of my life"
"poseidon","When the brothers split up the world, Zeus got the heavens; Hades, the netherworld; and he, the sea"
"jackal","The Egyptian god Aenubis had the head of this dog-like scavenger"
"jason","Some say he was killed when part of his ship, the Argo, fell on him"
"mars","The most important Roman god next to Jupiter; in fact, it is next to Jupiter"
"orpheus","As Lot's wife left Sodom and was told not to look back, he left Hades and was told not to look back"
"zeus","This Greek god controlled the thunderbolt, signifying his irresistible power over gods and men"
"himself","All the girls loved Narcissus, but this is who Narcissus loved"
"ra","In ancient Egypt the god called ""Khepera"" at dawn and ""Atum"" in the evening was known by this name at noon"
"swans","Venus drove a flying chariot pulled by these elegant white birds"
"hera","Greek goddess of marriage, she was fiercely jealous of her husband's frequent infidelities"
"cyclops","According to Hesiod, there were only 3 of these one-eyed giants:  brontes, steropes and arges"
"poseidon","He was a god of earthquakes and water before he became supreme ruler of the sea"
"pan","The Romans referred to this pipe-playing god as Faunus"
"scorpion","Orion became a constellation after he was stung to death by one of these creatures, also a constellation"
"ithaca","After the Trojan War ended, it took Odysseus 10 years to return home to this island"
"hercules","When his earthly labors were over, his immortal part ascended to Mount Olympus and married Hebe"
"labyrinth","After slaying the minotaur, Theseus found his way out of this maze by following a thread"
"hades","While gathering flowers, Persephone was abducted by this underworld god and became his queen"
"argo","Ironically, Jason was killed when a piece of this ship fell and struck him on the head"
"thebes","Adrastus was the only one of the seven against this city who survived the expedition"
"future","In Norse myth sisters known as the Norns represent the past, present and this"
