"lizards","Some of the fanciest of these reptiles are beaded, horned, or frilled"
"hounds","The AKC could tell that Afghans and Salukis belong to this dog group"
"abird","The oxpecker, which is this type of animal, likes to ride on the backs of giraffes"
"agazelle","The Dorcas type of this graceful antelope is one of the smallest; it's barely 2 feet tall"
"cheetah","This spotted cat is also known as the hunting leopard"
"sanddunes","Safes, a type of these desert formations, are often many miles long and several hundred feet high"
"bats","Sausage trees, found in Africa, are pollinated by these flying mammals"
"saguaro","This largest U.S. cactus can weigh as much as 10 tons"
"snails","Often found clinging to rocks, limpids are a type of this mollusk"
"kudzu","In the South, buildings have been engulfed and trees have been smothered by this Oriental vine gone wild"
"arose","This flower has been grown since ancient times for its foliage, fragrance and hips"
"anostrich","It'll run if there's danger, or, if cornered, kick out, but will not as legend says bury its head"
"abeak","Of all the toucans, the toco has the biggest one of these"
"humus","Mor and mull are 2 types of this black decayed organic matter in soil"
"blubber","Like whales, manatees have a layer of this fat under their skin"
"bats","Species of these include the mouse-eared, disk-winged, and fruit"
"tongue","On giraffes, this prehensile muscle can be 20 inches long"
"abird","If you spot a snipe, you've seen this type of creature"
"baboons","Members of this, genus papio, are the largest of all monkeys"
"flamingo","If this tall tropical bird stops eating certain algae, its pinkish feathers will turn white"
"barnacles","These crustaceans that cling to ships and wharves also attach themselves to whales"
"host","It's the term for the organism on which a parasite lives and feeds"
"stamen","Made up of a filament and anther, this male organ of a flower varies in number from zero to hundreds"
"salamander","It's any tailed amphibian,including the newt"
"giraffe","In order to drink, it spreads its front legs, then lowers its head about 15 feet to the water"
"aminnow","While most species of this live bait fish are less than 6"" long, the Indian mahseer can be 9' long"
"afly","A greenbottle is this type of insect"
"abear","Varieties of these mammals include brown, black, sun and spectacled"
"guinea","The fowl with this name is native to Africa; the ""pig"", to South America"
"water","A succulent can be any plant with fleshy, thick tissues adapted to store this"
"arodent","The aye-aye, a primate, was once classified in this order due to its sloping incisors and incessant gnawing"
"wings","Ants belong to the insect order Hymenoptera, which means ""membrane"" this"
"tundra","Much of this cold, treeless plain in the Arctic is covered by a thick growth of lichens"
"moth","The yucca species of this insect lays its eggs in the seed-producing organs of the yucca plant"
"tulip","Grown on less than 1% of the land of the Netherlands, it's their living symbol"
"mushrooms","Mycophagists, including humans, are eaters of this kind of fungus"
"monarch","The viceroy mimics this poisonous ""royal"" butterfly's appearance to avoid predators"
"mouse","The most common one found in the home is ""mus musculus"", which may be where Walt got the initials"
"monsoon","From Arabic ""mawsim"", meaning ""season"", it's the wind which changes direction with the seasons"
"abat","Far from the mainland, Hawaii is poor in native mammals: it has 2, a type of seal and a type of this, order Chiroptera"
"australia","Kangaroo Paw, an unusual-looking wildflower, is native to this country"
"amule","This hybrid offspring of a male donkey and a mare is usually sterile"
"sirocco","This hot, dry Saharan wind whose name comes from Arabic for ""East"" can bring rain to southern Europe"
"digitalis","The dried leaves of the purple foxglove are used to produce this heart stimulant"
"swans","Most of these birds belong to the genus cygnus"
"funnel","A tornado is typically a tube -- or this-shaped cloud hanging from from a cumulonimbus cloud"
"molting","Adult amphibians go through this skin-shedding process several times a year"
"vanilla","This flavoring is the only edible product produced by an orchid plant"
"chrysalis","From the Latin for ""golden"", it's another name for the pupa or cocoon of a butterfly"
"transpiration","In botany it's the process by which plants lose water vapor through their leaves"
"sunflower","This easy-to-grow state flower of Kansas can measure a foot across and produce nearly 1,000 seeds"
"alizard","The basilik known for its ability to walk on water is a type of this creature"
"fossilfuels","It's the alliterative term for coal, oil and natural gas made from the remains of living organisms"
"potatoes","In 1845 the fungus disease phytophthora infestans rotted these vegetables all over Europe"
"eyes","To aid its nocturnal habits, these facial features on a tarsier are each as big as its brain"
"six","Pick up a walking stick and you'll see that it has this many legs"
