"laurabush","In 2010 this former First Lady published the memoir ""Spoken from the Heart"
"blindside","This book by Michael Lewis subtitled ""Evolution of a Game"" focused on left tackle prodigy Michael Oher"
"staggeringgenius","Dave Eggers not-so-modestly titled his memoir ""A Heartbreaking Work of"" this"
"davidmccullough","HBO's miniseries ""John Adams"" was based on this author's Pulitzer Prize-winning biography"
"tombrokaw","The Greatest Generation Speaks"" is a collection of letters inspired by this newsman's 1998 bestseller"
"bobwoodward","On his own he wrote ""Veil"" and ""Wired""; with Carl Bernstein he wrote ""All The President's Men"
"judygarland","Shout Hallelujah!  Come on ""Get Happy"", Gerald Clarke's biography of this entertainer"
"eliewiesel","Night"" is this Nobel Peace Prize winner's account of surviving Auschwitz as a teenager"
"campaigntrail","Hunter S. Thompson found fear and loathing ""in Las Vegas"" and ""on"" this ""Trail"" in the title of a 1973 book"
"scissors","Augusten Burroughs put the ""fun"" in dysfunctional with his memoir called ""Running with"" these"
"monicaseles","This tennis star tells her story in the 1996 book ""Monica: From Fear to Victory"
"ianfleming","The 1996 book ""The Man Behind James Bond"" takes an intimate look at this author"
"janefonda","Not surprisingly, her 1996 book ""Cooking For Healthy Living"" is put out by Turner Publishing"
"helterskelter","Co-written by Vincent Bugliosi, it was subtitled ""The True Story of the Manson Murders"
"juliachild","1996's ""Baking With Julia"" is the companion book to her PBS series"
"neilsimon","This comic playwright tells of his ups and downs in the recent book ""Rewrites"
"cindycrawford","This actress and model recently published ""Basic Face:  A Makeup Workbook"
"scottadams","He had best-sellers with ""The Dilbert Principle"" and ""Dogbert's Top Secret Management Handbook"
"theodorewhite","For his ""The Making of the President 1960"" he received the first Pulitzer Prize in General Nonfiction"
"vienna","Freud, Strauss and Klimt appear in ""A Nervous Splendor"", a 1980 portrait of this city in the 1880s"
"josephcampbell","The Hero With A Thousand Faces"" is a classic work on mythology by this author"
"mccartney","Linda's Kitchen"" is a vegetarian cookbook by this wife of a former Beatle"
"nicholasalexandra","Robert K. Massie concluded his saga of this royal couple in ""The Romanovs: The Final Chapter"
"billgates","This Microsoft CEO talks about the future of computers in his bestseller ""The Road Ahead"
