"adept","someone who is dazzlingly skilled in any field"
"animosity","a feeling of ill will arousing active hostility"
"apothecary","a health professional trained in the art of preparing and dispensing drugs"
"arbitration","often used to settle disputes between labor and management"
"awe","an overwhelming feeling of wonder or admiration"
"banished","expel from a community or group"
"barren","an uninhabited wilderness that is worthless for cultivation"
"battered","strike against forcefully"
"beret","a cap with no brim or bill; made of soft cloth"
"caldron","a very large pot that is used for boiling"
"cartographers","a person who makes maps"
"cascade","a small waterfall or series of small waterfalls"
"cascade","a small waterfall or series of small waterfalls"
"chaotic","lacking a visible order or organization"
"chartreuse","aromatic green or yellow liqueur flavored with orange peel and hyssop and peppermint oils; made at monastery near Grenoble, France"
"chasms","a deep opening in the earth's surface"
"circumference","the size of something as given by the distance around it"
"commendable","worthy of high praise"
"conciliatory","making or willing to make concessions"
"connotation","what you must know in order to determine the reference of an expression"
"context","discourse that surrounds a language unit and helps to determine its interpretation"
"conveyance","document effecting a property transfer"
"crags","a steep rugged rock or cliff"
"crest","the top line of a hill, mountain, or wave"
"crestfallen","brought low in spirit"
"crevice","a long narrow depression in a surface"
"dank","unpleasantly cool and humid"
"debris","the remains of something that has been destroyed or broken up"
"dense","permitting little if any light to pass through because of denseness of matter"
"desolate","leave someone who needs or counts on you; leave in the lurch"
"dilemma","state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options"
"din","a loud harsh or strident noise"
"disconsolate","sad beyond comforting; incapable of being consoled"
"disdain","lack of respect accompanied by a feeling of intense dislike"
"disrepute","the state of being held in low esteem"
"dissonance","a conflict of people's opinions or actions or characters"
"distraught","deeply agitated especially from emotion"
"dodecahedron","any polyhedron having twelve plane faces"
"doldrums","a state of inactivity (in business or art etc"
"eerie","suggestive of the supernatural; mysterious"
"effusive","uttered with unrestrained enthusiasm"
"famine","an acute insufficiency"
"famished","be hungry; go without food"
"fiends","a cruel wicked and inhuman person"
"fissure","a long narrow depression in a surface"
"flabbergast","overcome with amazement"
"flattery","excessive or insincere praise"
"flourished","grow vigorously"
"flourished","grow vigorously"
"fraud","intentional deception resulting in injury to another person"
"gaunt","very thin especially from disease or hunger or cold"
"gorgons","(Greek mythology"
"grandeur","the quality of being magnificent or splendid or grand"
"grimace","a contorted facial expression"
"harrowing","draw a harrow over (land"
"havoc","violent and needless disturbance"
"hindsight","understanding the nature of an event after it has happened"
"honeycombed","carve a honeycomb pattern into"
"illusions","an erroneous mental representation"
"infuriate","make furious"
"intimidated","make timid or fearful"
"laudable","worthy of high praise"
"ledger","a record in which commercial accounts are recorded"
"lull","a pause during which things are calm or activities are diminished"
"luminous","softly bright or radiant"
"macabre","shockingly repellent; inspiring horror"
"magenta","a primary subtractive color for light; a dark purple-red color; the dye for magenta was discovered in 1859, the year of the battle of Magenta"
"malice","feeling a need to see others suffer"
"melancholy","a feeling of thoughtful sadness"
"minstrels","a singer of folk songs"
"mirages","an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects"
"misapprehension","an understanding of something that is not correct"
"miscellaneous","consisting of a haphazard assortment of different kinds"
"miserly","(used of persons or behavior"
"monotonous","tediously repetitious or lacking in variety"
"ovation","enthusiastic recognition (especially one accompanied by loud applause"
"palatinate","a territory in southwestern Germany formerly ruled by the counts palatine"
"pandemonium","a state of extreme confusion and disorder"
"perilous","fraught with danger"
"plateau","a relatively flat highland"
"prey","a person who is the aim of an attack (especially a victim of ridicule or exploitation"
"profusion","the property of being extremely abundant"
"promontory","a natural elevation (especially a rocky one that juts out into the sea"
"pungent","strong and sharp"
"quagmire","a soft wet area of low-lying land that sinks underfoot"
"quest","a search for an alternative that meets cognitive criteria"
"reconcile","make (one thing"
"regal","belonging to or befitting a supreme ruler"
"repast","the food served and eaten at one time"
"reticence","the trait of being uncommunicative; not volunteering anything more than necessary"
"savory","any of several aromatic herbs or subshrubs of the genus Satureja having spikes of flowers attractive to bees"
"sonnets","a verse form consisting of 14 lines with a fixed rhyme scheme"
"soothing","give moral or emotional strength to"
"stalactites","a cylinder of calcium carbonate hanging from the roof of a limestone cave"
"stalked","walk stiffly"
"superfluous","serving no useful purpose; having no excuse for being"
"surmise","a message expressing an opinion based on incomplete evidence"
"transfixed","to render motionless, as with a fixed stare or by arousing terror or awe"
"tumult","a state of commotion and noise and confusion"
"unabridged","a dictionary that has not been shortened by the omitting terms or definitions; a comprehensive dictionary"
"unethical","not conforming to approved standards of social or professional behavior"
"unkempt","not neatly combed"
"verify","confirm the truth of"
"villainous","extremely wicked"
"wormwood","any of several low composite herbs of the genera Artemisia or Seriphidium"
"wrath","intense anger (usually on an epic scale"
"procastinating","the action of delaying or postponing something"
"bunting","a loosely woven fabric used for flags, etc."
"prosperous","successful in material terms; flourishing financially"
"bouquet","an attractively arranged bunch of flowers, especially one presented as a gift or carried at a ceremony"
"precariously","in a way that is not securely in position and is likely to fall or collapse"
"azaz","King ______ the Unabridged"
"juster","Norton _______, the author of The Phantom Tollbooth"
