"episcopal","The A.M.E. in A.M.E. Church stands for African Methodist this"
"sunni","Less than 20% of all Muslims are Shi'ites or of other groups; the rest belong to this branch"
"zoroastrianism","Founded by and named for a Persian prophet, this religion flourished during Persia's Achaemenian empire"
"shofar","Traditionally, in Judaism a ram's horn called this is blown at the end of Yom Kippur"
"moroni","Joseph Smith translated the Book of Mormon from gold plates revealed to him by an angel named this"
"wine","The Talmud says ""when"" this ""goes in, secrets are revealed"" and on the Sabbath, Kiddush is said over a cup of it"
"buddhism","In this Asian religion, a lohan is not an actress but a holy person, and monasteries have images of lohans"
"baptists","The Southern Convention of this denomination split from the Yankees in 1845"
"india","Jainism, with 4 1/2 million adherents, was founded in this country by Mahavira, ""the Great Hero"
"hindu","Autobiography of a Yogi"" was a popular book by this religion's first missionary to settle in the U.S."
"exorcise","As part of Catholic Baptism, this word doesn't mean to go to the gym but to get rid of demons"
"scientist","The church founded by Mary Baker Eddy in 1879 was formally called the Church of Christ, this"
"kaaba","To some Muslims, this cubical structure in Mecca was built by Adam and refurbished by Abraham"
"romancatholic","It's the religion of most of Guatemala's people"
"buddhism","Practiced by the Soto sect, Zazen is a type of seated meditation in the Zen form of this religion"
"shinto","Compiled in 712, the Kojiki, ""Records of Ancient Matters"", is one of this religion's oldest texts"
"sikhism","The Granth Sahib is the holy book of this religion known for its golden temple in Amritsar"
"vishnu","This major Hindu god known for his avatars has a lucky curl of hair, called the Srivatsa, on his chest"
"peter","Jesus said unto him, ""Thou Art"" this name, ""And upon this rock I will build my church"
"brahmans","It's the highest caste among the Hindus"
"sheba","The Falasha Jews of Ethiopia claim descent from King Solomon and this woman"
"mormonslds","The Deseret News is one of several publications owned by this church"
"baptism","The name of this Christian sacrament is from the Greek for ""to dip"
"kaaba","Tradition says this central shrine of Islam, located in Mecca, was built by Abraham and Ishmael"
"lutheranism","With more than 60 million members worldwide, it's the largest Protestant denomination"
"christianscientist","On Dec. 19, 1894 2 books were formally ordained as the impersonal pastor of this denomination"
"marry","A recent N.Y. Times-CBS poll indicates a majority of U.S. Catholic priests would like to do this"
"judaism","Religion whose Bible begins with the Book of Genesis and ends with II Chronicles"
"philadelphia","The American Quakers' General Conference headquarters is in this city"
"canada","The United Church is this large country's largest protestant denomination"
"animism","Common in Africa, it's not the worship of animals but of spirits"
"rome","In January of 1377, Pope Gregory XI moved the papacy back to this city"
"dalailama","In 1642 this spiritual leader became the ruler of Tibet"
"allah","His name is a contraction of Arabic for ""The God""; The Koran says he is eternal and omnipotent"
"buddha","Bodhisattvas are personifications of the virtues of this founder of a religion"
"passover","The horseradish on the plate for this Jewish holiday symbolizes the bitterness of slavery in Egypt"
"pennsylvania","American colony that was a ""holy experiment"" for the Society of Friends or Quakers"
"anashram","A religious retreat or commune in India; Gandhi had one at Wardha"
"rosary","An aid to the faithful since the 13th century, one standard version has parts arranged in groups of 1, 3 or 10"
"paul","His letter to the Thessalonians, written about 51 A.D., is considered the earliest New Testament writing"
"shinto","The name of this Japanese religion means ""The way of the gods"
"roshhashanah","During this Jewish holiday, it is customary to greet neighbors with ""May You Be Inscribed for a Good Year"
"sikhism","The Golden Temple in Amritsar, India is the holiest shrine in this religion"
"ganges","Each year about 1 million Hindu pilgrims journey to Varanasi, India to wash away their sins in this holy river"
"ruth","The Biblical book bearing her name begins by saying it took place ""in the days when the judges ruled"
"koran","This holy book whose name means ""recitation"" is divided into 114 chapters called suras"
"animism","From the Latin for ""soul"", it's the belief that natural objects like trees have souls too"
"islam","In this religion, prayer time is announced from a minaret by a muezzin, or crier"
"christianscience","Founded in Boston in 1879, this church maintains ""reading rooms"" across the country open to the public"
"johnwesley","It's said that this founder of Methodism traveled 225,000 miles on horseback to preach the gospel"
"israel","Around 1154 the Carmelite religious order was founded on Mount Carmel in what is now this country"
"buddhism","Mahayana, the liberal branch of this religion, is practiced mainly in Korea, Taiwan and Japan"
"theses","Written in 1517, the 62nd of these is ""The true treasure of the church is the holy gospel of... God"
"india","Amritsar, the religious center of the Sikhs, is located in this country's Punjab state"
"canterbury","A Benedictine monk named Augustine became England's first Archbishop of this c. 600"
"hindu","The name of Durga, a fierce and beautiful goddess of this religion, is Sanskrit for ""the inaccessible"
"krakow","Poland's patron saint is St. Stanislaus of this city, the former capital of Poland"
"islam","It's the religion of nearly all the Malays in Malaysia"
"quakeroats","In 1915, the Religious Society of Friends tried to make this company change its name"
"sunset","In Judaism, the Sabbath begins and ends with this astronomical event"
"muslimislam","India's Taj Mahal is associated with this religion"
"methodism","Denomination founded by a group of Oxford University students led by John Wesley"
"jerusalem","The Dome of the Rock, an Islamic shrine, is in this city"
"abbot","The man with this title is the immediate spiritual father to a Benedictine monastery"
"hinduism","The Mandir Mahotsav, which opened in England in August of 1995, is this religion's largest temple outside India"
"buddhism","The Bodhi tree, a type of Indian fig tree, is sacred to followers of this religion"
"asaint","One meaning of this word is any member of Christ's church, as in the Church of Jesus Christ of Latter-day ones"
"hanukkah","Christmas in December 25; this holiday around the same time starts on Kislev 25 on the Jewish calendar"
"islam","In this religion, Sufism is mystical practice aiming at direct personal experience of God"
"hinduism","This religion of more than 850 million people evolved from Vedism"
"anencyclical","Pope Benedict XVI's first of these was titled ""Deus caritas est"", ""God is love"
"confession","Begin this act, part of penance, by saying, ""Bless me, Father, for I have sinned""--then spill the beans"
"buddhism","Zen, a branch of this Asian religion, aims for satori, or enlightenment"
"evangelism","You'll find the word ""angel"" in this movement that stresses the Gospels and personal salvation"
"quakers","This common name for the Society of Friends may come from the saying ""Tremble at the word of the Lord"
"mosques","Muslims in Uzbekistan are reclaiming these buildings that were put to secular use by the Soviets"
"buddhism","Mahayanists label other schools of this religion ""Hinayana"" or ""lesser vehicle"
"mexicocity","Guadalupe, where Juan Diego twice saw the Virgin Mary in 1531, is now a part of this world capital"
"krishna","The Bhagavad-Gita records a dialogue between a warrior named Arjuna and this avatar of Vishnu"
"gabriel","This archangel was the messenger between God and Muhammad"
"southkorea","The Unification Church was founded in this country in 1954"
"passionfacade","(Sarah of the Clue Crew reports from the front of the Temple de la Sagrada Familia in Barcelona, Spain)  The facade named this, the word for Jesus' suffering and death, has sober design elements like columns that look like bones"
"shintoism","The Tenrikyo sect associated with this religion puts Japan at the center of the universe"
"sikhism","1 of the 5 symbols worn by members of this Punjab-centered religion is the kirpan, a sword"
"episcopalchurch","On Jan. 1, 1977, in Indianapolis, Mrs. J. Means became 1st woman legally ordained a priest by this church"
"judaism","The first reform temple of this religion opened in Hamburg, Germany in 1818"
"peter","Around 67 A.D. St. Linus succeeded this man as Pope"
"koran","The standard text of this holy book was formed during the reign of Caliph Uthman, 644-656"
"johnwesley","It's estimated this founder of Methodism preached over 40,000 sermons"
"zoroastrianism","The Parsis, followers of this Persian religion, can be found today living in Bombay"
