"lizards","In the East Indies certain species of this reptile are called flying dragons because they can glide from tree to tree"
"telescope","Newton, Cassegrain, Schmidt and Maksutov all have types of this instrument named for them"
"owl","The flexible neck of this bird of prey allows it to rotate its head an amazing 270 degrees"
"protist","Change 1 letter in ""protest"" to get this word for a protozoan and others in its kingdom"
"chlorine","Sir Humphry Davy named this yellowish-green gas from a Greek word meaning ""greenish-yellow"
"bird","The iris is a flower and the ibis is one of these"
"gumline","In a healthy mouth, this line separates the crown from the root of a tooth"
"seals","Every summer thousands of these animals go to the Pribilof Islands in the north Pacific to breed"
"nobelium","Man-made metal 1st positively identified in 1958 and named for a Swedish inventor; it has no known use"
"serum","Take the fibrinogen out of blood plasma and you're left with a fluid called this"
"spaceshuttle","In June 1991 weightlessness experiments were conducted on about 2,500 jellyfish aboard this"
"gold","Platinum, atomic number 78, is worth more than this other metal, atomic number 79"
"lucy","In 2009 a new hominid skeleton dubbed Ardi was aged at 4.4 million years, predating this other ""girly"" find by 1 mil. years"
"skunk","This striped mammal reportedly can fire 6 shots of its foul spray before having to ""resupply"
"mosquito","Some members of the genus Aedes of this insect transmit yellow fever"
"snake","The Jacobson's organ at the roof of this legless reptile's mouth is used with its tongue to detect odors"
"phobos","This innermost and larger of Mars' 2 moons orbits the planet every 7.65 hours"
"nikolatesla","A magnetic field is measured in units called gauss or this after a real ""coil"" guy"
"spiral","(Sofia of the Clue Crew reports from the Field Museum in Chicago)  Snail shells are in a pattern usually called this; they add new coils as the snail ages"
"thorheyerdahl","His 1947 oceanic expedition began in Callao, Peru and ended 10 days later in Polynesia"
"wolfspider","(Sarah of the Clue Crew reports from the Field Museum in Chicago)  This spider, named for a mammal, doesn't wait patiently for prey, but hunts it down"
"photons","Light energy can be studied as these massless quantum units"
"iceage","The biggest bear ever, an 11-foot 1,800-pounder, became extinct around the time this age ended 12,000 years ago"
"mass","In science a big M can mean mach, and a little m this, as in Einstein's most famous equation"
