"jameswatson","In 2007 this 1962 American Nobel laureate became the first person to receive his own personal genome map"
"jonassalk","This man's injected dead virus vaccine inspired Albert Sabin's live-virus oral vaccine for polio"
"charlesdarwin","This naturalist wrote, ""for my own part I would as soon be descended from that heroic little monkey"
"linuspauling","Despite his advocacy of megadoses of vitamin c, he and his wife Ava got cancer"
"pavlov","This Russian's work on gastrointestinal secretions in animals earned him a Nobel prize"
"doppler","He discovered that the observed frequency of light waves is affected by the relative motion of the source and detector"
"galileo","In 1633 this astronomer was found guilty of ""vehement suspicion of heresy"
"joule","The symbol ""J"" as a unit of energy honors this physicist"
"luigigalvani","In 1791 this Italian published the results of his experiments in ""animal electricity"
"renedescartes","His 1637 ""Discours de la methode"" prefaced a series of essays on optics, meteorology, and geometry"
"alfredkinsey","Born June 23, 1894 were Edward VIII, who gave up a throne for love, and this biologist who gave his career to sex"
"peyote","Richard Schultes, the father of ethnobotany, studied and sampled this cactus sacred to some Native Americans"
"helium","Heike Kamerlingh Onnes discovered superconductivity and was the first to liquefy this light gas, in 1908"
"jacquescurie","Before marrying Marie, Pierre Curie made discoveries in crystallography with this frere of his"
"tesla","This electricity investigator is a hero in the Balkans and a museum in Belgrade was named for him"
"isaacnewton","Within an 18-month period, 1665 to 1667, he made discoveries about light, color and gravitation"
"dmitrimendeleev","In 1869 this Russian chemist predicted the properties of 3 undiscovered elements based on his periodic law"
"heisenberg","Einstein unsuccessfully attempted to refute this man's uncertainty principle"
"harvey","In 1628 this Brit published his study ""On the Motion of the Heart and of the Blood in Animals"
"robertbrown","This man who figured out the movement of particles in a liquid gave the cell nucleus its name"
"charlesdarwin","Bertrand Russell said that ""What Galileo and Newton were to the 17th century,"" this man ""was to the 19th"
"darwin","The subtitle of his landmark 1859 work is ""The Preservation of Favoured Races in the Struggle for Life"
"stephenhawking","This physicist is Lucasian Professor of Mathematics at Cambridge, a post once held by Sir Isaac Newton"
"roentgen","This X-ray discoverer conducted numerous other researches including on elasticity"
"leeuwenhoek","In 1675 this Dutchman peered through his microscope and ""discovered little creatures in rain"
"linnaeus","This Swedish botanist was the first to use the Mars and Venus symbols to represent male and female"
"atoms","Nobel chemist Wilhelm Ostwald didn't believe in these, let alone their protons and electrons"
"kaleidoscope","David Brewster established the law of polarization by reflection and invented this optical toy"
"wheat","Norman Borlaug is said to have saved more lives than anyone else, mainly by breeding this grain"
"jethrotull","Namesake of a British rock band, he invented the seed drill to sow tidy rows"
"charlesdarwin","Botanist Asa Gray was one of the earliest supporters of this man's evolution theory"
"gregormendel","The abbey in Brno where he once lived and worked now houses a genetics museum that's named for him"
"louispasteur","Chemist Hilaire Chardonnet, who invented rayon, had worked under this man when he was researching silk and silkworms"
"maxplanck","In 1888 he became the first director of the Institute for Theoretical Physics in Berlin"
"barometer","Torricelli made improvements to the microscope and telescope, but he's best known for developing this instrument"
"mariecurie","Sadly, both she and her daughter Irene died of leukemia caused by overexposure to radiation"
"earthquakes","Irish geologist Richard Oldham discovered that these events have primary and secondary waves"
"polarization","Augustin-Jean Fresnel used this treatment of light to make new lighthouse lenses; Edwin Land built a company on it"
"pigs","In 1846 Joseph Leidy discovered that the worm trichina is found in this animal"
"mariecurie","In 1893 she earned a physics degree from the Sorbonne, ranking first in her class"
"xrays","Hermann Muller won a 1946 Nobel Prize for proving that these rays can cause genetic mutations"
"linuspauling","While a professor at Stanford in 1970 he published ""Vitamin C And The Common Cold"
"dmitrimendeleev","In 1871 he issued a new version of his periodic table, leaving gaps for elements not yet known"
"nielsbohr","In 1955 this Danish physicist organized the 1st Atoms For Peace conference in Geneva"
"omarkhayyam","It's believed this ""Rubaiyat"" author helped reform the Muslim calendar"
"rachelcarson","In 1980, for her concerns over pollution, she was posthumously awarded a Presidential Medal of Freedom"
"maxplanck","In 1948 the Kaiser Wilhelm Society was renamed for this originator of the quantum theory"
"antoinelavoisier","Though oxygen was discovered by Joseph Priestley, this 18th century French chemist gave it its name"
"einstein","His first teaching job came  ""relatively"" early --in 1909, as an Assistant Prof. of Physics at the Univ. of Zurich"
"newton","In the 1670s this British genius wrote, ""If I have seen further it is by standing on the shoulders of giants"
"alessandrovolta","Around 1800 this scientist from Como, Italy developed a forerunner of the electric battery"
"williamharvey","This 17th C. British physician said the pulse comes from the heart pumping blood, not from the arteries contracting"
"newton","He wondered if the force that pulled an apple to the ground could also pull the moon into the earth's orbit"
"galileo","A law of falling bodies associated with this Italian says that they fall at the same speed regardless of their mass"
"copernicus","Around 1507 this Polish astronomer began trying to prove that the sun, not earth, was the center of the universe"
"fahrenheit","Born in 1686, he invented the first accurate thermometer and devised a temperature scale to go with it"
"gregormendel","In 1856 this monk began his experiments that led to the discovery of the basic laws of heredity"
"robertgoddard","At the time of the Apollo 11 moon landing, his widow said, ""that was his dream, sending a rocket to the moon"
"michaelfaraday","The farad, a unit used to measure electrical capacitance, is named for this 19th century physicist"
"nielsbohr","This great physicist is buried at Copenhagen's Assistens Kirkegaard"
"ivanpavlov","This Russian physiologist published his first book, ""Work of the Digestive Glands"", in 1897"
"tesla","In 1885 he left Edison because he was refused a raise to $25 a week; 6 years later, he invented his coil"
"ajellyfish","2008 Nobelist Osamu Shimomura isolated a glowing green fluorescent protein in this aquatic creature"
"fossils","In the 16th C., Konrad von Gesner published perhaps the first illustrations of these petrified animal remains"
"heinrichhertz","In 1887 this German was ""in the driver's seat"" on the subject of electromagnetic waves"
"dna","These 3 letters brought together Francis Crick and James Watson, 2 scientists at the Cavendish laboratory"
"montgolfier","In 1783 these brothers were walking on air after being named to the French Academy of Sciences"
"electricity","In 1791 Galvani published ""Commentary on the effect of"" this ""on muscular motion"
"omarkhayyam","This Persian poet wrote an algebra book and reformed the Muslim calendar"
"hansgeiger","The ""clicking"" device that detects energetic subatomic particles is named for him"
"mariecurie","This chemist was born Marie Sklodowska in 1867 in Warsaw, Poland"
"hansgeiger","A device used to detect radiation is named for this German physicist"
"vitamins","Casimir Funk named these substances, which are essential for normal metabolism"
"johanneskepler","In 1609 and 1619 this German astronomer published his 3 laws of planetary motion"
"mercury","Guillaume Amontons' 17th century thermometer was 1st filled with this and corrected for air pressure"
"colorblindness","John Dalton did the 1st paper on this condition, some say after being told his brown coat was bright scarlet"
"georgewestinghouse","Cornelius Vanderbilt thought this engineer's idea of braking a train with air was sheer nonsense"
"newton","In 1727 this physicist became the first scientist buried in Westminster Abbey"
"autism","Scientist and author Temple Grandin overcame this alienating condition, from the Greek for ""self"" or ""same"
"ptolemy","In the 2nd century this Alexandrian astronomer catalogued 47 of the 88 constellations we know today"
"nicolauscopernicus","In 1543 he wrote, ""Finally we shall place the sun himself at the center of the universe"
"moon","Founder of Russian science, Mikhail Vasilievich Lomonosov, has a crater named for him there"
"edmundhalley","He was the first modern astronomer to chart the Southern Hemisphere, but didn't see"
"mendel","Upon joining the Monastery, this botanist took on the name Gregor and later took up growing peas"
"pierrecurie","In 1895, Marie Sklodowska married this French chemist"
"jenner","From cowpox germs, he developed the smallpox vaccine"
"france","Chemist Paul Lecoq de Boisbaudran named gallium after the Latin word for this country"
"mars","In 1877 American astronomer Asaph Hall discovered this planet's moons, Phobos and Deimos"
"juliuscaesar","Astronomer Sosigenes advised this Roman on the development of the calendar named for him"
"cambridge","In 1661 Isaac Newton entered this university's Trinity College as a subsizar, a student with domestic duties"
"moon","Pythias, an ancient Greek geographer, was perhaps the 1st to associate tidal motion with this body"
"lordkelvin","This proposer of the absolute temperature scale was knighted by Queen Victoria in 1866"
"mutation","Hugo DeVries, who rediscovered Mendel's laws of heredity, also proposed this theory of altered genes"
"johanneskepler","This German astronomer born in 1571 was the 1st to explain how the planets move around the sun"
"photon","It was American physicist Arthur Compton who came up with this name for a quantum of light"
"robertbunsen","German chemist who had a gas burner named for him and co-founded the sci. of chemical spectroscopy"
"jacquescousteau","This fr. undersea explorer has won Oscars for his films ""The Silent World"" and ""World Without Sun"
"guglielmomarconi","With his cousin, this Italian physicist formed the Wireless Telegraph and Signal Co., Ltd. in 1897"
"louispasteur","In the 1860s this chemist saved France's wine industry by showing that microbes can be killed with heat"
"aluminum","It wasn't until this metal became cheap enough that Zeppelin could make the dirigible of his dreams"
"charlesgoodyear","Daniel Webster represented this vulcanization inventor in a patent infringement trial"
"generalelectric","Not wanting to lose him, this Schenectady, N.Y. company allowed Charles Steinmetz to smoke in the lab"
"mariecurie","In 1929 President Hoover presented her with a $50,000 check to purchase a gram of radium for a lab in Warsaw"
"louispasteur","In 1885 this French chemist first used his rabies vaccine, on a boy named Joseph Meister"
"dmitrimendeleev","7 years after publishing a paper on the Periodic Table, this Russian investigated the Pennsylvania oil fields"
"newton","Robert Hooke spent lots of time arguing over who made discoveries first, notably with this man over gravitation"
"mercury","It took a Russian, Lomonosov, to first record the freezing temperature of this metallic element, at about -40"
"triangulation","Snell measured the Earth by first using this geometric method to measure the distance between towns"
"alberteinstein","He won the 1921 Nobel Prize in Physics primarily for his work on the photoelectric effect, not for relativity"
"mariecurie","Her daughter Irene also received a Nobel Prize in Chemistry"
"edmondhalley","In 1705 he published ""A Synopsis of the Astronomy of Comets"
"enricofermi","This Nobel Prize-winning physicist received his doctorate from the University of Pisa in 1922"
"stephenhawking","His official website includes a link to the Motor Neurone Disease Association"
"ceres","Giuseppe Piazzi named the large asteroid he discovered this, after the Roman goddess of grain"
"caroluslinnaeus","In the 1740s he published ""Flora Suecica"" and ""Fauna Suecica"", 2 volumes of his observations"
"sigmundfreud","He worked in the Dept. of Internal Medicine at Vienna's General Hospital before moving to the psychiatric clinic"
"sunspots","1st U.S. woman astronomer, M. Mitchell, found these solar phenomena are whirling cavities, not clouds"
"nicolauscopernicus","It's said he 1st saw a published copy of his ""On the Revolutions of the Celestial Spheres"" the day he died"
"carlsagan","This astronomer hosted only 13 episodes of the PBS series ""Cosmos"" (not billions and billions)"
"edison","The press dubbed him ""The Wizard of Menlo Park"", the site of his New Jersey workshop"
"alberteinstein","Time magazine's ""Person of the Century"", this scientist first appeared on its cover in 1929"
"jacquescousteau","The Undersea World of"" this marine explorer was a television fixture from 1968 to 1976"
"davinci","The first known design of a self-propelled vehicle was made by this artist and scientist around 1478"
"nuclearwinter","Some scientists predict this ""seasonal"" period of cold and dark weather would be the result of atomic warfare"
"xena","Astronomer Michael Brown discovered the object classified as UB313 in 2003 and named it for this TV princess"
"ivanpavlov","Published in 1897, ""Work of the Digestive Glands"" was the only book by this Russian physiologist"
"jameswatt","The idea of horsepower originated with this Scottish engineer, the ""Father of the Industrial Rev."
"telescope","Dutch optician Hans Lippershey invented this scientific device in 1608"
"alessandrovolta","For his invention of the electric battery, this Italian physicist was made a count in 1801"
"mariecurie","Her second Nobel Prize, awarded in 1911, was for her work in chemistry"
"thomasedison","This inventor supposedly offered G.W. Carver over $100,000 a year to work for him, but he declined"
"edwardjenner","He proved being inoculated with cowpox matter would prevent people from catching smallpox"
"galileo","In 1633 the Inquisition in Rome forced him to recant his belief in the Copernican theory"
"alberteinstein","Born in Germany in 1879, he became a Swiss citizen around the turn of the century and a U.S. citizen in 1940"
"maxplanck","He published his quantum theory in 1900 while a professor of physics in Berlin"
"alberteinstein","He originally wrote his equation as L=mc(squared), before he crossed out the L and replaced it with an E"
"lutherburbank","He crossed the oxeye, European and Japanese daisies to produce his famous Shasta daisy"
"johanneskepler","In 1600 this German astronomer became an assistant to Tycho Brahe"
"edwardteller","This Hungarian-American physicist was the principal architect of the hydrogen bomb"
"mariecurie","In 1891 she moved from Poland to Paris, where she studied math and physics at the Sorbonne"
"galileo","Italian whose legendary experiment is recreated in the exhibit (Leaning Tower of Pisa) seen here"
