"ophelia","Sweets to the sweet: Farewell!"" were Hamlet's mother's words at this woman's funeral"
"palm","Part of Cassius' anatomy Brutus calls ""itching"" when accusing him of greed"
"cleopatra","Other women cloy the appetites they feed, but she makes hungry where most she satisfies"
"othello","The play in which Emilia screams, ""The moor hath kill'd my mistress! Murder! Murder!"
"hamlet","In Act I, Scene 1 of this play, a ghost appears to Barnardo, Marcellus and Horatio"
"shylock","In ""The Merchant of Venice"" he tells his friend Tubal, ""Meet me at our synagogue"
"goneril","In ""King Lear"", she poisons her sister Regan, then stabs herself"
"macbeth","Macduff tells us, ""Not in the legions of horrid hell can come a devil more damn'd in evils to top"" this man"
"acrown","Richard III says, ""How sweet a thing it is to wear"" one and Henry IV says, ""Uneasy lies the head that wears"" one"
"hamlet","Laertes' first line in this play is ""Dread my lord, your leave and favour to return to France"
"paris","In different plays, it's the name shared by men linked with Helen of Troy and with Juliet"
"henryviii","This historical play includes the death of Katharine of Aragon"
"kinglear","Cordelia's 1st words in this play are ""What shall Cordelia speak?  Love, and be silent"
"cyprus","Othello kills himself on this island"
"rosemary","Ophelia says ""pansies"" are ""for thoughts"", this is ""for remembrance"
"portia","She cleverly disguises herself as a lawyer and saves Antonio from Shylock's revenge"
"ophelia","Laertes tells her, ""For Hamlet and the trifling of his favor"" are ""not permanent, sweet, not lasting"
"prospero","He's the storm-raising Duke of ""The Tempest"
"desdemona","Brabantio, this woman's father, dies of grief over her marriage to Othello"
"kinglear","This tragic king cries, ""Keep me in temper; I would not be mad"
"tempest","The name of the monstrous Caliban in this play is an anagram of an old spelling of ""cannibal"
"sleep","A guilty Macbeth laments, ""Methought I heard a voice cry"" do this ""'no more!"
"ladymacbeth","She has light by her continually, 'tis her command"", and she sleepwalks carrying a taper"
"claudius","After stabbing him, Hamlet cries, ""This incestuous, murderous, damned Dane...follow my mother"
"romeojuliet","Shakespeare called this doomed duo ""a pair of star-cross'd lovers"
"macbeth","During the Restoration, it became popular for singers and dancers to play the witches in this tragedy"
"windsorcastle","The last scene of ""Richard II"" is set in this famous royal castle west of London"
"troilus","This character who loved Cressida was a prince of Troy"
"kinglear","In Act I of this play, Cordelia says, ""What shall Cordelia speak?  Love, and be silent"
"agraveyard","Hamlet gives his ""Alas, poor Yorick!"" soliloquy in this location"
"othello","After Emilia is stabbed in this tragedy, she says, ""I will play the swan"" and sings before she dies"
"fortune","Shakespeare wrote, ""When in disgrace with"" this ""and men's eyes, I all alone beweep my outcast state"
"miranda","This young woman lives on an island with her father, a magician"
"iago","His diabolic plotting leads to tragedy for Othello and Desdemona"
"juliuscaesar","Cicero and Publius are senators in this tragedy"
"montague","It's the name of Romeo's family"
"rosencrantzguildenstern","King Claudius commissions these 2 minor characters, Hamlet's schoolmates, to spy on Hamlet"
"head","Shakespeare's synonyms for this body part include sconce, noll, poll, pash and pate"
"hamlet","Looking for a title for your mystery novel?  Lift this play's ""murder most foul"" or ""not a mouse stirring"
