"chrisevert","This Florida-born women's great who retired in 1989 wrote the World Book Encyclopedia article on tennis"
"dougflutie","In 1984 this quarterback became the first Boston College player to win the Heisman Trophy"
"silvercharm","In the 1997 Belmont Stakes, Touch Gold dashed this ""charmed"" horse's Triple Crown bid"
"buffalosabres","National Hockey League team whose logo is seen here:<br />(knife through a ""B"")"
"golf","Ben Crenshaw and Phil Mickelson are the only 3-time winners of this college sport's championship tournament"
"tomlandry","(I'm Hall of Fame running back Tony Dorsett)  This man was my coach for my first 11 seasons in the NFL"
"georgeforeman","In 1994, at age 45, he became heavyweight boxing champ again and was the AP's Male Athlete of the Year"
"johnheisman","He was director of athletics at NYC's Downtown Athletic Club from 1928 to 1936"
"mariolemieux","In the 1992-93 season this Pittsburgh Penguin missed 24 games but still won the NHL scoring title"
"arthurashe","The new 23,500-seat U.S. Tennis Open Stadium is named for this star who died February 6, 1993"
"mariolemieux","Except for 1995, the NHL scoring title has gone to either Wayne Gretzky or this Penguins star the past 16 years"
"notredame","On Oct. 19, 1924 Grantland Rice wrote of this team's backfield ""The Four Horsemen Rode Again"
"johnnybench","(VIDEO DAILY DOUBLE):<br />""(Hi, I'm Mike Piazza)  I was the NL's '93 Rookie Of The Year.  In '68 this Cincinnati Reds player became the 1st catcher to win the award"
"bowling","Earl Anthony rolled on to a record 41 titles in this sport, Mark Roth is second"
"football","The ball used in this sport is about 11 inches long and about 7 inches wide at the center"
"jackdempsey","On Sept. 23, 1926 this heavyweight boxing champ lost his title to Gene Tunney in a decision"
"daviscup","Named for a U.S. doubles champ, this cup is presented to the winner of a 16-team men's tennis tourney"
"detroittigers","(Hi, I'm Greg Gumbel)  During his 26-year career Sparky Anderson managed the Cincinnati Reds to 4 NL titles and this team to 1 AL championship"
"secretariat","In 1973 Ron Turcotte rode this horse to the first Triple Crown victory in 25 years"
"joenamath","In 1967 this New York Jets quarterback became the first pro to pass for more than 4,000 yards in a season"
"bostonmarathon","Founded in 1897, it's the world's oldest annual marathon"
"utahjazz","In 1991, after 12 seasons at the Salt Palace, this NBA team moved its home games to the Delta Center"
"sandykoufax","During his 1955-1966 career, this Dodger pitcher averaged 9.28 strikeouts per 9 innings"
"dailydouble","You win this when you pick the winners of 2 successive horse races"
"golf","What Gary Player plays professionailly"
"rockygraziano","Boxer whose life was portrayed in ""Somebody Up There Likes Me"
"markmcgwire","He hit 110 home runs in 1996 and 1997 -- more than any player in 2 straight seasons except Babe Ruth"
"miketyson","Buster Douglas' 1990 knockout of this champ has been called the greatest heavyweight title upset"
"stlouis","From 1977 to 1981, this NHL city's Blues played their home games in the Checkerdome"
"ericheiden","(Hi, I'm Jim Lampley)  Only 2 Americans have won 5 gold medals in the Winter Olympics: Bonnie Blair and this fellow speedskater"
"stanford","Both John Elway and Jim Plunkett were NFL No. 1 draft choices from this university"
"beachvolleyball","In 1996 Kent Steffes and Karch Kiraly won the first gold medal ever presented in this type of volleyball"
"mariolemieux","Only Wayne Gretzky and this Penguins star have scored over 190 points in an NHL season"
"golf","In 1996 Johnny Miller was voted into this sport's Hall of Fame"
"jimmiejohnson","This Dolphins coach has a yacht named Three Rings for his 2 Super Bowl titles and 1 college championship"
"baseball","In 1744 the first mention of this now popular sport said, ""away flies the boy to the next ...post and then home with joy"
"polevault","On August 5, 1991 Sergei Bubka became the first to exceed 20 feet in this track and field event"
"stanford","In a 2007 college football shocker, this team ended USC's 35-game home winning streak"
"emmittsmith","This Dallas Cowboys running back rushed for an NFL record 18,355 yards"
