"loisclark","This Sunday night series is subtitled ""The New Adventures of Superman"
"melroseplace","Jack Wagner, formerly of ""General Hospital"", now plays Dr. Peter Burns on this Fox drama"
"beverlyhills","The series finale of this Fox drama aired on May 17, 2000, 2 weeks after the last ""Party of Five"
"rocko","This wallaby's ""Modern Life"" takes place in O Town with his dog Spunky and his pal Heffer"
"bradybunch","Alice is the housekeeper on this classic sitcom; Sam the butcher is her boyfriend"
"pretender","On this NBC sci-fi drama, genius Jarod was played by Michael T. Weiss as a man and by Ryan Merriman as a boy"
"dallas","In 1996 Larry Hagman, Patrick Duffy and other actors from this series reunited for a TV movie"
"murphybrown","On a 1995 episode of this sitcom, JFK Jr. dropped by the offices of ""FYI"
"montypython","This British comedy troupe's ""Flying Circus"" landed on American TV in 1974"
"adam","Dragnet""'s Jack Webb also developed this police series starring Martin Milner and Kent McCord"
"billbixby","Ray Walston was the Martian while the ""my"" in ""My Favorite Martian"" referred to him"
"edasner","Before playing the principal at ""The Bronx Zoo"", he played the city editor of the L.A. Tribune"
"bettywhite","In 1977 her own show aired on CBS just before ""Maude""; now she's a ""Golden Girl"" with Bea Arthur"
"harveykorman","He was a regular on Danny Kaye's, Carol Burnett's and Tim Conway's variety shows"
"davidduchovny","He was ""X""-static when the first ""X-Files"" episode he directed aired 1 day after the birth of his baby."
"atlanta","Matlock"" and ""Designing Women"" were both set in this state capital"
"blush","Cosmetic"" name of the magazine that's the focus of ""Just Shoot Me"", or what its racier episodes may make you do"
"antonycleopatra","Like Burton and Taylor, Billy Zane and Leonor Varela had a romance when they played these lovers (in a 1999 miniseries)"
"missionimpossible","This show won the Outstanding Drama Series Emmy in 1968, but we disavow any knowledge of it"
"mimi","The actress seen here (Kathy Kinney) plays this sitcom character"
"robertripley","Believe it or not, back in 1949, he was the original host of ""Believe It or Not"
"markiepost","She's the ""Night Court"" actress seen here"
"kenburns","In Apple's I-Movie program, the effect seen here that's done with photos is named for this TV filmmaker"
"ironside","After ""Perry Mason"" was canceled, Raymond Burr returned as this wheelchair-bound detective"
"calamityjane","In the 1995 miniseries ""Buffalo Girls"", Anjelica Huston played this notorious frontierswoman"
"johnforsythe","Before heading a ""Dynasty"", he played professor Mike Endicott on ""To Rome With Love"
"emptynest","In 1995 Kristy McNichol, who flew the coop from this sitcom, returned for the final episode"
"savannah","This Aaron Spelling sizzler set in Georgia centers on 3 sultry women:  Lane, Peyton and Reese"
"chihuahua","On the cartoon series ""Ren and Stimpy"", Ren is this breed of dog"
"singleguy","Jonathan Silverman plays the title bachelor on this sitcom"
"juddnelson","Once a Brat Packer, now he's Brooke Shields' publisher on ""Suddenly Susan"
"frasier","Roz Doyle, a character on this sitcom, is named for a late producer of the NBC sitcom ""Wings"
"laworder","This Emmy-winning drama series features the opening heard here:<br />(""In the criminal justice system, the people are represented by two separate and equally important groups: the police, who investigate crime, and the district attorneys who prosecute the offenders.  These are their stories."")"
"murphybrown","Robert Pastorelli was the star of ""Cracker"", but he's best-known for playing Eldin the Painter on this sitcom"
"twinpeaks","Diane Keaton directed an episode of this David Lynch series about a strange town in the Northwest"
"dallas","In the mid-'80s Barbara Bel Geddes left this series and Donna Reed stepped in briefly as Miss Ellie"
"roots","A famous mini-series, or what blondes have to keep bleaching"
"laughin","60s Emmy winner that was Rowan and Martin's answer to a sit-in"
"knightrider","On this show, Michael's ""armor"" is K.I.T.T."
"familyties","This series sounds like a show about kinfolk's cravats"
"steveallen","At various times, regulars on his comedy variety show included Gene Rayburn, Buck Henry, and Louis Nye"
"wings","The theme song to this Tim Daly sitcom is based on the fourth movement of Schubert's Piano Sonata in A Major"
"sgtbilko","This Phil Silvers character was master sergeant of the motor pool at Fort Baxter, Kansas"
"riptorn","In 1996 he won the first acting Emmy for a cable TV series for playing Artie on ""The Larry Sanders Show"
"fredrogers","The television documentary ""America's Favorite Neighbor"" was a tribute to him"
"frasier","The face of Maris, Niles' wife on this sitcom, has never been seen"
"jimmyolsen","In 1996 Jack Larson guest-starred on ""Lois and Clark"" in this role he played on the original TV ""Superman"
"pinevalley","General Hospital"" is set in Port Charles and ""All My Children"" is set in this fictional town"
"mcgillicuddy","On ""I Love Lucy"", it was Lucy Ricardo's maiden name"
"greyhound","Santa's Little Helper, the Simpson family dog, is this breed of racing dog"
"winniecooper","(VIDEO DAILY DOUBLE):<br />""(Hi, I'm Fred Savage):<br />In an episode of ""Working"", I pick up Danica McKellar, who played this ""Wonder Years"" character"
"melsharples","Alice left New Jersey to be a singer but ended up as a waitress at his Phoenix diner"
"willow","One of vampire-slaying Buffy's friends is this shy girl, played by Alyson Hannigan"
"tealeoni","On ""The Naked Truth"", she was Nora Wilde, a photographer, later a reporter, for the National Inquisitor"
"morticiaaddams","In the '60s this character's ooky maiden name was Frump"
"dreamon","[Hi, I'm Wendie Malick from ""Just Shoot Me""] <br />I played Brian Benben's ex-wife Judith on this HBO comedy series that featured clips from old movies"
"bryantgumbel","He served as the anchor of CBS' ""Public Eye"" and as the host of HBO's ""Real Sports"
"minutes","TV's No. 1 show for the 1979-80 season, it was also tops 13 years later for the 1992-93 season"
"cosmokramer","In the pilot of ""Seinfeld"", Jerry lived across the hall from Hoffman, not this Michael Richards character"
"drewcarey","This character and his friends brew Buzz Beer in his garage -- ""It's the Beer That Throws Up Smooth"
"diagnosismurder","In February 1997 TV sleuths Joe Mannix and Ben Matlock made guest appearances on this Dick Van Dyke series"
"charleskuralt","During 27 years of ""On The Road"" reports, he had 5 motor homes; the last is now in the Henry Ford Museum"
"jacksons","Michael, Jackie, Marlon, Jermaine and Tito did their own voices on the '70s cartoon show about these brothers"
"ozzieharriet","From 1952-54 ""The Adventures of"" this husband and wife played both on TV and radio"
"orson","At the end of each ""Mork and Mindy"" episode, Mork reported to this Orkan superior"
"bars","It's said about 90% of the viewers of the 1947 World Series watched the games at these establishments"
"grandfather","On ""My Three Sons"", Bub O'Casey was related to Mike, Robbie and Chip in this way"
"nakedcity","According to the intro, there were ""8 million stories"" in this TV series"
"dentist","Profession shared by Jerry Helper on ""The Dick Van Dyke Show"" and Jerry Robinson on ""The Bob Newhart Show"
"steveforrest","The younger brother of Dana Andrews, he starred as Lt. Hondo Harrelson on ""S.W.A.T."
"laverneshirley","The top show of 1976-77 was ""Happy Days""; the following season it was this ""Happy Days"" spin-off"
"teaching","In 1996 shows, Steve Harvey, Mitch Mullany and Tom Rhodes all starred as characters with this profession"
"janeseymour","She plays Dr. Michaela Quinn"
"maude","Frances Lear, considered the inspiration for this TV title character, passed away in 1996"
"familyties","This NBC sitcom ended its 7-season run with Alex going to Wall Street"
"newhart","Stephanie nixed Michael's plan to videotape the birth of their baby on this series' Jan. 8, 1990 episode"
"mattfrewer","Before playing general practitioner Mike Stratford in ""Doctor, Doctor"", he was Max Headroom"
"simpsons","This goggle-eyed cartoon family from ""The Tracey Ullman Show"" now has its own series on the FOX network"
"shelleyfabares","30 years ago she was Mary Stone on ""The Donna Reed Show""; today she's Christine on ""Coach"
"nashbridges","A 1997 episode of this series guest-starred Philip Michael Thomas and Tommy Chong"
"bradybunch","Show inspired by an article saying about 30% of the people who married in 1965 had kids from a previous marriage"
"lucilleball","In 1997, TV Guide's No. 2 pick for the 100 greatest episodes of all time was her stint selling Vitameatavegamin"
"friends","On this sitcom, the character Joey landed a part on ""Days of Our Lives"
"dharmagreg","Jenna Elfman and Thomas Gibson play this title pair, a kooky yoga teacher and an uptight U.S. attorney"
"charmed","For sister witches Shannen Doherty, Alyssa Milano and Holly Marie Combs, 3 is a magic number on this show"
"remingtonsteele","Of ""Rhoda"", ""Riptide"", or ""Remington Steele"", the one that starred the daughter of a famous actor"
"cops","Sgt. John Bunnell and Officer Harry Jackson are 2 of the ""stars"" of this real-life police show on Fox"
"leehorsley","A year before ""Matt Houston"", he was Archie Goodwin on ""Nero Wolfe"
"bryantgumbel","In January 1997 he bid a tearful farewell after almost 15 years as ""Today"" Show co-host"
"margesimpson","Formerly Rhoda's sister Brenda, Julie Kavner now provides the voice of this Simpson matriarch"
"sunsetbeach","Premiering in 1997 and set in a California coastal community, it's Aaron Spelling's first daytime soap"
"macgyver","From 1985 to 1992 Richard Dean Anderson played this resourceful agent for the Phoenix Foundation"
"barbarawalters","Now a ""20/20"" co-anchor, she was 1 of 2 women reporters in the press corps that accompanied Nixon to China"
"greenacres","Originally, this sitcom was going to be called ""Country Cousins"" or ""The Eddie Albert Show"
"zorro","Guy Williams won this swashbuckling role because he was one of the few actors tested who could fence"
"beverlyhillbillies","This Buddy Ebsen series had a Nielsen average of 39.1 for 1963-64, the highest season rating from 1960 to today"
"lougrant","Editor Billie Newman and Joe Rossi worked for"
"marycrosby","She shot J.R."
"bettywhite","Played WJM's man-hunting ""happy homemaker"" Sue Ann Nivens"
"space","It's the first word spoken in the opening title sequence on the original ""Star Trek"" series"
"dennisweaver","Dang!  This actor rode to success as TV's Sam McCloud"
"whitneyhouston","(Hi everybody, I'm Brandy!)  In the TV movie ""Cinderella"", I played Cinderella and this singer played my fairy godmother"
"desperatehousewives","Kyle MacLachlan moved onto Wisteria Lane as Orson Hodge, Bree's new husband, on this soapy series"
"lost","Jorge Garcia keeps the humor alive as Hugo ""Hurley"" Reyes on this enigmatic show"
"office","Who can resist John Krasinski as prankster Jim Halpert on this sitcom?"
"heroes","Jack Coleman, who plays the mysterious H.R.G. on this show, is a descendant of Benjamin Franklin"
"sesamestreet","An allusion to ""Arabian Nights"", the title of this show suggests a magic door to knowledge"
"justinebateman","This actress who played Mallory on ""Family Ties"" now stars on ""Men Behaving Badly"
"chicagohope","When they premiered in 1994, ""ER"" and this medical drama aired opposite each other"
"niles","It's the first name shared by Frasier Crane's brother and the butler on ""The Nanny"
"billmaher","This comedian hosts TV's ""Politically Incorrect"
"samdonaldson","This former White House correspondent co-anchors ""Primetime Live"" with Diane Sawyer"
"davidletterman","NBC refused to let this CBS talk show host use its clips on his 1997 prime-time special"
"tribune","This newspaper for which Lou Grant worked was in L.A., not Chicago"
"baretta","Police show which began as ""Toma"" became much better known with new star and this new name"
"perrymason","He's coming out of retirement to defend Della Street, his former secretary"
"melroseplace","The apartment complex located at 4616 on this title L.A. street is home to some ""FOX""y ladies"
"robertwagner","He's played Pete Ryan, Alexander Mundy and Jonathan Hart"
"generalhospital","(Hi, I'm Julie Pinson)  ""Port Charles"" is a spin-off from this soap that's also set in Port Charles"
"judgingamy","Amy Brenneman's real-life relationship with her mom inspired this TV legal drama"
"survivor","It gave us the catchphrase ""The tribe has spoken"
"valerieharper","In 2000 Mary Tyler Moore and this actress reunited for the TV movie ""Mary and Rhoda"
"julietmills","Fran Drescher was ""The Nanny"" and she was the nanny of ""Nanny and the Professor"
"joanrivers","She gained mass exposure on ""The Tonight Show"" in 1966 but had a falling-out with Johnny Carson 20 years later"
"route","(VIDEO DAILY DOUBLE):<br />""(Hi, I'm Dan Cortese) In 1993 I filled Martin Milner's shoes in a new version of this show about 2 guys and a Corvette"
"ourbrains","1997 ads for ABC used slogans like ""Scientists say we use 10% of"" this; ""that's way too much"
"nbc","In 1951 Milton Berle signed a 30-year contract with this network at $200,000 per annun"
"maggie","Elizabeth Taylor voiced the first word spoken by this young Simpson: ""Daddy"
"mred","The owner of the stud farm where this ""talking"" horse was bred is seeking landmark status for the site"
"homeimprovement","Men Are Pigs"", Tim Allen's Showtime special about men's love for hardware, inspired this series"
"happydays","Laverne and Shirley"" was the top show of 1977-78; this series from which it was spun off was No. 2"
"suzannepleshette","In ""Newhart""'s final episode, Bob Newhart woke up with this former TV wife by his side"
"murphybrown","This Candice Bergen character gave up drinking after a stay at the Betty Ford Clinic"
"loneranger","The silver for his bullets came from a mine owned by himself and his late brother"
"aesop","On ""Rocky And His Friends"", Charlie Ruggles voiced the role of this ""fabled"" old philosopher"
"philhartman","He spent 8 years on ""Saturday Night Live"" before starring as anchorman Bill McNeal on ""NewsRadio"
"wings","This sitcom is set at Tom Nevers Field"
"johntesh","After the May 30, 1996 telecast, he left ""Entertainment Tonight"" to pursue his musical career"
"terihatcher","This ""Lois and Clark"" star wrote the April 28, 1996 episode, her first script for the series"
"homeimprovement","Earl Hindman plays Wilson, Tim Taylor's partially-seen neighbor, on this series"
"newyork","This city was the first in the U.S. to have more than 1 TV station in operation"
"familyties","Gary David Goldberg and Alan Uger won 1987 Emmys for writing this series' ""My Name Is Alex"" episode"
"jackbenny","This skinflint comedian played Ralph and Alice Kramden's landlord on 1 episode of ""The Honeymooners"
"meetpress","From 1947 to 1975, Lawrence Spivak was a panelist or moderator on this NBC public affairs program"
"scrabble","The announcer called it ""The crossword game you've played all your life, but never quite like this"
"dharmagreg","Susan Sullivan and Mitchell Ryan once played doctors on ""Julie Farr, M.D.""; now they're Greg's parents on this sitcom"
"designingwomen","Delta Burke played Dixie Carter's ex-mother-in-law on ""Filthy Rich"" before playing her sister on this sitcom"
"behindmusic","Milli Vanilli was the first subject of this series, which came from questions like whatever happened to Milli Vanilli"
"nova","Kidnapped By UFOs?"" was a probing episode of this PBS series whose name is Latin for ""new"
"murphybrown","On this D.C.-set sitcom, Phil faked his own death and went into hiding because he knew too much about Whitewater"
"fashionemergency","It isn't quite as harrowing as ""ER"" when real people get makeovers on the E! series known as ""Fashion"" this"
"cherioteri","On ""SNL"" this performer with a rhyming name portrayed Arianna the Cheerleader, Mariah Carey and Judge Judy"
"frasier","Part of this sitcom's 100th episode, aired Nov. 11, 1997, was shot on location in Seattle"
"georgeclooney","(VIDEO DAILY DOUBLE):<br />""(Hi, I'm Jason Alexander)  This actor co-starred with me on a sitcom called ""E/R"" before starring on the medical series ""ER"" "
"murphybrown","In May 1998 the final episode of this sitcom featured Julia Roberts falling for Frank Fontana"
"merlin","Sam Neill played this whiz of a wizard in a 1998 miniseries"
"emmanuellewis","This star of ""Webster"" was 16 years old when the series ended its 4-year run in 1987"
"familymatters","This sitcom was well into its first season when Jaleel White joined it as Steve Urkel"
"georgeleo","In 1997 TV Guide described this Bob Newhart-Judd Hirsch comedy as ""More Grumpier Old Men"
"mikehammer","After a 10-year absence, this series returned in 1997 with Stacy Keach reprising the title role"
"route","In the early '60s Martin Milner and George Maharis got their kicks riding around on this series"
"patrickswayze","The 2 ""North And South"" miniseries featured this ""Dirty Dancing"" star"
"wisconsin","Like ""Picket Fences"", ""Step By Step"" was set in this state"
"suzannesomers","In 1981 she stepped out of ""Three's Company"
"georgeclooney","In February 1999, after 5 seasons in the ""ER"", this handsome actor checked out"
"judgejudy","Once one of New York's toughest judges, today she does her tough-talking in her TV courtroom"
"estherrolle","Norman Lear called this late ""Good Times"" actress the one true black matriarch on series television"
"conniechung","On May 22, 1995 USA Today reported she ""weighs anchor, no longer eye-to-eye with CBS News"
"tonydanza","ABC's comedy ""Hudson Street"" stars Lori Loughlin and this former ""Who's the Boss?"" housekeeper"
"kraft","This company had a ""Television Theater"" in 1947; its ""Music Hall"" didn't premiere until 1958"
"milwaukee","Both ""Happy Days"" and ""Laverne and Shirley"" were set in this city"
"katejackson","Among her TV roles were Jill Danko, Sabrina Duncan and Amanda King"
"agent","On the November 16, 1968 episode of ""Get Smart"", Maxwell Smart married her"
"howdydoody","This series' Flub-A-Dub had the head of a duck and the body of a dachshund"
"falconcrest","This Jane Wyman series was set in the fictitious Tuscany Valley in California"
"bewitched","In 1966 Alice Pearce won a posthumous Emmy for her role as neighbor Gladys Kravitz on this ABC sitcom"
"billcosby","This comedian's TV roles have included Alexander Scott, Dr. Cliff Huxtable and Hilton Lucas"
"arthurgodfrey","For 3 months in 1950, this red-haired entertainer had a series on which he gave ukulele lessons"
"wolfgang","On ""The Munsters"", it was Eddie Munster's middle name"
"prisonbreak","Just when Wentworth Miller thought he was out, they pull him back--into jail--on this Fox drama"
"battlestargalactica","Starbuck is a woman on the Sci-Fi Channel's version of this series"
"kristinchenoweth","This perky actress plays Olive Snook, a waitress at the Pie Hole on ""Pushing Daisies"
"moonlight","Mick St. John is a P.I. who sucks--blood, that is--on this vampirific CBS show"
"nypdblue","Before she was Will's Grace, Debra Messing was Gail O'Grady's sister Dana Abandando on this cop drama"
"santabarbara","(Hi, I'm A Martinez) Before joining ""General Hospital"", I won an Emmy playing Cruz on this California-based soap"
"thirdwatch","This gritty drama focuses on the police, paramedics and firefighters who work the 3-11 P.M. shift"
"mayorquimby","On ""The Simpsons"", the chief executive of Springfield is this corrupt mayor nicknamed Diamond Joe"
"drewcarey","He's the host of the American version of ""Whose Line is it Anyway?"
"roblowe","On ""The West Wing"", this former Brat Packer plays deputy communications director Sam Seaborn"
"odyssey","In reviewing this May 1997 4-hour miniseries, TV Guide said NBC didn't ""quite hit a Homer"
"cosmokramer","Michael Richards won 3 Emmys for playing this ""Seinfeld"" character"
"gilligan","The producers found the name of this first mate of the S.S. Minnow in a telephone book"
"rickynelson","On an April 10, 1957 episode of his parents' sitcom, he sang ""I'm Walkin' "", his first record"
"diagnosismurder","(VIDEO DAILY DOUBLE):<br />""(Hi, I'm Regis Philbin)  On February 26, 1998, I was accused of killing Kathie Lee Gifford in an episode of this Dick Van Dyke series"
"laworder","In 1992 Paul Sorvino, who played detective Phil Cerreta, left this series to sing opera"
"simpsons","In a 1995 episode of this Fox animated series, Glenn Close played Homer's long-lost mother"
"loveboat","Jack Jones sang this series' theme song from 1977 to 1985; Dionne Warwick sang it the last season"
"gentleben","This 600-pound American black bear lived in the Florida Everglades with the Wedloes"
"jeannie","On December 2, 1969 astronaut Tony Nelson married her"
"dennisweaver","He placed 6th in the U.S. Olympic decathlon trials in 1948 before limping into TV's ""Gunsmoke"
"hours","Dan Rather hosts this documentary series that condenses 2 days of coverage into a single hour"
"roonearledge","In 1966 this ex-producer of ""ABC's Wide World of Sports"" received the 1st of his more than 40 Emmy nominations"
"glennford","He played sheriff Sam Cade in the early 1970s drama ""Cade's County"
