"parables","Among these tales told by Jesus were those ""of the net"", ""of the mustard seed"" and ""of the hidden treasures"
"burn","I Corinthians 7:9 states, ""It is better to marry than to"" do this"
"manna","It was like coriander seed, white; and the taste of it was like wafers made with honey"
"jericho","Things saved from this city were the gold and silver, the iron and brass vessels and Rahab and her family"
"solomon","This wise king of Israel had ""Forty thousand stalls of horses for his chariots, and twelve thousand horsemen"
"nebuchadnezzar","Under the command of this Babylonian king, Nebuzaradan burned ""All the houses of Jerusalem"
"paul","In 1 Corinthians, he wrote that ""Your faith should not stand in the wisdom of men, but in the power of God"
"joseph","This son of Jacob served under Potiphar, captain of Pharaoh's palace guard"
"james","While they were mending their nets, John and this brother were summoned by Jesus to become disciples"
"figtree","Adam and Eve sewed leaves of this tree ""together, and made themselves aprons"
"egypt","God guided the Israelites out of this country with a pillar of cloud by day and of fire by night"
"alamb","John 1:29 calls Jesus this animal ""of God, which taketh away the sin of the world"
"solomon","This wise successor of David is also called Jedidiah, meaning ""Yahweh's beloved"
"gopherwood","God instructed Noah to use this kind of wood to build the ark"
"job","The first verse of this book says, ""There was a man in the land of Uz that feared God and eschewed evil"
"moses","When chosen by God to lead the Israelites, he said ""But I am slow of speech, and of a slow tongue"
"paul","To escape from Damascus, this ""Apostle to the Gentiles"" was lowered over the city walls in a basket"
"ten","According to the Psalm, ""The days of our years are threescore years and"" this"
"jacob","He wrestled with an angel ""until the breaking of the day"
"elizabeth","Although elderly and barren, this cousin of Mary gave birth to John the Baptist"
"samson","This strongman carried the gates of Gaza about 40 miles to a hilltop named Hebron"
"mark","This second gospel does not mention Jesus' birth; instead, it focuses on his public ministry"
"job","He said to his friends, ""Miserable comforters are ye all"
"paul","In Acts 11 Barnabas brought this man to Antioch to assist his mission"
"elizabeth","This mother of John the Baptist was a descendant of Aaron"
"noah","God actually told him to transport 7 pairs of each clean animal"
"swaddlingclothes","Mary ""brought forth her firstborn son, and wrapped him in"" these, ""and laid him in a manger"
"david","Absalom was killed during a rebellion against this man, his father"
"ox","Shamgar the judge passed sentences on 600 Philistines by killing them with a goad for this animal"
"nebuchadnezzar","While this king was boasting about Babylon, a voice from heaven said, ""The kingdom is departed from thee"
"matthew","Jesus asked this disciple to follow him as he sat in his tax office"
"paul","In writing to the Ephesians, he called himself ""An Apostle of Jesus Christ by the Will of God"
"solomon","The book of Proverbs is ""The Proverbs of"" this man, ""The Son of David, King of Israel"
"job","He asked God, ""Behold, I am vile; what shall I answer thee?"
"pontiuspilate","In Luke, Jesus is tried both by Herod and by this Roman governor"
"ashes","When the Jews of Persia are ordered killed, Mordecai puts on a sackcloth accessorized with these"
"chronicles","The First and Second of these books cover the same period as Second Samuel and First and Second Kings"
"samaritans","The Jews held these people in low esteem, so they're made to look ""good"" in Luke"
"benjamin","As Rachel died bearing him, she called him Benoni, ""son of my suffering""; his father, Jacob, used this name"
"moses","This boy escaped Pharaoh's order to kill all male Hebrew babies"
"sycamoretree","Because he was short, Zacchaeus climbed one of these to see Jesus over the crowd around him"
