"twelfthnight","The 1996 musical ""Play On!"" gets its title from the first line of this Shakespeare play, on which it is based"
"othello","In 1833 Edmund Keane collapsed while playing this role to his son's Iago and died soon after"
"scotland","The Prime of Miss Jean Brodie"" takes place in this country in the 1930s"
"sweeneytodd","The title character of this Tony-winning Best Musican of 1979 is a barbaric barber"
"inge","Front Porch"" was the original title of this playwright's ""Picnic"
"noh","Ataka"", perhaps the most famous play in this form of Japanese drama, has been adapted for Kabuki"
"judas","In a play by Karl Schonherr, a man who plays this role in a passion play becomes a betrayer in real life, too"
"samshepard","This actor-playwright's acclaimed 1980 drama ""True West"" was finally produced on Broadway in 2000"
"cabaret","Much of this musical takes place at the Kit Kat Club"
"antonchekhov","In 1997 Jeanne Tripplehorn and Amy Irving starred on Broadway in this playwright's ""Three Sisters"
"ohcalcutta","Jules Feiffer and John Lennon contributed to this ""clothing optional"" revue on Broadway from 1976-1989"
"globetheatre","When this Shakespearean theater was rebuilt after a 1613 fire, tile replaced thatch on its roof"
"albee","Uta Hagen was the first to play Martha in this playwright's""Who's Afraid of Virginia Woolf?"
"charlesdickens","2 of Wilkie Collins' plays were performed at a theatre in this ""Great Expectations"" author's home"
"abbeytheatre","Lady Gregory organized foreign tours of this Dublin theater company from 1911 to 1913"
"humphreybogart","In ""Play It Again, Sam"", movie critic Allan Felix gets relationship advice from this movie star"
"loveletters","This popular play by A.R. Gurney traces Andrew and Melissa's lifelong correspondence"
"mousetrap","The setting for this Agatha Christie play is Monkswell Manor during a snowstorm"
"separatetables","This 1954 Terence Rattigan drama consists of 2 one-act plays: ""Table by the Window"" and ""Table Number Seven"
"petrifiedforest","This 1935 Robert Sherwood play takes place at the Black Mesa Bar-B-Q and Gas Station in the Arizona desert"
"peterpan","By the end of this J.M. Barrie play, Wendy flies so badly she has to use a broomstick"
"henrikibsen","This Norwegian author's last play, ""When We Dead Awaken"", includes a major self-analysis"
"woodyallen","His ""Play It Again, Sam"" tells the story of Allan Felix, a film journalist whose marriage has just broken up"
"grease","In this musical members of the Class of '59 recall their days at Rydell High School"
"aristophanes","In his play ""Lysistrata"", the women of Athens refuse to sleep with their men until peace is declared"
"kabuki","This popular form of Japanese dance drama traces its origins to Bunrako puppet theatre and Noh"
"samshepard","He directed the original production of his own play ""Fool for Love"" and starred in the film version"
"augustestrindberg","Northern European expressionist whose dramas include ""The Dance of Death"" and ""The Ghost Sonata"
"wit","It's the one-word title of Margaret Edson's Pulitzer Prize-winning play; we understand if brevity is the soul of it..."
"marlenedietrich","Men were ""Falling in Love Again"" with this German actress when Sian Phillips played her on Broadway in 1999"
"sideman","Of ""Closer"", ""Side Man"", ""Lonesome West"" or ""Not About Nightingales"", 1999's Tony winner for Best New Play"
"henrikibsen","Kevin Spacey made his Broadway debut in 1982 in a revival of this playwright's ""Ghosts"
"france","Comedie Larmoyante, or ""tearful comedy"", was established as a genre in the 1700s in this country"
"belfast","A Catholic woman and a Protestant man fall in love in ""Remembrance"", set in this Northern Ireland capital"
"henrikibsen","This Norwegian wrote his 1866 play ""Brand"" in rhyming verse"
"mariacallas","This Greek-American diva is the leading character in Terrence McNally's play ""Master Class"
"christophermarlowe","Edward II"", his play about a murdered king, premiered around 1592; sadly, he was killed in 1593"
"blocking","During rehearsals, the director arranges the actors' movements in a process known by this ""wooden"" name"
"booth","Junius Brutus, patriarch of this acting family, made his U.S. debut in 1821 as Richard III"
"mariacallas","Faye Dunaway won a 1998 Sarah Siddons Award for playing this Greek-American diva in ""Master Class"
"thorntonwilder","The original production of his play ""The Skin Of Our Teeth"" starred Tallulah Bankhead and Frederic March"
"samshepard","Gary Sinise directed the 1996 revival of this acotr-playwright's Pulitzer Prize-winning play ""Buried Child"
"williamshakespeare","In 1995 3 actors presented ""The Compleat Works Of"" this playwright ""abridged"" in just 105 minutes"
"billcosby","This comic's wife Camille co-produced the Tony-nominated play about the Delany Sisters, ""Having Our Say"
"tennesseewilliams","Mercedes Ruehl played the lusty Serafina Delle Rose in the 1995 revival of his play ""The Rose Tattoo"
"davidmamet","Ed Begley Jr. starred in this ""American Buffalo"" author's 1995 play ""The Cryptogram"
"boston","The Ritz-Carlton hotel in this Mass. capital is the setting for Moss Hart's comedy ""Light Up the Sky"
"wig","Female impersonator Charles Busch called his 1996 New York show ""Flipping My"" this"
"funnygirl","Charlie Chaplin's son Sydney earned a Tony nomination for playing Nick Arenstein in this 1964 musical"
"neilsimon","Mike Nichols directed the original Broadway production of this playwright's ""Plaza Suite"
"moliere","An updated 1996 version of this playwright's ""Tartuffe"" starred John Glover as a TV evangelist"
"haroldpinter","Originally, critics panned his play ""The Birthday Party"", and its London run lasted only a week"
"noh","There are 5 basic types of plays in this form of drama: the third is the katsuramono, or ""wig play"
"dickens","What a twist!  In a one-man show, Simon Callow played this ""Oliver Twist"" author and dozens of his characters"
"ourtown","Thornton Wilder's prize-winning play about life and death in a small ""corner"" of New Hampshire"
"lesmis","Fans of this musical based on a French novel could be called Fantines, in honor of one of its main characters"
"frogs","Written in 405 B.C., this comedy by Aristophanes really is all it's ""croaked"" up to be"
"romanpolanski","In 1997 in Vienna, he directed the musical ""Dance of the Vampires"", based on his 1967 film ""The Fearless Vampire Killers"
"proof","Mary-Louise Parker was awesome in this play that won David Auburn a Pulitzer Prize in 2001"
"atholfugard","This South African playwright starred in his own autobiographical play ""The Captain's Tiger"" in 1998"
"sacagewea","In 2003 the Oregon Children's Theatre premiered a play about this woman who hit the trail with Lewis and Clark"
"rabbit","Several different musicals have been based on Margery Williams' tale about this ""Velveteen"" creature"
"calamityjane","In the play ""True History and Real Adventures"", kids search for the truth about this ""calamitous"" Wild West gal"
"toad","Arnold Lobel's books for kids inspired the musical ""A Year with Frog and"" this other amphibian"
"dublin","Sean O'Casey's ""Juno and the Paycock"" takes place in a tenement house in this capital city"
"lenin","Kremlin Chimes"" is the second play in Nikolai Pogodin's trilogy about this leader of the Russian Revolution"
"sophocles","This ""Electra""fying playwright gets the credit for adding a third actor to Greek tragedies"
"augustwilson","In 1990 this playwright won his second Pulitzer Prize, for ""The Piano Lesson"
"tinyalice","This ""diminuitive"" Edward Albee play was first produced on Broadway in 1964"
"arthurmiller","Amy Irving starred in the Broadway premiere of ""Broken Glass"" by this ""Death of A Salesman"" playwright"
"annie","Little Girls"" and ""You Won't Be an Orphan for Long"" are songs from this ever-popular musical"
"valkilmer","He made his Broadway debut in ""Slab Boys"" with Kevin Bacon in '83, 12 years before starring in ""Batman Forever"
"japan","Takasago"" by Zeami Motokiyo is one of this country's most famous No plays"
"marymartin","When she played Peter Pan on Broadway in 1954, her daughter Heller Halliday played Liza the maid"
"chicago","David Mamet wrote a play called ""Sexual Perversity In"" this Midwest city -- coincidentally, his birthplace"
"carousel","Ferenc Molnar's Hungarian drama ""Liliom"" inspired this ""merry-go-round"" of a musical that debuted in 1945"
"misssaigon","In 1999 Lea Salonga returned to the cast of this musical that won her a Tony not salonga go (in 1991)"
"greece","The great ""Dionysia"" was this ancient civilization's most important drama festival"
"sweden","Strindberg set ""Miss Julie"" in the kitchen of a manor house in this, his native country"
"leestrasberg","This acting teacher was the artistic director of New York City's Actors Studio from 1948 until 1982, the year he died"
"italian","Six Characters in Search of an Author"" was written in this language"
"green","Of Red, Green, or Puce, the one who's a servant to Shakespeare's King Richard II"
"kismet","Fate"", the title of a song in this classic musical, is also a synonym for the musical's title"
"estelleparsons","The 1-woman show, ""Orgasmo Advito Escapes from the Zoo"" starred this ""Bonnie And Clyde"" co-star, Roseanne's TV mom"
"agnesmoorehead","The 1973 Broadway musical ""Gigi"" featured this actress perhaps best-known for playing Endora on ""Bewitched"
"tomstoppard","In 1999 Jean Stapleton was inked to star in ""Indian Ink"" by this ""Rosencrantz and Guildenstern"" playwright"
