"alaska","Instead of counties, this state has boroughs (or is it brrr-oughs?)"
"concord","This state capital is located on the Merrimack River about 15 miles north of Manchester"
"missouri","Tributaries of this Mississippi tributary include the Cheyenne, James and Platte"
"galvestonbay","The Houston ship channel flows into this bay that shares its name with a city"
"mtmitchell","This N.C. peak, the highest east of the Mississippi, was named for the man who surveyed it, died on it and is buried at the top"
"oahu","Of Hawaii's 8 main islands, this one receives the lion's share of the tourist dollars"
"mtmckinley","When the Russians owned Alaska, they referred to this tall peak as Bolshaya Gora"
"riogrande","This river begins in Colorado and empties into the Gulf of Mexico near Brownsville, Texas"
"lakechamplain","This large lake on the New York-Vermont border is Vermont's lowest point"
"mississippi","Known as the ""Father of Waters"", this river drains an area of approx. 1,247,000 square miles"
"alaska","The westernmost and northernmost points in the U.S. are both located in this state"
"kentucky","The Bluegrass region, an area of gently rolling pastures, covers the north central part of this state"
"neworleans","Lake Pontchartrain and St. Bernard Parish form part of this city's northern and southern boundaries"
"columbiariver","Important dams on this river include Rock Island, Rocky Reach and Grand Coulee"
"california","This state's largest county, San Bernardino, was divided in 1893 to form Riverside county"
"colorado","Leadville in the Rockies in this state is the USA's highest incorporated city"
"saltlake","At about 1,700 square miles, this saline lake is one of the largest lakes in the world with no outlet"
"sewardpeninsula","Nome, Alaska lies on this peninsula named for a 19th century Secretary of State"
"riogrande","Albuquerque, New Mexico lies on this 1885-mile long river"
"ossining","From its incorporation in 1813 until 1901, this New York village was known as Sing-Sing"
"toledo","This Lake Erie port in Northwest Ohio was once called ""the Glass Capital of the World"
"devilstower","North Dakota has its Devils Lake and Wyoming its Devils one of these"
"newjersey","The Raritan is the longest river wholly within this state"
"bayou","One of the largest of these shallow channels in the U.S. is the Bartholomew in N. Louisiana"
"potomac","Large ships can sail over 100 miles inland to Washington, D.C. on this river"
"wisconsin","Streams in the eastern part of this state flow into Lake Michigan and Green Bay"
"toledo","In 1833 this ""holy"" northwestern Ohio port arose from the consolidation of Port Lawrence and Vistula villages"
"massachusetts","The easternmost part of Rhode Island can't be reached by land without going through this state"
"atlanta","Much of this Georgia capital is in Fulton County, but part of it lies in DeKalb County"
"cascades","Mount Hood, a volcanic peak, rises 11,239 feet in this mountain range"
"hudsonriver","The West Point Military Reservation includes Constitution Island, which lies in this river"
"harrisburg","The dome of the capitol building in this city 100 miles west of Philadelphia is a copy of St. Peter's in Rome"
"jamesriver","Virginia's longest river, it provides abundant waterpower for the state's industries"
"connecticut","This state's highest point is Mount Frissell; its lowest point is at sea level on Long Island Sound"
"minnehaha","A statue of Hiawatha and this wife stands atop the waterfall named for her"
"mississippi","Over its 2,340-mile course, this river forms the boundary or part of the boundary of 9 states"
"lakemichigan","It's the largest body of fresh water lying entirely within the USA"
"rockies","Colorado's Mount Elbert in the Sawatch range is this mountain system's tallest peak"
"goldengate","Francisco de Ortega is credited with discovering this strait leading into San Francisco Bay"
"padreisland","This 113-mile sand bar along Texas' Gulf Coast is the state's largest island"
"miami","Vancouver is the northernmost city represented in the NBA; this is the southernmost"
"phoenix","This Arizona capital lies in the Salt River Valley and is bordered by mountains and the Sonoran desert"
"newmexico","This state's largest desert basins are Jornada del Muerto and Tularosa, where White Sands is"
"northcarolina","The easternmost point of this state's Outer Banks is on Cape Hatteras National Seashore"
"maunakea","Rising 33,480 feet from its underwater base makes this Hawaiian volcano the world's tallest peak"
"capecod","Vineyard Sound separates Martha's Vineyard from the southernmost part of this cape"
"chesapeakebay","Rivers flowing into this bay include the Susquehanna, James, and Rappahannock"
"florida","It's the state in which you'd find Suwannee Sound"
"mtrainier","George Vancouver named this Washington state mountain for a friend in the British navy"
"lakeontario","It's the only Great Lake not bordering the state of Michigan"
"texas","The city of El Paso in this state is a major gateway between the U.S. and Mexico"
"coloradoriver","This ""stately"" river carved the Black Canyon as well as the Grand Canyon"
"southdakota","If you want to sneak a peek at the landmark seen here, head to this Midwest state:<br />(Mount Rushmore)"
"deathvalley","Sounds morbid, but it's the lowest point in California and in all of the U.S."
"maunaloa","In Hawaii, Mauna Kea means ""white mountain"" and this volcano's name means ""long mountain"
"seattle","This city is the seat of Washington's King County"
"maine","The name of this state's Kennebec River is Algonquian for ""long reach"
"michigan","The geographic center of this state lies in Wexford County, 5 miles north-northwest of Cadillac"
"nebraska","The largest area of sand dunes in North America lies north of the Platte River in this state"
"adirondacks","Over 3 dozen mountains in this northern New York range exceed 4,000 feet"
"northcarolina","Raleigh, Durham and Chapel Hill are the 3 apexes of this state's famed Research Triangle"
"arkansas","State where you can visit Hot Springs National Park and Crater of Diamonds State Park"
"montana","Glacier National Park and the Custer Battlefield are among this ""Treasure State""'s treasures"
"newjersey","The most densely populated state; every one of this middle Atlantic state's 21 counties has over 50,000 people"
"manhattan","NYC's Brooklyn Bridge spans the East River between Brooklyn and this island borough"
"michigan","Name shared by Chicago's Great Lake and one of Chicago's major avenues"
"maine","In area, this New England state roughly equals Vermont, N.H., Connecticut and Massachusetts combined"
"kansascity","Jefferson City is Missouri's capital and this ""City"" where the Royals play is Missouri's largest"
"massachusetts","Bays in this state include Hingham, Dorchester and Quincy"
"rhodeisland","This tiny state's southernmost point lies on Block Island in the Atlantic, about 10 miles from the mainland"
"mtrainier","Emmons and Nisqually are 2 of about 25 glaciers on this Washington state peak"
"molokai","The site of a leper colony, this Hawaiian island is nicknamed the ""Friendly Island"
"erie","This city is Pennsylvania's only port on the Great Lakes"
"boise","Idaho's largest city, it's almost 3 times as populous as Pocatello, the second largest"
"mojavedesert","The Pacific Ocean once covered this desert between the Sierra Nevada and the Colorado River"
"massachusetts","2 of this state's largest lakes are Quabbin Reservoir and Wachusett Reservoir near Worcester"
"newyork","Algonquin Peak in this state is also known as Mount MacIntyre"
"leavenworth","It's the oldest city in Kansas; a federal penitentiary lies within the city limits"
"grandcanyon","It's 277 miles long, it's up to 18 miles wide, it's 6 million years old and at a given time temperatures within it can vary by 25 degrees"
"aleutianislands","The largest number of active volcanoes in the U.S. lie in this Alaskan island group"
"california","While Upper Klamath Lake is in Oregon, Lower Klamath Lake lies in this state"
"florida","This state separates most of Alabama from the Gulf of Mexico"
"huron","This Great Lake is connected to Lake Superior by the St. Mary's River"
"snake","Winding through Idaho, the Salmon River is the largest tributary of this river"
"georgia","Peach County is the center of this state's peach-growing belt"
"potomac","Theodore Roosevelt Island in the District of Columbia lies in this river"
"ellisisland","This site of the U.S. Immigration Depot was called Oyster Island by the Dutch"
"maryland","At one point this state is less than 2 miles wide between its borders with Pennsylvania and West Virginia"
"mountwashington","The U.S.A.'s strongest surface wind, 231 MPH, was recorded on this New Hampshire mountain"
"lakemichigan","The Chicago River flows out of this great lake; the Kalamazoo River flows in"
"floridageorgia","The Okefenokee Swamp covers nearly 700 square miles in these 2 states"
"deathvalley","Apprpriately, you'll find the Black and Funeral Mountains in this ""mournful"" region of California"
"westvirginia","It makes sense that this is ""The Mountain State"" since it lies entirely within the Appalachians"
"hatteraslookout","1 of 2 capes in North Carolina that have been designated national seashores"
"louisiana","Complete with big toe projection into the Gulf of Mexico, this state resembles a boot"
"puertorico","This island is the only U.S. commonwealth outside the continental U.S."
"montanaidaho","Though most of Yellowstone National Park lies in Wyoming, it spreads out into these other 2 states"
"boise","Idaho's capital; it's the state's largest city as well"
"riogrande","The name of this U.S.-Mexico river is Spanish for ""large river"
"lakesuperior","It's both the farthest north and the farthest west of the Great Lakes"
"mountmckinley","Sometimes called the ""Tip of the Continent"", it's the only U.S. mountain whose peak exceeds 20,000 feet"
"mojavedesert","This vast southern California desert is a chief source of boron, which is used in nuclear reactors"
"ohioriver","Cities on this river include Aliquippa, Pennsylvania and Louisville, Kentucky"
"mojave","The Los Angeles aqueduct crosses the western part of this desert"
"champaign","This twin city of Urbana, Illinois was once called West Urbana"
"hawaii","This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea"
"laketahoe","In the 1850s both California and Nevada called it Lake Bigler"
"cascades","The Columbia River Plateau lies to the east of this range, the Puget Sound-Willamette Valley Trough to the west"
"buffalo","The Peace Bridge spanning the Niagara River connects this city in New York with Canada"
"ohioriver","Founded by Swiss immigrants, Switzerland County, Indiana lies across from Kentucky, along this river"
"mississippiriver","To make way for a railroad, Missouri's Cape Girardeau on this river was blasted out of existence"
"indiana","East Chicago is located in this state, not Illinois"
"florida","This state's Panhandle limits Alabama's Gulf of Mexico coastline to the area around Mobile Bay"
"cascades","Mt. Hood, the highest Oregon mountain, is in this range"
"columbia","About 70,000 now live in this planned ""new town"" founded in 1967 between Baltimore and D.C."
"kentucky","This state's largest cities lie within its Bluegrass Region"
"michigan","This state's Upper Peninsula has 2 land regions:  the Superior Upland and the Central Lowland"
"hartford","Some ocean-going vessels can sail up the Connecticut River as far north as this capital"
"louisiana","The parishes in this state's East Gulf Coastal Plain are called the ""Florida Parishes"
"puertorico","Of the non-state U.S. territories, areas and districts, the only one that is larger in area than the smallest state"
"mississippi","This river's drainage area covers about 1.25 million square miles in 31 states"
"california","Cape Mendocino in Humboldt County is the westernmost point of this state"
"pugetsound","The 2 main branches of this inlet in Washington state are Hood Canal and Admiralty Inlet"
"maui","Haleakala on this ""Valley Island"" of Hawaii has the world's largest dormant volcanic crater"
"alaska","It's the only U.S. state that touches 2 oceans"
"pikespeak","In 1905 a large searchlight was installed at the top of this Colorado peak"
"stlouis","Belleville, Illinois is part of this Missouri city's metropolitan area"
"blackhills","Wind Cave National Park is located in these eroded mountains in western South Dakota"
"cascades","Northern California's Mount Shasta and Lassen Peak are at the southern end of this mountain range"
"chesapeake","The Potomac River feeds into this large bay"
"pikespeak","On Aug. 12, 1901 the first auto reached the summit of this ""peak"" near Colorado Springs, Colorado"
"mississippi","This river's delta covers 13,000 square miles, about 1/4 of Louisiana's area"
"lansing","In 1847 the Michigan legislature chose this city to succeed Detroit as state capital"
"capecod","Vineyard Sound separates Martha's Vineyard from the southernmost part of this cape"
"missouririver","Longer than the Mississippi, this river wasn't made navigable until the 20th century"
"greatplains","This 10-state region isn't flat; it rises from 2,000 ft. near Omaha to 6,000 ft. at Cheyenne"
"california","The only state with areas that have a Mediterranean climate"
"chesapeakebay","The lower valley of the Susquehanna and its tributaries have created this large Atlantic bay"
"alleghenies","This western branch of the Appalachians runs from north central Penn. through MD., VA. and W. VA."
"hudsonriver","The lower part of this New York river is an arm of the Atlantic ocean"
"forestland","Of desert, swamp or forest, the type of land composing almost one third of the U.S."
"blackhills","They are South Dakota's example of dome mountains, which are raised up by pressure in the earth's crust"
"florida","The Ten Thousand islands lie near the city of Everglades in this state"
"minnesota","At about 440 square miles, Red Lake is the largest of this state's ""10,000 Lakes"
"colorado","Yuma, Arizona is the largest city lying on this 1450-mile-long river"
"narragansett","This bay nearly cuts Rhode Island in two"
"mtshasta","This twin-peaked volcano in northern California has 5 small glaciers on its slopes"
"montana","This state has a Custer County as well as one named Big Horn"
"louisiana","This state's parishes began as administrative units of the Catholic Church under Spanish rule"
"hudsonriver","New Jersey's eastern border is formed by the Atlantic Ocean and this river"
"lakeerie","The Detroit, Huron and Sandusky Rivers are among those that flow into this great lake"
"coloradosprings","This home of the U.S. Air Force Academy was founded in 1871 as Fountain Colony"
"nevada","Carson City, the capital of this western state, is named for Kit Carson"
"mobile","It's Alabama's first permanent European settlement as well as its only seaport"
"rockymountains","Utah's Uinta Range is the only major range of these mountains in the contiguous 48 states that runs east and west"
"vermont","This state's least populous county, Grand Isle, lies mostly within Lake Champlain"
"mohawkriver","Chief cities on the banks of this Hudson River tributary include Rome, Utica and Schenectady"
"salt","Phoenix lies on a river named for this substance found in the name of another state capital"
"pikespeak","The summit of this famous Colorado peak can be reached by horseback, auto, or a 9-mile cog railway"
"tennessee","A point 5 miles northeast of Murfreesboro is smack dab in the middle of this ""Volunteer State"
"dallas","This city of over a million people lies 30 miles from Fort Worth"
"longisland","This ""lengthy"" island forms the easternmost part of New York state"
"alcatraz","Once the site of a famous prison, this California island was named for its large pelican population"
"narragansettbay","All 5 Rhode Island counties have shorelines on this bay"
"snakeriver","This river that winds through Wyoming, Idaho and Oregon is the main tributary of the Columbia River"
"newhampshire","The Connecticut River forms Vermont's entire border with this state"
"kauai","Waimea is a famous canyon on this ""Garden Isle"" of Hawaii"
"illinois","Galesburg, seat of this state's Knox County, was the site of a Lincoln-Douglas debate"
"scotland","A railroad president named Aberdeen, South Dakota for his birthplace in this country"
"portland","This largest Oregon city is home to the International Rose Test Gardens"
"baltimore","Johns Hopkins University in this city is the home of the Lacrosse Hall of Fame"
"maine","This state's Acadia National Park includes parts of Isle Au Haut and the Schoodic Peninsula"
"oklahoma","It's ""where the wind comes sweeping down the plain"
"texas","State whose counties include Crockett, Zapata and Pecos"
"cumberlandgap","Historic pass at junction of TN., KY., and VA., associated with Daniel Boone"
"colorado","At 14,433 feet, Mt. Elbert in this state is a real Rocky Mountain high; it's the highest peak in the range"
"okefenokeeswamp","In 1937 the government set aside this Georgia swamp as a national wildlife refuge"
"bridgeport","This large Connecticut city was named after a structure spanning the Pequonnock"
"lakesuperior","This Great Lake's deepest point, 1330 feet, lies about 50 miles north of Michigan's Upper Peninsula"
"mountmitchell","This 6,684-foot peak in western North Carolina is the highest U.S. point east of the Mississippi River"
"florida","In 1957 Lake Seminole was created on the Apalachicola River in this state but most of it lies in Georgia"
"chicago","The U.S. Bureau of the Census says its metropolitan area covers parts of 3 states:  Wisconsin, Illinois and Indiana"
"nevada","The Humboldt River, this state's longest, flows through the cities of Winnemucca and Elko"
"mesabirange","The name of this iron ore-producing range in Minnesota comes from an Indian word for ""giant"
"mountwashington","This presidential mountain in New Hampshire is the tallest peak in the northeastern United States"
"oahu","Kauai Channel separates the island of Kauai from this most populous of the Hawaiian Islands"
"lakemead","Located on the Colorado River, it's the USA's largest man-made lake"
"oklahoma","Ranchers formed the territory of Cimarron in 1887; it lasted until 1890 when it became this state's western panhandle"
"travis","Austin is the seat of this county named for the Lt. Colonel who commanded the Texans at the Alamo"
"neworleans","Louisiana's lowest point is 8 feet below sea level in this city"
"catalina","The Wrigley family owns much of this resort island 22 miles off the coast of Los Angeles"
"statenisland","This island, a NYC Borough, is separated from New Jersey by 2 narrow channels:  the Kill Van Kull and the Arthur Kill"
"texas","The western part of this state's panhandle is the high plains, or llano estacado, ""staked plains"
"snakeriver","This river joins the Columbia near Pasco, Washington, a little more than 1,000 miles from its source in Wyoming"
"louisvillekentucky","This city was founded near rapids on the Ohio River and named for Louis XVI of France"
"fortworth","This city some 30 miles west of Dallas began as an army post on the Trinity River"
"mountwashington","A cog railroad, the first built in the U.S., runs up this New Hampshire mountain"
"northdakota","This state borders two Canadian provinces: Manitoba and Saskatchewan"
"alaska","About a third of this state lies north of the Arctic Circle"
"fortwayne","Indiana's 2nd-largest city is on the site of this stockade built in 1794 and named for a ""mad"" general"
"blackhills","This region of South Dakota and Wyoming has the largest gold mine in the U.S."
"sierranevadas","This mountain range extends about 400 miles from near the Mojave Desert to the Feather River"
"northcarolina","The Cape Fear River, one of this state's longest, is formed by the Deep and Haw Rivers"
"mississippiriver","This river that rises at Lake Itasca drains about 1/8 of the North American continent"
"manhattan","Of New York City's 5 boroughs, the one that is New York County"
"lakemead","This lake was created when Hoover Dam was built on the Colorado River"
"wichita","In Kansas more people live in this city than in Topeka and Kansas City combined"
"maine","The 1842 Webster-Ashburton Treaty fixed this state's border with New Brunswick"
"mississippi","The Missouri and Ohio are the chief tributaries of this river"
"arkansas","It's ""The Natural State"" as well as ""The Land of Opportunity"
"lakepontchartrain","Covering 625 square miles, it's Louisiana's largest lake"
"connecticut","It's the southernmost of the New England states"
"sierranevadas","A small part of this California mountain range extends into the Lake Tahoe area of Nevada"
"jordanriver","This Utah river named for a river in the Holy Land flows from freshwater Utah Lake to the Great Salt Lake"
"rhodeisland","In 1644 Aquidneck Island in Narragansett Bay was officially renamed this"
"delaware","Of the states that have counties, it has the fewest: Kent, New Castle and Sussex"
"phoenix","The Valley of the Sun is the locale of this state capital"
"minnesota","It's the westernmost state to border any of the Great Lakes"
"alaska","This state's Seward peninsula includes the westernmost point on the North American mainland"
"chesapeakebay","In Virginia Cape Charles and Cape Henry mark the northern and southern sides of the entrances to this bay"
"adirondacks","Lake Placid is located 1,860 feet above sea level in these mountains"
"pugetsound","Port Townsend, one of Washington's oldest cities, is at the entrance to this inlet"
"amarillo","Referring to its Spanish name, this chief Texas Panhandle city is nicknamed the ""Yellow Rose of Texas"
"pugetsound","Whidbey Island in Washington state is the largest island in this inlet"
"padreisland","This Texas island was named for a priest, Father Nicholas Balli"
"colorado","With an average elevation of 6,800 feet, it's the highest of all the states"
"northcarolina","Look out for Capes Lookout, Hatteras and Fear when sailing along this state's coast"
"idaho","Coeur d'Alene Lake in this state is at the heart of a popular resort area"
"mississippiriver","This river's delta covers more than 12,000 square miles in Louisiana"
"rockymountains","This mountain system stretches from New Mexico to the Brooks Range north of the Arctic Circle"
"oklahoma","The Wichita Mountains are not in Kansas but in this state on its southern border"
"platteriver","Although a mile wide in some places, this principal river of Nebraska is too shallow to be navigable"
"olympia","This state capital is known for a variety of oysters found primarily in Puget Sound"
"rockymountains","Part of this 3,000-mile long mountain system covers the middle third of Colorado"
"oklahoma","Texas County in this state's panhandle borders the state of Texas"
"minnesota","This Midwestern state's ""Northwest Angle"" is the northernmost point in the continental U.S."
"maine","The Calendar Islands of this ""Pine Tree State"" are so named because there are 365 of them"
"boston","If they'd decided to call this town Shawmut, the native name for the area, we'd have Shawmut baked beans"
"lakebonneville","The Salt Lake Valley was once a part of the basin of this ancient lake"
"losalamos","In 1942, people from the Manhattan Project set up shop at a boys' ranch school in this N.M. community"
"michigansuperior","Wisconsin is bordered by these 2 of the 5 Great Lakes"
"arkansas","Though Delaware is the Diamond State, the Crater of Diamonds is in this state"
"oahu","About 75% of all Hawaiians live on this island"
"hudsonriver","The New York state barge canal system connects the Great Lakes with the Atlantic via this river"
"appalachians","This mountain system stretches about 1,500 miles from Alabama to Canada's Gaspe Peninsula"
"laketahoe","At an altitude of 6,225"
"suwanneeriver","Made famous in song, this river begins in Georgia's Okefenokee Swamp and empties into the Gulf of Mexico via Florida"
"mississippiriver","In 1874, a major rail crossing, the Eads Bridge, was completed across this river at St. Louis"
"mountwhitney","California's highest peak, it was named for the geologist who was chief of the expedition that found it in 1864"
"bakersfield","Col. Thomas Baker founded this city, a produce center and California's country music capital"
"chesapeakebay","Virginia's Rappahannock River flows into this bay"
"montgomery","This state capital was founded in 1819 from 2 towns:  East Alabama and New Philadelphia"
"hawaii","With a common nickname that refers to its size, this is the largest island in the United States"
"hawaii","At 33 miles in length, the Kaukonahua Stream is this state's longest river"
"capecod","Communities on this cape include Pilgrim Heights and Mayflower Heights"
"desmoines","The name of this Iowa capital may come from an Indian word for ""River of the Mounds"
"catskills","These beautiful New York mountains are associated with the area once known as the ""Borscht Belt"
"minnesota","This state's ""Northwest Angle"" lies in Lake of the Woods County north of the 49th parallel"
"rockymountains","America's chief mountain system, it forms the Continental Divide"
"michigan","Laughing Whitefish is a well-known waterfall in this state's Upper Peninsula"
"maui","This second-largest Hawaiian island is located about 70 miles southeast of Oahu"
"ozarkmountains","The Boston Mountains of Arkansas contain the highest peaks of these mountains"
"pikespeak","Mapmakers named this Colorado mountain after its 1806 discoverer, who had called it Grand Peak"
"salemoregon","This Northwestern capital's name is derived from the Hebrew shalom, meaning ""peace"
"missouririver","This river flows through 3 state capitals: Bismarck, Pierre and Jefferson City"
"hawaii","It's the only U.S. state lying on the Tropic of Cancer"
