"richardsears","He began selling watches by mail order in 1886 and later hired a repairman named A.C. Roebuck to work for him"
"supremecourt","In 1937 FDR's opponents accused him of trying to ""pack"" this"
"oklahoma","Geronimo was buried in this state in 1909, 2 years after statehood"
"paris","In 1782, a preliminary treaty ending the Revolution was signed in this European city"
"greatbritain","In 1818, this country and the U.S. agreed to joint occupation of the Oregon territory"
"newmexico","Within 6 weeks in 1912, this and Arizona were admitted as the 47th and 48th states"
"georgewallace","In the 1968 election, he won 13 1/2 percent of the popular vote and carried 5 southern states"
"sanfrancisco","A 1906 disaster in this city destroyed about 28,000 buildings and killed hundreds, maybe thousands"
"benjaminfranklin","His funeral on April 21, 1790 drew 20,000 mourners in Philadelphia, the largest U.S. public gathering to that time"
"elpaso","In 1913 Pancho Villa used this Texas city on the Rio Grande as his headquarters"
"maine","The Webster-Ashburton Treaty set parts of the St. Francis and St. John rivers as the border for this state and Canada"
"nativeamericans","A 1924 law gave citizenship to all these members of what were called ""domestic dependent nations"
"specialdelivery","In 1885 the Post Office began this service that sent mail more quickly for an extra fee"
"income","In 1913 the 16th Amendment was ratified, authorizing a tax on this"
"mississippi","During an 1832 expedition, Lake Itasca was discovered to be the source of this river"
"georgewashington","He was first called ""The Father of His Country"" in a 1779 almanac published in Pennsylvania"
"iowa","In 1867 the first railroad to cross this state was completed from the Mississippi to Council Bluffs"
"greenbackparty","Founded in 1874, this political party advocated printing more money to help farmers"
"andrewjackson","In March 1814 this general defeated the Creeks at Horseshoe Bend, in what is now Alabama"
"natturner","For leading a slave rebellion in August of 1831, he was tried, convicted and hanged that November"
"confederateflag","19th century flag nicknamed ""Stars and Bars"
"hawaii","This popular tourist destination was annexed in 1889 due to pressure from sugar planters"
"sutter","It was his partner, James Marshall, who actually discovered gold at his California mill in 1849"
"maine","In return for Missouri's admittance as a slave state, this N.E. state was brought in as a free state"
"abrahamlincoln","This president signed the bill to create a transcontinental railroad; he didn't live to see its completion"
"linseywoolsey","Most early American pioneers wore clothing made of this material that was part linen and part wool"
"trumankennedy","1 of 2 presidents who appointed Eleanor Roosevelt as a delegate to the U.N."
"hartfordct","The 1st accident insurance policy in the U.S. was written by the Travelers Ins. Co. in this New England city"
"johnburgoyne","Known as ""Gentleman Johnny"", this British gen. surrendered at Saratoga in 1777"
"september","In 1884 the Central Labor Union selected the first Monday in this month for their ""workingmen's holiday"
"washington","This president's second inaugural address was 135 words long; he had us at ""Fellow citizens"
"nicaragua","The 1914 Bryan-Chamorro Treaty gave the U.S. the right to build a canal across this country NW of Panama"
"spiroagnew","1967 saw the amendment on presidential succession pass and this future V.P. become governor of Maryland"
"areader","William McGuffey compiled his first one in 1836"
"cuba","The naval base the U.S. got on this island came out of the Platt Amendment we forced into its 1901 constitution"
"omarbradley","Called ""The Soldier's General"", in 1949 he became the 1st permanent chairman of the new Joint Chiefs of Staff"
"dustbowl","Nickname of the area abandoned by the Okies and Arkies in the 1930s to go to California"
"lusitania","An ad for this oceanliner May 1, 1915 warned passengers there was a state of war; the ship was sunk May 7"
"theodoreroosevelt","Some 30 years before his cousin's New Deal, he gave us a ""Square Deal"
"cuba","The Spanish-American War led to this Caribbean country's independence"
"alanshepard","He was the first American in space"
"constitution","Edmund Randolph's Virginia Plan was used as the basis for this important American document of 1787"
"concord","Some of Wells Fargo's stagecoaches came from a factory in this New Hampshire capital"
"tombstone","After the 1881 gunfight at the O.K. Corral, Virgil Earp lost his job as this city's marshall"
"philippines","In 1900 the Taft Commission supervised the transfer of military to civil govt. in these Pacific islands"
"ameliaearhart","Her first attempt to fly around the world ended in March 1937 when her plane crashed in Hawaii"
"puertorico","In 1952 Congress approved this commonwealth's new constitution"
"masondixon","In 1763 these surveyors began work to settle a boundary dispute between the Penns and the Calverts"
"virginia","State in which Nat Turner led a slave revolt in 1831"
"tennessee","After Virginia, more Civil War battles were fought in this state than in any other"
"johnbrown","If you want to see the grave this abolitionist ""lies a-mouldering in"", go to North Elba, N.Y."
"valleyforge","It's where Lafayette spent the winter of 1777-78"
"scopestrial","Ray Ginger's book ""Six Days Or Forever?"" covers this famous 1925 Tennessee trial"
"georgepullman","In 1865 he was granted a patent for his car designed with upper and lower berths"
"louisianapurchase","This 1803 territorial acquisition gave the U.S. free navigation of the Mississippi River"
"constitution","At age 26 Jonathan Dayton of New Jersey was the youngest signer of this 1787 document"
"fbi","In 1973 L. Patrick Gray resigned as head of this agency because he destroyed Watergate records"
"california","This western state sent its first refrigerated trainload of oranges back east February 14, 1886"
"abrahamlincoln","On December 6, 1847 this future president took his seat in the U.S. House of Representatives for Illinois"
"polio","In 1956 Jonas Salk and Leonard Scheele said Salk's vaccine should eliminate this disease within 3 years"
"jimmycarter","This president commuted Patty Hearst's jail sentence and was instrumental in a Mideast peace treaty"
"eagle","Name given to the module that landed the first men on the moon July 20, 1969"
"televisions","In the mid-1940s about 10,000 Americans owned these electronic devices; by 1957 about 40 million were in use"
"naacp","W.E. B. Du Bois and others founded this organization on Lincoln's 100th birthday in 1909"
"danielwebster","His 1830 ""Liberty and Union"" speech to the Senate was spread over 2 days"
"denmark","50 years after buying Alaska from Russia, the U.S. bought the Virgin Islands from this country"
"indians","In 1924 Congress finally passed a law making all these first Americans US citizens"
"johnmitchell","When JFK commanded PT-109, his superior was this man, later Attorney General under Nixon"
"scopestrial","William Jennings Bryan died just a few days after the conclusion of this"
"northwestordinance","1787 law governing the area north of Ohio River; it became a model for territories entering the Union"
"nauvoo","By the end of 1845, Mormon industry had turned it from swampland into the largest city in Illinois"
"hawaii","On August 21, 1959 it became our 50th state"
"prohibition","It's the period, 1920 to 1933, when alcoholic beverages were illegal"
"kansasnebraska","Stephen Douglas proposed the act that repealed the Missouri Compromise and created these 2 territories"
"horse","In 1830 one of these raced the locomotive Tom Thumb and beat it"
"male","19th century feminists denounced the 14th Amendment for putting this 4-letter word in the constitution"
"refrigeratedcars","Developed in the 1860s, these vehicles made it possible to ship fresh produce across the nation"
"haymarketriot","Frank Harris' 1908 novel ""The Bomb"" deals with this 1886 U.S. incident"
"irancontra","For evading taxes on profits earned, former CIA agent Thomas Clines was the only one sent to prison over this scandal"
"missouri","In 1965 President Johnson flew to this state to sign the Medicare bill with a former president as witness"
"chicago","Demonstrators were kicked out of this city's Lincoln Park August 27, 1968"
"ronaldreagan","Though he left the service after WWII as a captain, today he holds the highest rank possible"
"cuba","Country to which the U.S. began beaming Radio Marti in May 1985"
"davycrockett","Though popular in early 1800s this Tennessee congressman was even more popular in the 1950s"
"abolitionists","From Latin for ""put an end to"", it's the term for reformers like Wm. L. Garrison who wanted to end slavery"
"monitor","In March 1974 it was announced that the wreck of this Union ironclad had been found off Cape Hatteras, N.C."
"johnstownflood","In 10 minutes, this May 31, 1889 disaster destroyed a town and killed over 2,200 people"
"winfieldscott","In September 1847 this general led the American troops that captured Mexico City"
