"perforations","It's what you call the punched holes on a sheet of postage stamps"
"hedge","It can describe a row of bushes that form a border, or it can mean to stall, as if hiding behind one"
"blockhead","This synonym for dunce originally referred to the piece of wood on which hats and wigs were made"
"mezzanine","Term for the partial story between 2 main stories of a building, or, a low balcony in some theatres"
"solicitor","One who seeks contributions, or another term for a lawyer"
"amuffler","A scarf for your neck, or a sound-deadener for your car"
"litmus","This 6-letter test checks the acidity or alkalinity of a solution"
"karma","Meaning destiny, this word is from Sanskrit for ""deed""; let's see if yours is good, man"
"hexennial","It means occurring every 6 years"
"recuse","To withdraw from a case as a judge to avoid any semblance of bias"
"sun","Trace back the Greek roots and you'll find that heliolatry is the worship of this"
"italy","Latin gets its name from ""Latium"", a region of this country"
"ahalo","Nimbus can refer to a cloud or to one of these seen around someone's head in art"
"noodle","To musicians in a jam session, this edible item means to improvise in an idle, careless way and may precede ""around"
"berzerk","This word meaning ""violently frenzied"" is likely derived from ursine pelts worn by Old Norse warriors"
"turnpike","When used to mean a road, pike is short for this"
"marines","Members of this military group are called leathernecks"
"roe","This word can mean a type of small deer or the eggs of a fish"
"lox","This 3-letter word can refer to smoked salmon or liquid oxygen"
"afaucet","The name of this common device for regulating the flow of a liquid comes from Latin for ""false"
"sybarite","Its original meaning was a resident of a certain wealthy city; now it means one who indulges in luxury"
"nunnery","Get thee to"" the letter ""N"" and you'll find this former term for a convent"
"acute","This adjective meaning sharp or less than 90 degrees comes from the Latin for ""needle"
"head","It's what you've lost if you've been decollated"
"maudlin","Meaning overly sentimental, this word is derived from the name of a woman whom Jesus exorcised of evil spirits"
"slick","Sleek is a variant of this word which also means smooth and glossy"
"ship","On its own it's a mode of water transportation; at the end of a word, it indicates a rank or condition"
"filbert","This other name for a hazelnut is from a saint whose feast day falls during the nutting season"
"syllabus","This Latin word is used in college for an outline describing the contents of a curriculum"
"cyberneticorganism","Cyborg, describing something that's part human and part robot, is a combination of these 2 words"
"scalene","Appropriately, the name of this type of triangle comes from the Greek for ""unequal"
"numismatism","It's an 11-letter word for coin collecting"
"fraught","It used to refer to the cargo on a ship; now before ""with"", it's an adjective meaning filled with, as in danger"
"animals","Zoolatry is the worship of these"
"acheroot","From the Tamil word for roll, ""curuttu"", it's a cigar with square-cut ends"
"amantilla","This Spanish word for a lace scarf literally means ""little blanket"
"parochial","Technically, this adjective means ""of, pertaining to, or located in a parish"
"deadduck","Slang for someone doomed to failure, or an expired mallard"
"whooping","A type of crane,<br />or<br />a type of cough"
"caves","A speleologist specializes in the scientific study or systematic exploration of these"
"hoofs","By definition, an ungulate is an animal which has these"
"aquiline","This adjective that describes an eagle-like nose comes from the Latin word for eagle"
"slinging","A person who uses offensive epithets against a political opponent is said to be doing this with mud"
"truculent","Meaning savage and cruel, it comes from the Latin ""trux"", which means fierce"
"hob","This 3-letter prefix that precedes ""goblin"" can also mean goblin when it stands alone"
"mouthpiece","It can be a spokesman, part of your phone or a protective rubber device worn by a boxer"
"dinosaur","The name of this extinct critter comes from words meaning ""terrible lizard"
"robot","This term for a mechanical human comes from a Czech word for ""forced labor"
"asimile","He's an angel"" is a metaphor: ""Smart as a whip"" is one of these comparisons"
"zoological","You can learn about all types of animals at the zoo--and that ""zoo"" is short for this type of park or garden"
"foolery","Following ""tom"" or on its own, it mean plain old silliness"
"microbe","From the Greek for ""small"" and ""life"" comes this 7-letter word for a germ or a disease-causing bacterium"
"alactovegetarian","A person who eats only milk and plant products may be described by this 15-letter word"
"magnate","This term for a powerful business leader comes from the Latin for ""great""--magnus"
"sinister","Synonyms for this adjective include evil, unlucky, and to the left"
"blurb","In 1907 humorist Gelett Burgess coined this word for the praising quotes on book jackets"
"euphemism","It's a term or expression used in place of an indelicate or taboo term"
"chinese","Sinitic is an adjective referring to these people, their language or their culture"
"fish","If you're piscivorous, you eat this, which can ""net"" you some health benefits"
