"anacre","1 hectare, the metric unit of area, is equal to 2.471 of these"
"abale","This cotton measure is 500 lbs. in the U.S. and only 176 lbs. in China"
"adegree","Measuring longitude at the equator 1 of these equals 69.17 miles"
"squaremiles","6 miles square is exactly equal to this many square miles"
"angstrom","This unit named for a Swedish scientist is used to designate wavelengths of light"
"aquarter","In 1873 metric weights were extended to silver coins; a half dollar weighed 12.5 grams and this, 6.25 grams"
"aliter","If you want to convert gallons to these metric measures, multiply by 3.785"
"ajigger","A fifth of whiskey contains 25.6 ounces, which is about 17.1 of these small 2-syllable measures"
"bricks","Norman, Norwegian and engineer are sizes of these building blocks"
"hand","It's the set of cards dealt to an individual in a round of a card game"
"leg","A portion of a journey, it's also the part of a relay race each athlete has to complete"
"lap","It's the term for 1 full trip around the track"
"fingers","To the ancient Greeks 4 of these made a palm"
"foot","It's a linear measure in the U.S., or the basic unit of verse"
"frame","Term for a single exposure on a reel of motion picture film"
"aninch","In the 14th century Edward II declared it was equal to 3 barley corns laid end-to-end"
"halfpint","This equivalent to 1 cup is slang for a short person"
"abillion","If a gigawatt you see, this is the number of watts you get"
"penny","(Jimmy of the Clue Crew)  It's the standard unit of size for nails; this baby, used in framing a house, is a 16"
"x","Letter used with a number to denote ""power"", as in the magnification power of binoculars"
"nauticalmile","When at sea, use this measurement equal to about 6,076 feet"
"grit","It's true, abrasives like sandpaper are graded and sold by the size of this on them"
"hectare","There are 100 ares in one of these metric units of land area measure"
"bricks","Norman, engineer and Norwegian are names for sizes of these, a ton of which may hit you at any time"
"gigabytes","Computer hard drives are usually measured in GBs, which are these"
"liter","This metric unit is equivalent to 1.056 quarts"
"ohm","The symbol for this unit of electrical resistance is the Greek letter omega"
"mil","Subtract an ""E"" from 1,760 yards and you get this measurement for one-thousandth of an inch"
"avoirdupois","The name of this system of weights and measures comes from the Old French for ""goods of weight"
"sugar","The amount of this per liter determines if champagne is brut, sec or doux"
"moon","A calendar month is an arbitrary number; a synodic month or a sidereal month is based on the movement of this"
"fathom","This measure of water depth was originally the distance between your fingertips with your arms outstretched"
"carob","A seed of this tree that gives us a chocolate substitute is the original ""carat"
"vhf","150 MHz is in this band that falls between HF and UHF"
"celsius","On this scale, the temperature of the human body is normally 37 degrees"
"decibels","It's said that a light whisper is 10 of these units; the loud ""Jeopardy!"" office is about 60"
"abarrel","This container made of staves is a standard dry measure for most produce but is smaller for cranberries"
"ashot","1.5 ounces is equal to a jigger or one of these units--but Bartender, a little extra is always OK"
