"devious","This adjective meaning deceptive or sneaky is from the Latin de via, meaning ""out of the way"
"manhattan","This New York island's name may come from the Algonquian word for ""island"
"north","This compass direction may come from the Proto-Germanic for ""to the left of the rising sun"
"apolygraph","From the Latin for ""much writing"", it's another name for a lie detector test"
"cochlear","A type of ear implant to help the deaf, it's from the Greek for ""snail"
"minnesota","This state's name is from the Sioux for ""sky-tinted waters""; maybe they meant the 10,000 lakes"
"window","The Old Norse word ""vindauga"" gave us this pane-ful word for an opening in a wall"
"salad","Derived from the Latin for ""salted vegetables"", this cold dish might be enhanced with a little oil and vinegar"
"zero","This number can be traced back to the Sankrit ""Shunya"", or empty"
"saxons","The -sex suffix on British placenames refers to this Germanic people"
"caboose","From Dutch ""kaban huis"", meaning ship's galley, in U.S. it came to mean last car on a train"
"gungho","Chinese for ""work together"", it was motto of U.S. marine raiders in WWII"
"astigma","Originally a brand applied to slaves and criminals, it has come to mean a mark of disgrace"
"skidrow","Run-down part of town, from the rough forest paths along which newly-cut logs were dragged"
"crystal","Derived from the Greek for ""ice"", it's a glass of fine quality that resembles ice"
"london","Many scholars believe that the Celts called it ""The Wild Place""; now this wild place is a city of over 7 million"
"emir","A Middle Eastern chieftain, this 4-letter term is from the Arabic for ""commander"
"shillelagh","This wooden club is named for the town in county Wicklow where it originated"
"bucolic","A Greek word for cowherd has given us this term for ""pastoral"" or ""rustic"
"mandarin","The name of this dialect comes from a Hindi word, mantri, meaning ""counselor"
"freelancer","Today meaning a self-employed person, this term derives from medieval knights who sold their skills"
"ahydrant","The name of this, also called a fireplug, is partly from a word for ""water"
"butter","The name of this bread spread goes all the way back to bous, a Greek word for ""cow"
"rhinestones","These sparkly fake gems are partly named for a river that flows through Germany"
"anencyclopedia","The name of this type of reference work is from the Greek for ""cyclical"" (i.e., well-rounded) and ""education"
"aquery","This 5-letter synonym of ""question"" comes from the Latin for ""to ask"" or ""to seek"
"gamut","This word meaning ""complete range"" comes from the 3rd Greek letter, which used to be the low end of the musical scale"
"arestaurant","This type of establishment gets its name from the Latin for ""to restore"
"stereotype","Meaning to ascribe predetermined characteristics, this word comes from a printing process using metal plates"
"canvas","It's from the Latin for ""hemp"" because it was often made of hemp; add a letter and it means to take a survey"
"companion","This word for a friend comes from the Latin for ""with whom you would eat bread"
"burnout","Used in the '40s for a sudden loss of power in a jet engine, Herbert Freudenberger applied it in 1974 to spent people"
"aterrier","This dog, of which there are more than 20 breeds, takes its name from the Latin for ""earth"
"awaltz","The name of this ballroom dance with gliding turns comes from German for ""roll"" or ""turn"
"gastronomy","This word for the art and science of good eating goes back to Greek for ""belly"
"aneophyte","This term for a novice or beginner is from Latin and Greek for ""newly planted"
