"canberraaustralia","Started in 1988 for this city's 75th anniversary, a Springtime Flower Festival in September shows off its Commonwealth Park"
"seoul","It's located about 30 miles south of the DMZ"
"vienna","Until 1918 and the collapse of the dynasty, it was home base for the Hapsburgs"
"kingstonjamaica","It's the largest English-speaking city in the Caribbean, mon"
"buenosaires","This South American capital's original longer name translated to ""Saint Mary of the Fair Winds"
"jakarta","On a plane trip to this capital, you'd likely land at Soekarno-Hatta International Airport"
"prague","The Rome of the North"" is how famed sculptor Rodin described this Czech capital"
"saudiarabia","Foreign embassies are located in Jiddah, some 500 miles from this country's capital, Riyadh"
"mexicolibya","From the halls of Montezuma to the shores of Tripoli"" refers to the capitals of these two countries"
"santodomingo","Founded in 1496 by Columbus's brother, this Dominican capitol is the oldest European city in the new world"
"paris","It was founded by the Gauls as a fishing settlement in the Seine River in the 3rd century B.C."
"warsaw","Every 4 years this Polish capital hosts a Frederic Chopin international piano competition"
"vienna","Schonbrunn, the Hapsburgs' summer palace, is a top tourist attraction just outside this capital"
"nassau","This Bahamian capital served as a supply base for Confederate blockade runners in the Civil War"
"canberra","A prominent landmark in this Australian capital is the 258-foot-tall Australian-American Memorial"
"havana","The Old Capitol Building in this Cuban capital resembles ours in Washington, D.C."
"tokyo","A bullet train runs between this capital and Fukuoka"
"vienna","In 1886 Freud set up a private practice in this capital"
"iceland","The statue of Leif Ericson in this country's capital of Reykjavik was a gift from the U.S."
"turkey","In 1930 the name of its capital was changed from Angora to Ankara"
"stockholm","During the Middle Ages, this capital was mostly confined to Stadsholmen and Riddarholmen islands"
"sofia","Alexander Nevsky Cathedral in the center of this Bulgarian city celebrates its liberation from the Turks"
"lisbon","In this capital you can watch the sun turn the Tagus' estuary into Mar de Palha, the ""sea of straw"
"newdelhi","Diplomats live in the Chanakyapuri section of this capital designed by Edwin Lutyens and Herbert Baker"
"santodomingo","From 1936 to 1961 this Caribbean capital was known as Ciudad Trujillo in honor of dictator Rafael Trujillo"
"caracas","This capital of Venezuela has a population of about 3 million"
"newdelhi","Calcutta was once the capital of India; this ""New"" city was made the capital in 1931"
"ottawa","It's the northernmost capital city in mainland North America"
"pretoria","South Africa actually has 3 capitals: Bloemfontein, Cape Town and this one"
"amsterdam","This Dutch city has more than 400 bridges linking its approximately 90 islands"
"ottawa","(VIDEO DAILY DOUBLE):<br />Capital in which the following was minted: (Canadian gold coin)"
"bogotacolombia","This South American capital was founded in 1538 close to a Chibcha Indian center called Bacata"
"riyadh","The Islamic University of Imam Muhammad Ibn Saud and the Abdulaziz Military Academy are in this city"
"kathmandunepal","In 1768 the Gurkhas captured this city and made it their capital"
"baghdad","A 1958 coup in this city ended a monarchy; 10 years of political turmoil followed, then 35 years of dictatorship"
"reykjavk","This capital city of 113,000 is the closest national capital to the Arctic Circle"
"beijing","Wangfujing Street, this city's most famous shopping district, is located east of Tiananmen Square"
"prague","This capital of the Czech Republic is known as the ""City of 100 Spires"
"kabul","This Afghan city was capital of the Mogul Empire from 1504 to 1526"
"cairo","The name of this largest African city is Arabic for ""The Victorious"
"lisbon","When visiting this Portuguese capital you can sample port wine at the Port Wine Institute"
"ontario","Ottawa, the capital of Canada, lies in the southeastern part of this province"
"lima","The Church of St, Francis in this Peruvian capital is noted for its eerie catacombs"
"seoul","You'll find the Kyongbok Palace at the foot of Mount Pugak in this South Korean capital"
"warsaw","The Aleje Ujazdowskie has been called the ""Champs-Elysees"" of this Polish capital"
"caracas","Simon Bolivar is buried in the National Pantheon in this capital of Venezuela"
"auckland","Almost 1/3 of New Zealand's population lives within 100 miles of this city, the nation's first capital"
"managuanicaragua","This Central American capital was destroyed by earthquakes in 1931 and 1972"
"quezoncity","This suburb of Manila was the official capital of the Philippines from 1948-1976"
"kabulafghanistan","This troubled capital lies 5,890 feet above sea level in the Hindu Kush mountains"
"buenosaires","The Spaniards named it for the Virgin of the Fair Winds for bringing them safely across the Atlantic"
