"jacksonpollock","This drip artist was born in Cody, Wyoming in 1912"
"georgesseurat","He spent several summers painting pointillist seascapes including ""Le Bec Du Hoc, Grandcamp"
"augusterodin","His sculpture, ""The Age of Bronze"", exhibited in 1877, was inspired by Michelangelo"
"henrymoore","You can see this British sculptor's ""Reclining Mother and Child"" at the Walker Art Center in Minneapolis"
"pollock","In 1956 Time magazine dubbed this abstract expressionist ""Jack the Dripper"
"janvermeer","This Dutch master served as chairman of the Delft Artists' Guild from 1662-63 and 1670-71"
"watercolor","Aquarelle is a transparent, rather than opaque, type of this painting, as seen in Paul Klee's work ""Quarry"
"salvadordali","Andre Breton anagrammed this surrealist's name as ""Avida Dollars"
"marycassatt","This American female impressionist modeled for many of Degas' works, including ""At the Milliner's"
"michelangelo","Upon completing the ceiling of the Sistine Chapel in 1512, he wrote to his father, ""The pope is well satisfied"
"andywarhol","This pop artist's studio was known as ""The Factory"
"andrewwyeth","In 1963 this ""Christina's World"" artist became the first painter to receive the Presidential Medal of Freedom"
"paulgauguin","He painted ""Tahitian Women"" shortly after arriving on that island in 1891"
"winslowhomer","On September 29, 1910, this painter known for his seascapes died in his studio in Prouts Neck, Maine"
"scallopshell","In Botticelli's ""Birth of Venus"", Venus is standing on this"
"watercolor","This style of painting is characterized by broad transparent areas of paint called washes"
"thomasgainsborough","In the 1740s this ""Blue Boy"" painter worked as a restorer of paintings for art dealers"
"whaam","A caption on this famous Lichtenstein painting reads in part, ""...ahead of me rockets blazed through the sky"
"titian","In 1516 he succeeded Giovanni Bellini as state painter of the government of Venice"
"janvermeer","This Dutch painter, a member of the Delft Guild, had a total output of only about 40 pictures (one with a pearl)"
"medusa","Gericault's most famous work, ""The Raft of"" this ship, was based on a historic event and caused a political scandal"
"americangothic","This American masterpiece has been widely satirized; the sign of a true classic"
"augusterodin","A Philadelphia museum devoted to this ""Thinker"" sculptor has a bronze cast of his ""Burghers of Calais"
"anseladams","His collections include ""My Camera in Yosemite Valley"" and ""Portfolio Two: The National Parks"
"claudemonet","He was nearly blind when he painted his series of ""Water Lilies"
"blueboy","Seen here, he's the most famous occupant at California's Huntington Library"
"astaircase","Marcel Duchamp's most famous painting is ""Nude Descending"" this"
"edvardmunch","His ""Vampire"" painting from 1893 just might make you ""Scream"
"marycassatt","Four of her works, including the one seen here, were recently featured on U.S. stamps"
"impressionism","Gauguin collected art by painters of this movement, like Pissarro and Monet and exhibited with them from 1880 to 1882"
"renemagritte","This Belgian surrealist painted a pipe and the words ""Ceci n'est pas une pipe"" (""This is not a pipe"")"
"marycassatt","Around 1884 Edgar Degas painted the portrait seen here of this fellow impressionist"
"venice","Canaletto was noted for his vedute, or views, of this canal city, his birthplace"
"ophelia","(VIDEO DAILY DOUBLE): Sir John Everett Millais painted an 1852 portrait of this Shakespearean heroine, seen here"
"normanrockwell","On a Saturday evening you might want to read his 1960 autobiography ""My Adventures As An Illustrator"
"vienna","Gustav Klimt was a founding member and first president of this Austrian city's Sezession movement"
"franciscogoya","The Prado boasts a fine portrait of 18th century artist Francisco Bayeu by this Spaniard, his brother-in-law"
"michelangelo","In 1501 he was commissioned to make a statue of David for the cathedral of Florence"
"salvadordal","Figueres, Spain and St. Petersburg, Florida have museums devoted to this Surrealist"
"andywarhol","In 1968 Valerie Solanas shot this pop artist; at one point he was declared clinically dead, but he survived"
"raphael","Sanzio is the last name of this master of the Italian High Renaissance known for his Madonnas"
"michelangelo","He was in his 20's when he sculpted the ""Pieta"", now in St. Peter's Basilica"
"paulgauguin","He painted tropical landscapes on Martinique before he moved to Tahiti"
"edgardegas","This Frenchman painted many portraits of ballet dancers including ""Dancer With a Fan"" in 1879"
"diegovelasquez","This Spanish court artist's 1620s painting ""Los Borachos"" or ""The Drinkers"" is in the Prado"
"rembrandt","This Dutchman's brother Adrian may have been the model for his ""The Man With the Golden Helmet"
"louvre","Around 1850, you could find Eugene Delacroix painting the ceiling of this French museum's Salon d'Apollon"
"pablopicasso","This Spaniard painted some dreary-looking clowns during his Blue and Rose Periods in the early 1900s"
"edgardegas","Maybe it's just me, but I'd rather look at his ballerinas than the ""Two Laundresses"" he drew in the 1880s"
"paulgauguin","His pictures of Tahitian women with spirits include ""Manao Tupapau (The Specter Watches Over Her)"
"grantwood","This ""American Gothic"" artist was an asst. professor of fine arts at the Univ. of Iowa in 1934"
"roylichtenstein","Known for such works as ""Blam!"", he drew maps for the U.S. Army in Europe during WWII"
"diegorivera","This muralist's birthplace in Guanajuato, Mexico is now a museum devoted to him"
"ashcanschool","The group led by Robert Henri and known as The Eight later became known as this ""school"
"monalisa","Marcel Duchamp's ""L.H.O.O.Q."" put a mustache and goatee on a postcard reproduction of this masterpiece"
"busts","Charles Despiau is best known for these head-and-shoulders sculpted portraits"
"abstract","In art class, ""A"" is for this style of art that doesn't represent objects"
"spiritof","For this revolutionary image, Archibald Willard originally showed the 3 musicians in a July 4th parade"
"salvadordali","This Spanish surrealist collaborated on 2 films with Luis Bunuel, ""Un Chien Andalou"" and ""L'Age D'Or"
"moulinrouge","Toulouse-Lautrec's 1892 painting ""At"" this music hall features portraits of himself, his cousin and other patrons"
"paulgauguin","This Frenchman considered ""Where Do We Come From?  What Are We?  Where Are We Going?"" to be his ""Best Canvas"
"marcchagall","This Russian-born artist designed the stained glass windows for Jerusalem's Hadassah-Hebrew Medical Center"
"potatoeaters","In this work, Van Gogh captured the misery of a family gathered around a table dining only on a plate of spuds"
"augusterodin","This ""Thinker"" sculptor was denied admission to the School of Fine Arts in Paris 3 times"
"franciscogoya","This Spaniard included Velazquez's ""Las Meninas"" in his ""Family of Charles IV"" seen here"
"marcchagall","His 1911 oil painting ""I And The Village"" depicted scenes of life in his native Vitebsk, Russia"
"artnouveau","The name of this art style is derived from a Paris shop opened in the 1890s by dealer Siegfried Bing"
"grandmamoses","She began painting in 1938 at age 78; a year later her landscapes were exhibited at NYC's Museum of Modern Art"
"nightwatch","(Cheryl of the Clue Crew in Amsterdam at Rembrandt's house) Under a lean-to in this courtyard, Rembrandt painted 1642's ""Sortie of a Company of Captain Banning Cocq"", also known as this"
"titian","This Venetian put St. Peter, not Mary and Jesus, at the center of his ""Madonna of the Pesaro Family"
"janvermeer","2 of this artist's most famous landscapes, ""View of Delft"" and ""Street in Delft"", are scenes from his hometown"
"napoleonbonaparte","He commisioned Jacques-Louis David to paint his 1804 imperial coronation"
"sanchopanza","Honore Daumier created several works portraying Don Quixote and this squire"
"edvardmunch","He painted ""Vampire"" in 1893, the same year he painted ""The Scream"
"henrirousseau","Unpleasant Surprise"" by this primitive painter of ""The Hungry Lion"" shows a woman menaced by a bear"
"marycassatt","This American woman impressionist posed for several of Degas' works, including ""At The Milliner's"
"andywarhol","This pop artist and filmmaker appeared on the television program ""The Love Boat"
"salvadordal","In the late '30s this Spaniard began painting in a more academic style and was expelled by the Surrealists"
"winslowhomer","Inside the Bar, Tynemouth"" shows this Maine-based artist's mastery of the watercolor medium"
"malta","After assaulting a fellow knight, Caravaggio fled this island"
"bauhaus","Wassily Kandinsky joined Gropius at this design school in 1922 and remained there until 1933"
"blueboy","Jonathan Buttall is the young man in this ""colorful"" work by Thomas Gainsborough"
"claudemonet","Impressionism got its name thanks to his painting ""Impression: Sunrise"
"titian","A reddish-brown color is named for this Venetian artist who used the color frequently in his paintings"
"alexandergreat","This 4th century B.C. conqueror was said to let no one but the sculptor Lysippus do his portrait"
"raphael","This single-named Renaissance artist who died in 1520 was regarded in the 19th century as the greatest painter ever"
"diegovelasquez","For 37 years, 1623 to 1660, he painted Philip IV of Spain and his family, court and jesters"
"abstractexpressionism","Elaine de Kooning, Willem's painter wife, wrote ""The Spirit of"" this 2-word art movement of the 1940s and '50s"
"thames","From 1899-1904 Claude Monet created a series of paintings of this English river"
"lafayette","Samuel Morse's 1825 painting of this marquis is one of the finest American romantic portraits"
"caravaggio","Manfredi, Saraceni, and other followers of this artist were known as the Caravaggisti"
"milan","In 1482 Leonardo Da Vinci moved to this city to become its court artist to Ludovico Sforza"
"modigliani","This Italian painted a characteristically elongated self-portrait in 1919, shortly before his death"
"michelangelo","In the 1550s this artist and sculptor was architect for the Palazzo Farnese"
"henri","First name shared by French artists Toulouse-Lautrec and Matisse"
"diegorivera","Out of favor with the leftists in Mexico, he created murals in the U.S., like one in the Detroit Inst. of Arts"
"johnconstable","The Hay Wain"" helped this British landscape artist win a gold medal at the Paris Salon of 1824"
"michelangelo","This ""Pieta"" sculptor's statue of Bacchus is in the Bargello in Florence"
"paulgauguin","Parisian who painted the distinctly non-Parisian work seen here"
"claudemonet","In 1895 this impressionist finished his famous series of paintings of Rouen Cathedral"
"paulgauguin","In October 1888 this painter joined Van Gogh in Arles; he fled after that ugly ear incident"
"henrimatisse","The Dance"", also the title of the work seen here, was one of this artist's favorite scenes"
"claudemonet","In November 1998 the Getty Museum bought his seminal 1870s painting ""Impression: Sunrise"
"diegovelazquez","This 17th century Spaniard created the intriguing and complex portrait seen here<br />(""Las Meninas"")"
"thomasgainesborough","The influence of Van Dyck can be seen in his ""Blue Boy"" and other works"
"moscow","Ilya Yefimovich Repin's ""Ivan The Terrible With The Body Of His Son"" is in this city's Tretyakov Gallery"
"delft","Carel Fabritius, Rembrandt's finest student, died in a 1654 explosion in this Dutch pottery city"
"lastsupper","Veronese's and Tintoretto's versions of this Biblical meal each depict a dog"
"stilllife","This term for a painting of inanimate objects is from the Dutch ""stilleven"
"napoleon","Antonio Canova's nude ""Mars the Peacemaker"" statue wasn't liked by its subject, this French emperor"
"arachne","The Spinners"" by Diego Velazquez is based on this mythical spinner"
"venice","In the 1700s many visitors to this Italian city bought Canaleto's paintings of its canals"
"henryeighth","In 1553 Hans Holbein the Younger painted the French ambassadors to this English king's court"
"gauguin","Take a look at the monitor players: French ex-patriate who painted the following in 1896"
"mexicocity","Diego Rivera created a mural called ""Creation"" for the National Preparatory School in this capital city"
"tintoretto","Jacopo Robusti became known by this name because his father was a dyer, or tintore"
"marilynmonroe","She's the subject of Andy Warhol's 1962 ""Marilyn Diptych"
"thomasgainsborough","An X-ray of his ""Blue Boy"" has revealed the figure of a small dog that was painted out"
"sistinechapel","In 1481 Botticelli led a group of painters in frescoing this newly erected Vatican chapel"
"franciscogoya","His portrait of the Duchess of Alba in a Maja costume is at NYC's Hispanic Society of America"
"salvadordali","This Spaniard painted religious works like the ""Madonna of Port-Lligat"" and those famous melting watches"
"toulouselautrec","In 1892 this French artist painted the nightclub waltzers seen here:"
"louisxv","Francois Boucher, known for his portraits of Mme. de Pompadour, was named first painter to this king in 1765"
"peaceablekingdom","This famous series of paintings by Edward Hicks depicts animals living together in peace and harmony"
"jacksonpollock","Helen Frankenthaler's ""soak and stain"" technique was inspired by this artist's drip paintings"
"guernica","Picasso painted this work as a protest against the bombing of a town in the Spanish Civil War"
"gauguin","One of his last paintings before his 1903 death in the South Pacific was a landscape of Brittany in winter"
"fridakahlo","In her 1949 painting ""Diego and I"", Diego Rivera is depicted on her forehead"
"samuelmorse","This 19th century inventor's notable portraits included those of the Marquis de Lafayette and William Cullen Bryant"
"germany","Expressionist movements that started in this country included ""The Bridge"" and ""The Blue Rider"
"aristotle","(Cheryl of the Clue Crew at Rembrandt's house in Amsterdam)  Rembrandt did much of his work in this studio, including this philosopher ""Contemplating the Bust of Homer"
"henrimatisse","French Fauvist famous for his 1905 ""Woman with a Hat"" and a mural in a Pennsylvania museum"
"michelangelo","The artists who covered nudity painted by him in the Sistine Chapel were called ""breeches makers"
"georgeiii","In 1792 Thomas Lawrence succeeded Sir Joshua Reynolds as principal painter to this king"
"edvardmunch","Paal Enger, one of those who stole his ""The Scream"" in Oslo in 1994, was sentenced to prison in 1996"
"roylichtenstein","This pop artist of comics-inspired images was awarded the National Medal of Art in 1995"
"michelangelo","The Holy Family"" is the only surviving panel painting by this ""Pieta"" artist"
"magi","Hugo van der Goes painted ""The Adoration of the Shepherds"" and ""The Adoration of "" this trio"
"napoleon","In 1810 Jacques-Louis David painted this emperor distributing eagle-topped standards"
"edvardmunch","After a nervous breakdown in 1908, he became more positive and painted lovely murals for the University of Oslo"
"cubism","Along with Picasso and Braque, Juan Gris was a leading member of this movement"
"rodin","Sculptures of his at the Musee d'Orsay include ""Balzac"" and ""L'hiver"
"diegorivera","Frida Kahlo married him in 1929; they divorced in 1939 and remarried in 1940"
"henrimatisse","This ""Joy of Life"" Fauvist studied law, but turned to painting when recuperating from an operation (Good choice!)"
