"ernesthemingway","This author's home where he wrote ""To Have And Have Not"" is now a nat'l landmark in Key West, Fla."
"aldoushuxley","An eye ailment contracted at Eton School ended his plans to study biology, like his brother Julian"
"dorothyparker","A member of the Algonquin Round Table, this petite brunette wrote a story called ""Big Blonde"
"margaretmitchell","During WWII this ""Gone with the Wind"" author was an American Red Cross volunteer and sold war bonds"
"hermanmelville","In 1842 he lived with cannibals in the Taipi Valley in the Marquesas; his novel ""Typee"" was based on the experience"
"chekhov","He wrote his last short story, ""The Betrothed"", shortly before his play ""The Cherry Orchard"
"johnjakes","After years of writing science fiction, he found his niche with historical novels such as ""North and South"
"edithwharton","She first wrote ""Ethan Frome"" in French, then later translated it into English"
"williamfaulkner","Sherwood Anderson told him, write about what ""you know... that little patch... in Mississippi where you started from"
"mariopuzo","This author gave us the line ""I'll make him an offer he can't refuse"
"thomashardy","This ""Return of the Native"" author's first novel, ""Desperate Remedies"", was published in 1871"
"hughlofting","This Dr. Dolittle creator studied civil engineering at M.I.T."
"margaretmitchell","In September 1941 this author christened the warship Atlanta, also known as ""The Mighty A"
"dashiellhammett","He claimed that as a Pinkerton detective, he had worked the Fatty Arbuckle and Nicky Arnstein cases"
"stephenking","While attending Lisbon Falls High School in Maine, this horror author published a newspaper, The Village Vomit"
"tuberculosis","Robert Louis Stevenson suffered from this lung disease for many years, but died of a cerebral hemorrhage in 1894"
"alexhaley","In 1972 he founded the Kinte Foundation, a clearing house for black genealogy"
"harperlee","In 1991 the U. of Alabama awarded this ""To Kill A Mockingbird"" author an honorary Doctor of Letters degree"
"henryfielding","In addition to writing, this ""Tom Jones"" author was also a justice of the peace"
"robincook","This author of ""Acceptable Risk"" has been dubbed ""The Master of the Medical Thriller"
"agathachristie","In 1930, 2 years after divorcing Archibald Christie, she married archaeologist Max Mallowan"
"janeausten","She wrote ""Sense and Sensibility"", ""Pride and Prejudice"" and ""Northhanger Abbey"" between 1795 and 1798"
"michaelcrichton","In 1969 and 1970 this ""Andromeda Strain"" author was a fellow at the Salk Institute for Biological Studies"
"pearlbuck","Her first published writings appeared in the Shanghai Mercury when she was 7"
"white","Wilkie Collins wrote a novel about a mysterious ""Woman in"" this color who lived in an asylum"
"norwegian","Ole E. Rolvaag wrote ""Giants in the Earth"" in this language; it was then translated into English"
"tree","Completes the title of Olive Ann Burns' novel ""Cold Sassy..."
"agathachristie","Sleeping Murder"", her last Miss Jane Marple novel, was published posthumously in 1976"
"larrymcmurtry","In 1997 he published ""Comanche Moon"", a prequel to his ""Lonesome Dove"
"gorevidal","He dedicated his novel ""Myra Breckenridge"" to novelist and playwright Christopher Isherwood"
"robertparker","In 1997 he put his ""Spenser"" books on hold to introduce a new protagonist, Jesse Stone in ""Night Passage"
"langhorne","It was Samuel Clemens' middle name"
"hemingway","While serving as an ambulance driver for the Red Cross in World War I, he was wounded in Italy"
"voltaire","This ""Candide"" author wrote the libretti for several Rameau operas, including ""La Princesse de Navarre"
"agathachristie","She gave her share of the film rights to ""Witness For The Prosecution"" to her daughter Rosalind"
"trumancapote","Rudyard Kipling wrote ""The Arrest of Lieutenant Golightly"" and he created Holly Golightly"
"boothtarkington","He based the title character of his 1914 novel ""Penrod"" in part on his nephews"
"evelynwaugh","A royal horse guard during World War II, he ""revisited"" the war in his ""Sword of Honour"" trilogy"
"maximgorky","This author whose 1st name is also an English word meaning a saying or motto was the 1st president of the Soviet writers' union"
"steinbeck","Before writing his classic novel, he spent 2 years with a group of Oklahoma farmers journeying to California"
"dashiellhammett","This author's work as a private detective with Pinkerton lent authenticity to ""The Maltese Falcon"
"mickeyspillane","He wrote comic book stories for ""Captain America"" and ""Captain Marvel"" before hitting it big with ""I, the Jury"
"edithwharton","Her major works, including ""The Age of Innocence"", were written while living in France, where she moved in 1907"
"hermanwouk","In the 1930s this author of ""Marjorie Morningstar"" was a writer for comedian Fred Allen"
"johnirving","This Garp creator also wrote the children's book ""A Sound Like Someone Trying Not to Make a Sound"
"elizabethgilbert","She followed up ""Eat, Pray, Love"" with a book on marriage called ""Committed"
"georgeorwell","On his 1950 death, this man who looked into the future was called ""The Wintry Conscience of a Generation"
"hermanmelville","His greatest novel was a commercial flop, so he supported his family with stories like ""Bartleby the Scrivener"
"philiproth","A Pulitzer for ""American Pastoral"" is one of the honors bestowed on this Newarker"
"alexandredumas","His father was a general under Napoleon and he took part in Garibaldi's liberation of Sicily in 1860"
"julesverne","His ""Voyages Extraordinaires"" include one ""From the Earth to the Moon"" and one ""To the Center of the Earth"
"maryshelley","She met poet Percy in the spring of 1814, eloped to France with him in July and married him in 1816"
"jacklondon","This author of ""The Son of the Wolf"" and ""The Sea-Wolf"" called his home ""Wolf House"
"virgil","He began writing the ""Aeneid"" around 29 B.C. and it was still unfinished at his death in 19 B.C."
"sholomaleichem","This creator of Tevye the Dairyman is known as the Jewish Mark Twain"
"johngrisham","In 1996, 7 years after giving up law, he returned to a Mississippi courtroom and won a case for an old client"
"raybradbury","In 1979 a play based on his novel ""Fahrenheit 451"" was produced in Los Angeles"
"philiproth","He's won 2 Nat'l Book Awards: for ""Goodbye, Columbus"" in 1960 and for ""Sabbath's Theater"" 35 years later"
"georgesand","Her first novel was written in collaboration with another author using the joint pseudonym Jules Sand"
"ednaferber","This Pulitzer Prize-winning novelist co-wrote the play ""Dinner at Eight"" with George S. Kaufman"
"jamesherriot","He died in 1995, the day before the opening of a Glasgow veterinary library named for him"
"thomashardy","Roman Polanski's film ""Tess"" was based on his novel ""Tess of the D' Urbervilles"
