"ibm","In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element"
"charleslindbergh","In 1934 he plugged Bulova ""Lone Eagle"" watches"
"proctergamble","Only Philip Morris and this Cincinnati-based firm have yearly ad expenditures exceeding $2 billion"
"krupp","In 1811 this German family began its steel-making business by constructing a plant in Essen"
"anheuserbusch","BUD is the New York Stock Exchange symbol for this brewing company"
"texasinstruments","This Dallas-based electronics firm started out as Geophysical Service, an oil exploration company"
"holidayinn","In 1973 this then Memphis-based hotel chain opened its own university in Mississippi to train personnel"
"elmer","In the 1940s Borden's came up with this companion for Elsie to be the symbol for its new white glue"
"nationalenquirer","In 1957 the New York Evening Enquirer expanded its scope and renamed itself this"
"speakers","Unhappy with the quality of these, Dr. Amar Bose designed his own and formed a company to sell them"
"pirelli","Milan company known for its tires and sexy calendars"
"sony","The name of this Japanese electronics company comes from the Latin word for ""sound"
"mcdonalds","Seen here is the American Sign Language and what could be the international symbol for this restaurant chain"
"merrilllynch","This brokerage house uses the logo seen here"
"rousseluclaf","The Boulevard des Invalides is home to this French pharmaceuticals company, the maker of RU-486"
"generalmills","In the 1930s this cereal maker introduced Bisquick; Cheerios came along in 1941"
"mortonthiokol","The automotive safety products division of this salt maker is one of the USA's leading air bag makers"
"pricewaterhouse","The smallest of the big 6 accounting firms, it's well-known for tallying the votes for the Oscars"
"walgreens","This drugstore chain once known for its soda fountains leads U.S. retailers in filling prescriptions"
"amazoncom","On July 16, 1995 this company made its first sale, a science textbook"
"jif","Choosy Moms Choose"" this brand of peanut butter"
"ibm","This company's new computer products include the Aptiva S and the Thinkpad 560"
"tylenol","This product claims it's ""The Pain Reliever Hospitals Use Most"
"pen","The Parker Duofold Red Jasper, one of these, features a nib split by hand"
"nerf","In 1970 ""Twister"" inventor Reynolds Guyer created a 4"" foam ball named this by Parker Bros."
"coppertone","When this product was first released in 1944, it carried a picture of an Indian chief and the slogan ""Don't be a paleface"
"yamaha","This firm began in 1897 as Nippon Gakki Company, an organ manufacturer; electronic organs came along in 1959"
"ralstonpurina","This animal feed company began using its familiar red and white checkerboard trademark around 1900"
"hamiltonbeach","Named for its 2 owners, it introduced the first commercial drink mixer in 1911"
"polaroid","In 1972 this company introduced its SX-70 instant camera, which was only one inch thick when closed"
"gerber","This baby food company once used the slogan ""Babies Are Our Business, Our Only Business"
"holidayinn","In 1952 Kemmons Wilson opened the first motel in this chain, on the outskirts of Memphis"
"palmolive","Colgate merged with this soapmaker in 1928"
"harleydavidsons","Budget Rent-A-Car in Boston now rents these ""hogs"" at a rate of $50-$60 an hour"
"pillsbury","The Green Giant works for this company with another jolly spokesfigure, the Doughboy"
"starbucks","This Seattle-based coffee chain was named for the first mate in ""Moby Dick"
"corning","The Brooklyn Flint Glass Works changed its name to this after moving to a N.Y. town of the same name"
"hersheys","On July 19, 1970, after 70 years of business, this chocolate company ran its first consumer ad"
"tinkertoys","In 1992 Playskool overhauled this toy by replacing its wooden rods and spools with plastic parts"
"braun","In 1949 this German small appliance firm introduced the world's first electric foil shaver"
"reebok","This athletic shoe company was named for an African gazelle admired for its swiftness"
"campbells","A 1996 Business Week survey called this soup company's board of directors ""America's Best"
"liquor","In 1996 companies that produce these consumables announced an end to their ban on TV and radio ads"
"duracell","This battery maker introduced the Copper Top tester in 1990"
"mongolia","In August 1995 this nation's first stock exchange, based in Ulan Bator, began trading"
"tropicana","This firm owned by the Seagram Company is the leading seller of pasteurized orange juice"
"mcdonalds","This company's figures show about 7% of present U.S. work force got its start working for them"
"boeing","Founded as Pacific Aero Products in 1916, today this company is America's largest exporter, in total revenue"
"reebok","In 1986 this athletic shoe company introduced Weeboks for infants and toddlers"
"clorox","This company sells about 50% of the bleach in the U.S."
"tootsieroll","Founded by an Austrian in 1896, the name of this candy roll co. was taken from his daughter's nickname"
"sears","This retailing giant owns the Allstate Insurance group"
"doritos","With sales of over $1 billion yearly, this brand of tortilla chips is Frito-Lay's top product"
"chrysler","Automaker that introduced the alternator, power steering and electric ignition"
"up","This lemon-lime soft drink debuted in October 1929 in green 7-ounce bottles"
"josephcampbell","He made M'm! M'm! Good! when he joined a Camden, N.J. canning company in 1869; he later took it over"
"allstate","In 1930 Sears transferred this tire brand name to its insurance division"
"ponyexpress","Entrepreneurs William Russell, Alexander Majors and William B. Waddell founded this in 1860; it lasted 18 months"
"puma","This athletic shoe company's internet store is located at catshack.com"
"mcdonalds","Through a licensing agreement with this company, Sears has opened stores called McKids"
"orangejuice","90% of Florida's orange crop is used to make this"
"kodak","The Weekend 35 is a disposable underwater camera sold by this maker of the disposable Fling"
"chrysler","U.S. automaker that owns 15% of Maserati and 100% of Lamborghini"
"boeing","The Pacific Aero Products Company, founded in Seattle in 1916, is now called this"
"sanfrancisco","Projects of the giant Bechtel group include the BART system and the Bay Bridge in this city where it's based"
"teasalon","As an alternative to Starbucks, Lipton opened an establishment of this type in southern California in 1996"
"marthastewart","In 1997 she bought her own Lifestyles magazine and TV show from Time, Inc."
"dunbradstreet","Known as DandB, this corporation markets Moody's bond ratings and Nielsen's TV ratings"
"fignewtons","These fig-filled items weren't named after a fruit-struck scientist but for a town near the factory"
"dietcoke","Tab was the leading diet cola before this soft drink was introduced in 1982"
"kelloggs","Though it owns them both, this company doesn't use a Fruit Loop filling for its Mrs. Smith's pies"
"golden","Coors beer is brewed in this Colorado city"
"subway","In 2001 this sandwich chain surpassed McDonald's in the number of U.S. restaurants"
"nike","This athletic wear company best known for its shoes began in Oregon as Blue Ribbon Sports"
"conedison","This longest-listed company on the NYSE was first listed in 1824 as the New York Gas Light Company"
"generalelectric","In 1998 this 106-year-old company became the first in the U.S. to top $300 billion in market value"
"patent","It can take gov't about 20 months to process 1 of these applications and you may need a working model"
"disney","This company operates the 4 most popular theme parks in North America"
"danquayle","This former VP appeared in an ad during the 1994 Super Bowl for Lay's Potato Chips"
"weightwatchers","Kathleen Sullivan's progress on this company's ""Superstart!"" program was shown in TV ads"
"buenosaires","The Sheraton Hotel and Towers in this South American capital offers a ""tango special"" package"
"mcdonalds","In August of 1987, Joan Kroc, widow of the founder of this company, donated a million dollars to the Democratic Party"
"swatch","To compete with electronic watches, SMH created this inexpensive Swiss watch"
"mohair","Texas-raised Angora goats provide almost 95% of the US production of this Angora fiber"
