"copernicus","For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory"
"appianway","Built in 312 B.C. to link Rome and the South of Italy, it's still in use today"
"international","Karl led the first of these Marxist organizational efforts; the second one began in 1889"
"congressparty","This Asian political party was founded in 1885 with ""Indian National"" as part of its name"
"athens","Historians refer to the Golden Age as the time during which Pericles ruled this city"
"denmark","Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland and other islands"
"japan","In February 1904 this country attacked the Russian fleet at Port Arthur"
"nigeria","On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war"
"syngmanrhee","In the midst of the Korean War, this South Korean president was elected to his second of 4 terms"
"egypt","In 1991 B.C. Amenemhet, a former vizier, founded this country's 12th dynasty"
"weimar","In 1919 this national assembly met in this city and formed a new German republic"
"fujimori","The parents of this Peruvian president immigrated from Japan 4 years prior to his birth"
"cuneiform","About 3000 B.S. the Sumerians invented this writing system which used triangular marks"
"pluto","Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930"
"trudeau","In February 1984 he announced his resignation as Prime Minister of Canada"
"boyscouts","Every president since Taft has been an honorary president of this organization founded in the U.S. in Feb. 1910"
"mayflower","Peregrine White, the 1st child born in New England of English parents, was born on this ship"
"morocco","In 1962, this country became a constitutional monarchy under King Hassan II"
"jomokenyatta","The 1st prime minister of independent Kenya"
"hongkong","In 1898 Britain leased the New Territories from China, adding to the area of this dependency"
"hapsburgs","In 1273 Rudolf I became the first from this family to rule the Holy Roman Empire, though he was never crowned"
"casablanca","In January 1943 FDR and Winston Churchill met in this North African city to discuss the war effort"
"captainkidd","In 1701 this pirate was hanged in London for murder and 5 counts of piracy"
"bartolomeodiaz","The first European to round Africa's southern tip, he was also on the voyage that discovered Brazil"
"panamacanal","After years of construction, this canal finally opened for business August 15, 1914"
"lordnelson","In 1794 this hero of Trafalgar lost the sight in his right eye due to a wound suffered while taking Calvi, Corsica"
"australia","Around 1605 Dutchman Willem Jansz became the first European to sight this continent"
"simonbolivar","In February 1825 this ""liberator"" was elected president of Peru"
"falange","Founded in 1933, this Spanish political party was named for a Greek military formation"
"marieantoinette","She plotted against the French Revolution and gave military secrets to her brother Leopold II of Austria"
"geneva","On November 15, 1920 the League of Nations held its first meeting in this city"
"czechoslovakia","In 1968 Soviet troops invaded this country and abducted Communist Party leader Alexander Dubcek"
"ottomanempire","In the 4th century Greece became a part of the Byzantine Empire; about 1,100 years later it became part of this empire"
"genoa","In the 1200s this western Italian city-state ruled the central Mediterranean, including Sardinia and Corsica"
"mayans","Estimates of when these people abandoned the city of Uxmal range from 600 to 1,000 years ago"
"castille","Peter the Cruel and Joan the Mad ruled this Spanish kingdom sometimes paired with Leon and Aragon"
"germany","In 1935 the Saar territory was reunited with this country"
"venezuela","Juan Vincente Gomez was dictator of this South American country in 1918 when it first exploited its oil"
"roughriders","This volunteer cavalry unit organized by Teddy Roosevelt included miners, cowboys and college athletes"
"hadrian","Around 122 A.D. this emperor ordered a wall built to separate the Romans from the Barbarians"
"korea","The Yi dynasty ruled this country from 1392 until its annexation by Japan in 1910"
"kenya","The Mau Mau Rebellion, which began in 1952, was an uprising against British rule in this African country"
"margaretthatcher","In June 1987 she became the first British prime minister in the 20th c. elected to 3 straight terms"
"macedonia","In 338 B.C. this country's Philip II defeated Thebes and Athens at the Battle of Chaeronea"
"charlemagne","In 781 he persuaded Pope Adrian I to crown his sons Pepin and Louis kings of Italy and Aquitaine"
"giuseppegaribaldi","The Thousand"" was a novel written by this Italian guerrilla leader based on his 1860 Sicilian expedition"
"crusades","The third of these military expeditions was led by Frederick I Barbarossa, Philip II and Richard the Lion-Hearted"
"blackbeard","In 1718 the British tracked down and killed this ""dark"" pirate in a North Carolina inlet"
"france","In 1946 the Ivory Coast was made an overseas territory of this country; in 1960 it gained its independence"
"portsmouth","The treaty that ended the Russo-Japanese War in 1905 was named for this New Hampshire city"
"hannibal","In the first Punic War, the troops of his father, Hamilcar Barca, were defeated by the Romans in Sicily"
"lithuania","Union with this Baltic country in 1386 made Poland Europe's largest country"
"peloponnesianleague","In ancient Greece, Athens had its Delian League of city-states while Sparta had this league"
"francisxavier","Called greatest Catholic missionary of modern times, he introduced Christianity into Japan in 1549"
"ireland","A potato famine during the 1840s caused this island's population to decline by about 2 million"
"incan","Hernando Cortes conquered the Aztecs and Francisco Pizarro conquered this Indian empire"
"prussia","By the end of his reign in 1786, Frederick the Great doubled this kingdom's area"
"idiamin","In 1977 this Ugandan leader survived at least one assassination attempt and 2 attempted coups"
"paleolithic","Stone tools were first used during this period known as the ""Old Stone Age"
"ivanterrible","In 1533, at age 3, he became grand prince of Moscow; 14 years later he was crowned Russia's first czar"
"louisxvi","In January 1793 France's national convention voted 387 to 334 to have him guillotined"
"gavriloprincip","On June 28, 1914 this 18-year-old Serb assassinated Archduke Francis Ferdinand, leading to World War I"
"mississippiriver","Legend says in 1811 and 1812 earthquakes on the Midwest's New Madrid Fault made this river run backwards"
"delhi","Around 1200 this city became capital of a Muslim empire in India; its ""New"" version is India's capital today"
"counterreformation","Pope Paul III was a leader in this movement whose name implies it opposed Protestantism"
"costarica","Rich"" in democracy, this country held some of Central America's first free elections in the 1890s"
"herodgreat","This ""Great"" king who died in 4 B.C. married Mariamne, the last princess of the Maccabees' line"
"depression","During the 1930s America went through a period of hardship and poverty known as the ""Great"" this"
"china","In 1368 the Ming dynasty didn't just take over this country, they urned it"
"russia","This country won the battle of Stalingrad, August 1942-February 1943"
"incas","In the 1460s this South American people took the Chimu empire; within 100 years they were subdued by the Spanish"
"apig","From 1905-7, Austria and Serbia fought an economic ""war"" over tariffs, such as over this porcine animal"
"normans","The western jury system is thought to have been brought to England by these peoples in 1066"
"th","Century known as the ""high Renaissance"
"japan","World power whose emperor gave up claims to divinity before it adopted a new constitution in 1947"
"eisenhowerdoctrine","1957 U.S. policy allowing the president to use armed force in the Middle East"
"suezcanal","In 1869 it cut the travel distance between London and Bombay by over 4,000 miles"
"rome","When Hannibal was 9, his father forced him to swear eternal hatred for this city"
"spain","A March 31, 1492 edict in this country offered the Jews there the choice of baptism or exile"
"mecca","In 1324 Mali's ruler Mansa Musa made a 4,000-mile pilgrimage to this city, taking a reported 12,000 slaves"
"franks","In 751 Pepin the Short's title was changed from ""Mayor of the Palace"" to ""King of"" these people"
"tanganyikazanzibar","The 2 countries, which, in 1964, merged to form Tanzania"
"greenland","During World War II, the United States ruled this island on behalf of Denmark"
"china","America's ""Open Door Policy"" of the late 19th century pertained to trade with this country"
"russia","In 1589 Boris Godunov got this country's Orthodox Church recognized as an independent patriarchate"
"hirohito","When he went to Europe in 1971, he became the first reigning Japanese monarch to travel abroad"
"nehru","In 1942 he replaced Gandhi as leader of India's National Congress Party"
"likud","In 1973 Menachem Begin helped form this Israeli political party, a merger of several smaller parties"
"franciscofranco","In October 1936 he was named ""El Caudillo"" of nationalist Spain"
"boers","In 1835 these Dutch farmers began their ""Great Trek"" from Cape Colony to South Africa's interior"
"mogadishu","In 1991 the United Somali Congress overthrew the Siad Barre regime and took over this capital city"
"samurai","The Meiji reforms of the 19th century permanently abolished this Japanese warrior class"
"harvard","In 1966 this university's Public Policy program became the Kennedy School of Government"
"dunkirk","One of France's major ports, it was the site of the 1940 evacuation of more than 300,000 men"
"johnjay","In February 1790 this man presided over the first meeting of the Supreme Court"
"seville","The cathedral of this city in Spain claims to hold the remains of Christopher Columbus, moved there in 1899"
"brazil","In 1500 Pedro Cabral sailed too far west in rounding Africa and spotted what is now this country on April 22"
"charleslindbergh","On May 23, 1927 the New York Times reported that he said, ""We (that's my ship and I) took off rather suddenly"
"alexandergreat","In 333 B.C. this leader defeated Darius III, king of Persia, at Issus in Syria but was unable to capture him"
"india","In 1526 Babur, a Muslim ruler from central Asia, established the Mogul Empire in what is now this country"
"finland","The Soviet Union was expelled from the League of Nations for invading this neighbor in November 1939"
"genghiskhan","As a young man this Mongol leader entered the service of Toghril Khan"
"adirigible","In 1926 Roald Amundsen flew over the North Pole in the Norge, this type of craft"
"queenisabella","This queen was the mother of Catherine of Aragon"
"liberia","On July 26, 1847 this black African democracy declared itself a republic"
"bastille","Only 7 prisoners were inside this fortress when it was stormed by French citizens July 14, 1789"
"ankara","In 1923 it replaced Constantinople as the capital of Turkey"
"idiamin","It's estimated that as many as 300,000 Ugandans were killed during his 1970s regime"
"india","In 1975, the Himalayan country of Sikkim was absorbed by this country"
"greece","In January of 1926, Theodoros Pangalos declared himself dictator of this country - he was deposed in August"
"taxation","The Magna Carta of 1215 and The Stamp Act Protest of 1765 opposed this ""without representation"
"mongols","The last Abbasid Caliph was killed in 1258 when these Asian warriors sacked Baghdad"
"afghanistan","In 1929 Amanullah Khan marched on Kabul in an attempt to retake this country from an outlaw leader"
"charlemagne","Called by some the Father of Europe, he was crowned Emperor of the Romans December 25, 800"
"magnacarta","In accepting this charter, King John acknowledged that he too was subject to the law of the land"
"benitomussolini","His son-in-law, Galeazzo Ciano, was executed by Fascists as a traitor in January 1944"
"constantinople","Theodora helped save the Byzantine throne by keeping Justinian from fleeing this city during the Nika Riots"
"ottomanempire","The Osmanli Empire became known as this in English"
"anastasiosomoza","In 1980 this deposed president of Nicaragua was assassinated in Paraguay"
"boxerrebellion","In 1900 more than 200 foreigners were killed during this bloody uprising in northern China"
"miranda","A Supreme Court decision in 2000 said rights named for this man were ""embedded in routine police practice"
"aztecs","At the same time Joan of Arc led the French, Itzcoatl was leading this group in Mexico"
"pompeii","People began digging up this Italian city in 1748, only 1,669 years after it was buried"
"geneva","4 treaties to mitigate the horrors of war were signed in this city in August 1949"
"elizabethi","The Pope excommunicated her in 1570 after she made the Anglican church England's official religion"
"cardinalrichelieu","This cardinal helped establish the Academie Francaise in the 1630s"
"genghiskhan","Around 1240 this mongol's grandson Batu founded the Golden Horde"
"hanseaticleague","Amsterdam was chartered as a city in 1300 and joined this confederation of cities 69 years later"
"williamconqueror","On Sept. 9, 1087, this English king died at Rouyn in Normandy after falling from his horse"
"louisxiv","The first 18 years of this French king's reign were managed by Cardinal Mazarin"
"caligula","As a child, Roman emperor Gaius Julius Caesar Germanicus was nicknamed this, meaning ""little boot"
"saar","This territory, known for its coal mines, voted to become part of Germany in 1935"
"boxers","The martial artists who fought against Western control of China from 1898 to 1900 were known as these"
"rhine","Louis XIV wanted to make this German river France's eastern border"
"shia","In the early 1500s Shah Ismail conquered what is today Iran and converted the region to this branch of Islam"
"rhodes","This island's harbor of Mandraki was once guarded by a colossal 120'-high statue"
"anwarsadat","On his 1977 visit to Jerusalem, this Egyptian president prayed at the al-Aqsa mosque"
"italy","On October 3, 1935 this country invaded Ethiopia"
"kabul","Emir Abdur Rahman Khan rebuilt and modernized this Afghan capital in the 19th century"
"kyoto","This city, imperial capital of Japan before Tokyo, was spared bombing during WWII"
"china","Sung T'ai Tsu founded this country's Sung dynasty in 960"
"easterisland","This island famous for its stone statues was annexed by Chile in 1888"
"newzealand","In 1860 the Second Maori War broke out in this country"
"ferdinandmarcos","In 1989 this former Philippine leader died in exile in Hawaii"
"worms","In 1521 Martin Luther was summoned to the Diet of this city to renounce his beliefs"
"china","The California Gold Rush started the first big wave of immigration from this Asian nation"
"islam","In the 1880s the Mahdi led a revolution in the Sudan to restore the prominence of this religion"
"panamacanal","As Secretary of War from 1904 to 1908, William Howard Taft oversaw construction of this waterway"
"alberteinstein","In 1939 he wrote to FDR to present the military potential of an uncontrolled fission chain reaction"
"peregrinewhite","Born aboard the Mayflower in the New World, he grew up to be a captain of militia, and maybe a falconer too"
"simonbolivar","After meeting this rival liberator in 1822, San Martin left South America"
"capehorn","In 1616 Dutch explorer Willem Schouten rounded this cape that he named for his home town"
"thcentury","The United Kingdom of Great Britain and Ireland was established on the first day of this century"
"cuba","In 1901 the U.S. made this island a virtual protectorate"
"sepoyrebellion","After this mutiny failed in 1858, the last Mogul emperor of India was exiled to Burma"
"bolivia","Then known as Upper Peru, this country gained independence in 1825; General Sucre soon became president"
"kublaikhan","In 1281 a sudden typhoon saved Japan from this Mongol's invasion force of 150,000 men"
"caligula","In June 38 A.D. this third Roman emperor had his dead sister Drusilla deified, the first Roman woman so honored"
"sardinia","In 1720 Victor Amadeus II of Savoy gave Sicily to Austria in exchange for this other large island"
"suezcanal","As a result of the Six-Day War of 1967, this Middle East canal remained closed until 1975"
"aztecs","It was the last Indian empire in Mexico and Central America"
"spanisharmada","England's first encounter with this fleet occurred off Plymouth July 31, 1588"
"greece","In 1863 Prince William of Denmark ascended this country's throne as King George I"
"maastricht","This treaty that created the European Union is named for the Dutch city where it was drawn up in 1991"
"berlin","This European capital was divided in 1948 and not reunified until 1990"
"parthenon","This structure on Athens' Acropolis was badly damaged in 1687 during a Venetian bombardment"
"syria","In 1958 Nasser was elected president of the United Arab Republic, Egypt's union with this country"
"mariatheresa","In 1745 this Austrian archduchess obtained the title of Holy Roman Emperor for her husband"
"saxons","By the 6th century this group had joined with the Angles to found kingdoms in Britain"
"pocahontas","This daughter of Chief Powhatan became a Christian and married an Englishman in 1614"
"hernandocortez","In 1519 he sailed from Cuba to conquer the Aztec empire"
"charlemagne","Some call this son of Pepin and king of the Franks the Father of Europe"
"switzerland","In 1978 this European country created a new canton for French-speaking Catholics"
"jacqueschirac","While mayor of Paris, he lost twice to Francois Mitterand in elections for the French presidency"
"pakistan","Beginning in 1947 about 6 million Muslims fled from India to this country carved from it"
"nicaragua","During the 18th century, England gained control over the Miskito Indians in Honduras and this country"
"mariatheresa","In 1772 this empress participated in the first partition of Poland, acquiring Galicia for Austria"
"persia","Omar Khayyam's ancient Iran"
"mayans","Ancient Yucatan tribe that had no schools but were excellent astronomers"
"czechoslovakia","In '38, the Munich Agreement allowed Germany to partition this country"
"saxons","With the Angles and Jutes, they conquered 5th century England"
"huguenots","Many of them left France when Louis XIV revoked the Edict of Nantes"
"egypt","Tho this country was given independence in 1922 under King Fuad I, British troops remained"
"napoleon","After being King of Naples and Spain, Joseph, this man's brother, moved to N.J."
"vaticancity","As a result of the 1929 Lateran Treaty with Italy, it became an independent nation"
"fidelcastro","In 1993 he hinted that he'd be willing to give up power if the U.S. ended its embargo of Cuba"
"portugal","In 1951 Macao became an overseas province of this country, and in 1974 a ""Special Territory"
"austriahungary","In 1867 Emperor Franz Joseph created this dual monarchy"
"ethiopia","Tradition says this country's first emperor, Menelik I, was the son of King Solomon and the Queen of Sheba"
"napoleonbonaparte","On December 2, 1804 this man crowned himself emperor"
"africa","Around 600 B.C. some Phoenicians claimed to have sailed around this continent, 2,000 years before the Portuguese"
"switzerland","The Sonderbund was an 1845 confederation of 7 cantons in what's now this country"
"ivanterrible","A tsar from age 16, during his despotic reign Russia got its first printing press in 1563"
"yitzhakrabin","In 1993 this Israeli P.M. said, ""You don't make peace with friends.  You make it with very unsavory enemies"
"christophercolumbus","In 1493 he reached Montserrat in the West Indies and named it for a Spanish mountain"
"monaco","From 1815 to 1861 this principality on the Riviera was under the protection of Sardinia"
"santaanna","In 1855 this victor at the Alamo was deposed as Mexican dictator and fled to the Caribbean"
"morocco","Tangier was returned to this north African nation in 1956, after 33 years of international control"
"franciscofranco","On August 4, 1939 he declared himself Chief Of State in Spain"
