"shetlands","These islands famous for their ponies form the northernmost part of Scotland"
"taiwan","Portuguese sailors originally named this island in the South China Sea Ilha Formosa, ""beautiful island"
"antilles","The Leeward Islands are among the ""Lesser"" of these islands; Cuba and Jamaica are among the ""Greater"
"stkitts","In the Caribbean this island is partnered with Nevis"
"rhodes","This ""colossal"" island is the largest in Greece's Dodecanese archipelago"
"channelislands","This group of islands off the northern coast of France was the only British soil occupied by the Germans in WWII"
"taiwan","This island nation's highest peak, Yu Shan, in the Chungyang range, is also called Mount Morrison"
"bahrain","A causeway connects this Persian Gulf nation with the Saudi Arabian mainland"
"corsica","One of France's 26 regions, it doesn't count as an overseas one though it's 100 miles across the Mediterranean"
"greenland","This largest island in the world also contains the northernmost land in the world"
"outerhebrides","Lewis with Harris is the most northerly of this ""Outer"" Scottish island group"
"komodo","This Indonesian island became world famous after giant lizards were discovered there in 1912"
"malaysia","Singapore seceded from this country in 1965"
"puertorico","This U.S. commonwealth lies about 70 miles across the Mona Passage from the Dominican Republic"
"arcticocean","Russia's Wrangel Island and Canada's Prince Patrick Island lie in this ocean"
"srilanka","A chain of shoals known as Adam's Bridge stretches between India and this island nation"
"newguinea","This large island's 2 highest peaks lie in the Maoke Mountains on the Indonesian side"
"sardinia","This large Italian island in the Mediterranean lies just 7 miles south of Corsica"
"ireland","Galway and Donegal Bays indent it"
"zanzibar","It put the ""zan"" in Tanzania"
"ellisisland","12 million future Americans were inspected there"
"virginislands","Point Udall in the U.S. these is the easternmost U.S. point"
"honshu","War's first nuclear attack was on this island"
"alaska","The Pacific Ocean islands of Kanaga, Adak and Unimak are part of this state"
"indonesia","Borneo is shared by Brunei, Malaysia and this country"
"catalinaisland","Between 1921-51 the Cubs held spring training on this island owned by Wrigley near L.A."
"cuba","This country occupies the largest island in the West Indies"
"canaryislands","These islands off the African cpast were the last stop Columbus made before he headed west to the New World"
"greenland","Owned by tiny Denmark, it's the world's largest island"
"longisland","New York's largest, it has more people than 41 of our 50 states"
"indonesia","Until 1949 a Dutch colony, now the world's most populous island nation"
"philippines","Made up of over 7,000 islands, only Far East country with a Roman Catholic majority"
"hawaii","As well as ""the Big Island"", it's also known as ""the Orchid Isle"
"sicily","The narrow Strait of Messina separates this large island from the ""toe"" of Italy"
"iceland","Vatnajokull, Europe's largest glacier, covers nearly 3,200 square miles of this island country"
"minorca","It's the second-largest of Spain's Balearic Islands: Majorca is first"
"bali","This island to the east of Java is world famous for its dancing"
"vancouverisland","Victoria, the capital of British Columbia, is located on this island"
"falklandislands","What Argentina calls the Islas Malvinas, England calls this"
"tasmania","The last pureblooded Aborigine on this Australian island died in 1876"
"americansamoa","This unincorporated U.S. territory includes the islands of Olosega, Ofu and Tutuila"
"samothrace","Mount Fengari, the highest point in the Aegean, is on this island, famous for its ""Winged Victory"" statue"
"tobago","Merged island countries include Sao Tome and Principe and Trinidad and this"
"sicily","Its capital, largest city and chief port is Palermo"
"cayenne","Capital of French Guiana and the name of the island it's on, it gave its name to a kind of pepper"
"zanzibar","Tanzania's capital was founded by the sultan of this island that's now part of the country"
"faroeislands","Though they sound Egyptian, these islands in the N. Atlantic are part of Denmark"
"longisland","Coney Island was once an actual island, but since a creek silted up, it's part of this one"
"australia","This country's Rottnest Island got its name because the quokka, a type of wallaby, looked like a rat"
"channelislands","Guernsey is one of Britain's islands called these; Santa Catalina is one of California's"
"corsica","The Carabelli and Durazzo families are considered the Hatfields and McCoys of this island"
"australia","While Hawaii is our only island state, Tasmania is this country's only island state"
"iceland","By the year 1000, at least 25,000 Scandinavians had settled on this north Atlantic island"
"nantucket","Massachusetts island whose county and county seat share its name"
"victoria","It's the largest city on Canada's Vancouver Island"
"sardinia","Italy became a single country when the kingdom named for this island annexed its various parts"
"iceland","Despite its location near the Arctic Circle in the N. Atlantic, it has more hot springs than any other country"
"cuba","Tobacco used in its famous cigars is grown in the Vuelta Abajo region in the northwest"
"greece","This country's Ionian islands are sometimes called the Heptanesos because there are 7 main islands"
"newguinea","In 1906 the territory of Papua was established on this island as a protectorate under Australian control"
"guam","War in the Pacific National Historical Park on this U.S. territory honors Americans who fought in the Pacific in WWII"
"jamaica","Its name was originally an Arawak Indian word spelled X-A-Y-M-A-C-A"
"barbuda","The few people who live on this island partner of Antigua keep busy lobster fishing"
"americansamoa","It's the only inhabited U.S. territory south of the equator"
"rhodes","This ""colossal"" Greek island is the largest of the Dodecanese Islands"
"easterisland","In 1888 Chile took possession of this ""holiday"" island 2,200 miles to the west and leased it to sheep raisers"
"montecristoisland","This island about 25 miles south of Elba is now a nature reserve; you can ""count"" on it"
"luzon","In 1991 more than 300 people were killed when Mount Pinatubo erupted on this Philippine island"
"vancouverisland","It's less than 20 miles across the strait of Juan de Fuca from Washington state to this Canadian island"
"komodo","Part of the Lesser Sundas, this small island gave its name to the world's largest living lizard"
"northisland","More than 70% of New Zealand's people live on this island"
"martinique","In 1902 St. Pierre on this island was destroyed by an eruption of Mount Pelee"
"christmasisland","Kiribati's largest island is named for this ho-ho holiday"
"sicily","It's separated from the ""toe"" of Italy by the Strait of Messina"
"shetlands","Yell, Mainland, and Fetlar are among these islands famous for their ponies"
"antigua","It lies 25 miles south of Barbuda"
"martinique","In the West Indies, Dominica lies between Guadeloupe and this French island"
"maui","This ""Valley Island"" is found between the islands of Molokai and Hawaii"
"sthelena","The healthful climate of this south Atlantic island didn't help Napoleon; he died there"
"newguinea","It's the largest island in the Malay Archipelago and the second largest in the world"
"hispaniola","Rainfall on this island that's home to Haiti averages 55 inches per year"
"pitcairnisland","Nearly all the inhabitants of this island are descendants of Bounty mutineers"
"bikini","In 1978 islanders were removed from this Pacific atoll when their strontium-90 counts became dangerous"
"madagascar","This Indian Ocean island, the world's fourth largest, is slightly smaller than Texas"
"capri","Tourist sites on this island in the Bay of Naples include the ruins of the 12 villas built by emperor Tiberius"
"australia","Some call it the island continent"
"lanai","A roofed Hawaiian porch, or the Hawaiian island called ""The Pineapple Island"
"alcatraz","This island, called ""The Rock,"" had the first lighthouse on the West Coast"
"longisland","There are islands with this name in Massachusetts, Washington state, Wisconsin, and Maine, but the biggest is in New York"
"virginislands","Island group owned partly by Britain and partly by the U.S."
"greece","Delos, the smallest of this country's Cyclades Islands, was a shrine to Apollo in ancient times"
"longisland","2 major airports, JFK and LaGuardia, lie on this island"
"superior","Wisconsin's Apostle Islands lie in this Great Lake"
"barbuda","Antigua, Redonda, and this island form an independent state in the Caribbean"
"bahamas","More than half of this nation's population lives on New Providence Island"
"sthelena","1200 miles from the nearest continent, it entered history because of its isolation (here's a map that shows you where it is)"
"luzon","Rio Grande de Cagayan is the longest river on this largest Philippine island"
"aleutians","Unalaska is the largest in this island group that extends westward from Alaska for about 1,000 miles"
"coneyisland","This island stopped being an island when a sandbar formed, linking it to Brooklyn"
"pitcairnisland","A large ""bounty"" to the residents of this island is the money they receive from the sale of stamps"
"martinique","Pele is the Hawaiian goddess of volcanoes, but volcanic Mt. Pelee is on this French West Indian island"
"kodiakisland","A species of mammal is named for this appropriate site of Russia's first American settlement"
"greenland","Due to its icecap, no one is sure whether this world's largest island is one island or many"
"honshu","Japan's highest mountain range, the Japanese Alps, rises in the central part of this island"
