"independencehall","This building in Philadelphia houses the inkstand used by the Declaration signers"
"cigarbands","The Whizstreet ""Up In Smoke"" Museum is a web site exhibiting the art of these colorful cigar items"
"phoenix","Barry Goldwater donated his Kachina doll collection to the Heard Museum in this state capital"
"abilene","The Eisenhower Center in this Kansas town houses numerous mementos of the president's life and career"
"easterisland","A Brussels art and history museum has a giant statue from this Chilean island on exhibit"
"arizona","The pot seen here in this state's state museum is from the Mogollon culture, possible ancestor of the Hopi"
"ireland","This country's national museum has 3 sites in the capital and one in County Mayo devoted to rural life"
"britishmuseum","Karl Marx is said to have written and dined in the Museum Tavern, across from this world-famous museum"
"victrola","A Dover, Delaware museum depicts the history of this early phonograph"
"albuquerque","The National Atomic Museum is located at Kirtland Air Force Base near this largest New Mexico city"
"amsterdam","City where you'd find the Stedelijk and Van Gogh Museums"
"duluth","This eastern Minnesota city is home to the Lake Superior Museum of Transportation"
"smithsonian","The National Portrait Gallery in Washington, D.C. is part of this museum complex"
"louvre","In April 2009 the glass pyramid at this Paris museum celebrated its 20th anniversary"
"titanic","In Denver, you can visit the home of Molly Brown, who survived the sinking of this in 1912"
"chicago","Sue, the largest, most complete and best preserved T. rex, makes her home at the Field Museum in this city"
"nevada","There's a 1941 Crosley at this state's National Automobile Museum, built on Bill Harrah's collection"
"venice","This city's Accademia features work by native sons Giorgione and Canaletto"
"guggenheim","This NYC museum opened a museum in Las Vegas in partnership with Russia's Hermitage"
"amsterdam","The Rijksmuseum is an art museum in this city"
"geneautry","The Museum of the American West in Los Angeles is part of the complex named for this singing cowboy"
"giza","In 1902 the Egyptian Museum moved from this ""pyramid"" city to nearby Cairo"
"doges","Ceremonial robes of these onetime highest Venetian officials are displayed in Venice's Museo Correr"
"leakey","Last name of paleontologist Richard, who was director of the National Museums of Kenya from 1968 to 1989"
"lasvegas","This largest Nevada city has a museum dedicated to Mormon pioneers"
"jeffersondavis","This Confederate president's Richmond, Virginia residence contains more than 2,000 Civil War relics"
"prado","When opened in 1819, this Madrid museum consisted of art collections of the Hapsburg and Bourbon kings"
"hermitage","It's Russia's largest museum"
"guggenheim","Modern art can be seen at this odd-shaped NYC on Fifth Avenue between 88th and 89th Streets"
"fortknox","The Patton Museum of Chivalry and Armor at this fort has several German Panzer tanks (in case Indiana invades?)"
"rijksmuseum","This Amsterdam museum was once called the Great Royal Museum"
"smithsonian","The Nat'l Museum of African Art is housed in an underground building in this Washington, D.C. museum complex"
"dijon","This French city known for its mustard houses a museum of mustard"
