"cityslickers","Jack Palance's character is described as ""a saddlebag with eyes"" in this 1991 comedy"
"pocahontas","Irene Bedard, the speaking voice of this heroine in an animated Disney film, played her mother in ""The New World"
"austinpowers","Mike Myers travels from '60s London to Vegas in the '90s as this ""International Man of Mystery"
"stripes","John Larroquette played Captain Stillman in this wacky 1981 comedy about misfits in the Army"
"sabrina","Julia Ormond was the chauffeur's daughter in love with a rich playboy in this 1995 update of a 1954 classic"
"starwars","The first episode in the story told by this popular film series is subtitled ""The Phantom Menace"
"jackiechan","It was double trouble for this martial arts star playing twins in ""Twin Dragons"
"michaelkeaton","Known for comedies like ""Mr. Mom"", he donned the cape and cowl of Batman in 1989"
"geenadavis","She turned pirate in ""Cutthroat Island"" and action star in ""The Long Kiss Goodnight"
"hook","Glenn Close had a bit role as a male pirate in this 1991 Steven Spielberg fantasy about Peter Pan"
"forgetparis","Charles Barkley and other NBA stars had cameos in this 1995 film in which Billy Crystal played an NBA referee"
"michellepfeiffer","This actress did her own singing in ""Grease 2"" and ""The Fabulous Baker Boys"
"inglouriousbasterds","This 2009 Quentin Tarantino film was set during World War II"
"darkknight","Maggie Gyllenhaal took over the role of Rachel Dawes in this 2008 Batman film"
"shutterisland","Martin Scorsese directed this 2010 film set at an isolated asylum for the criminally insane"
"district","Shades of apartheid: an alien race is forced to live in a slum in Johannesburg in this 2009 flick"
"angelsdemons","Stellan Skarsgard played the commander of the Swiss Guard in this 2009 religious action thriller"
"tomhanks","In 1996 this popular star directed his first feature film, ""That Thing You Do!"
"majorpayne","In this 1995 comedy Damon Wayans starred as an ex-Marine hired to train junior ROTCs"
"firm","It's the film in which Tom Cruise played up-and-coming lawyer Mitch McDeere"
"michaelcollins","Liam Neeson won critical acclaim for his recent portrayal of this Irish revolutionary"
"twister","Dorothy was the nickname of a data collection device placed in the vortex of a tornado in this 1996 film"
"mrphelps","In ""Mission: Impossible"", Jon Voight played this role that Peter Graves had played on television"
"rickilake","Her role as Connie Doyle in ""Mrs. Winterbourne"" was her first since becoming a talk show host"
"quentintarantino","His 1997 film ""Jackie Brown"" was the first full feature film he's directed since ""Pulp Fiction"
"fredmacmurray","He played the absent-minded professor who invented Flubber in the original 1961 film"
"taxidriver","A famous scene from this 1976 film was completely ad-libbed; the script simply read, ""Travis looks in the mirror"
"stuartlittle","On meeting his new adopted brother in this film, George remarks, ""You look somewhat like a mouse"
"babepig","He's the lovable character seen here"
"madeline","Oui! Oui!  In 1998 this French school girl made it to the big screen, along with Miss Clavel"
"irongiant","A young boy named Hogarth is a huge fan of heavy metal -- a heavy metal robot in this 1999 animated tale"
"harrisonford","He was in ""Sabrina"", ""Witness"" and ""Frantic"
"boriskarloff","The character seen here is based on a role created by this actor in 1932:<br />(The Mummy)"
"junglebook","1967 animated feature that included the line ""Old Baloo's gonna learn you to fight like a bear"
"jerrylewis","Eddie Murphy played ""The Nutty Professor"" in 1996, 33 years after this man did"
"judgedredd","In a 1995 post-apocalyptic film, Sylvester Stallone played this judge who served as jury and executioner"
"topgun","Variety said audiences would ""be taken for a thrilling ride in the wild blue yonder"" by this Tom Cruise film"
"unforgiven","Clint Eastwood received his first Oscar for directing this 1992 western"
"henryfonda","In ""My Darling Clementine"" he played Wyatt Earp and Victore Mature played Doc Holliday"
"findingnemo","This 2003 film spawned a craze for clown fish in home aquariums"
"sissyspacek","In ""Crimes of the Heart"" she shot her husband; in ""'Night Mother,"" she shot herself"
"beaujames","Of Beau Brummel, Beau Geste, or Beau James, the one played in film by Bob Hope"
"damn","David O. Selznick was fined $5000 in 1939 for using this 4-letter word in a film"
"adamsandler","He went from waterboy to football star in 1998's ""The Waterboy"
"ghost","(Alex: Ah, let's hear from Sofia again)  In this 1990 film, Patrick Swayze jumped from subway train to subway train"
"greatescape","Elmer Bernstein did the classic music for this movie in which Steve McQueen flees Nazis on a motorcycle"
"disney","In 1941 this movie studio gave us ""Dumbo""; in 1995 it released ""Operation Dumbo Drop"
"mightyducks","(Hi, I'm Benjamin Salisbury) I appeared in this 1992 film that inspired the creation of a real-life hockey team"
"flipper","An animatronic dolphin and 3 real dolphins named McGuyver, Jake and Fatman shared this title role in a 1996 film"
"estellegetty","This TV ""Golden Girl"" hit the big screen as Sly Stallone's mom in ""Stop! Or My Mom Will Shoot"
